1.1.1.2. A fogyasztóiár-index fogyasztási fõcsoportok szerint  és a nyugdíjas fogyasztóiár-index [elõzõ év = 100,0%];;;;;;;;; 
Év;Élelmiszerek;Szeszes italok, dohányáruk;Ruházkodási cikkek;Tartós fogyasztási cikkek;Háztartási energia;Egyéb cikkek, üzemanyagok;Szolgáltatások;Összesen;Nyugdíjas fogyasztóiár-index
1960;..;..;..;..;..;..;..;..;..
1961;100,9;102,9;100,0;99,8;99,8;100,0;102,0;100,9;..
1962;99,5;105,6;100,0;99,9;99,4;99,9;100,1;100,5;..
1963;99,3;100,0;99,5;98,7;99,6;98,9;99,9;99,4;..
1964;101,5;99,3;99,8;99,2;99,4;100,0;100,0;100,4;..
1965;101,7;102,8;99,0;99,7;99,0;100,1;100,6;100,7;..
1966;104,7;102,0;96,0;100,0;107,5;98,5;101,1;101,2;..
1967;100,7;100,9;99,4;100,0;102,3;99,9;101,2;100,4;..
1968;99,5;101,5;99,6;98,6;98,9;96,5;103,7;99,7;..
1969;100,8;99,8;103,0;101,9;95,9;103,0;102,9;101,4;..
1970;100,9;100,5;102,3;99,9;98,2;103,3;101,9;101,3;..
1971;102,0;101,3;102,4;101,2;99,1;101,7;104,5;102,0;..
1972;101,1;107,0;104,0;102,4;97,9;102,3;103,5;102,9;..
1973;104,7;107,7;101,8;101,8;98,0;100,8;102,2;103,3;..
1974;100,5;102,3;102,0;102,4;105,6;102,1;101,8;101,8;..
1975;101,2;103,6;104,7;104,6;107,8;109,0;102,2;103,8;..
1976;110,2;100,5;105,2;102,9;99,1;106,7;102,4;105,0;..
1977;105,5;105,0;104,5;102,4;99,3;102,2;103,2;103,9;..
1978;103,6;109,2;105,0;103,1;100,3;103,3;103,9;104,6;..
1979;110,2;112,4;109,0;108,3;108,8;108,0;103,4;108,9;..
1980;113,4;101,7;105,0;113,2;121,4;109,5;107,0;109,1;..
1981;103,4;102,6;106,0;101,1;99,8;109,0;106,5;104,6;..
1982;104,8;113,1;105,5;102,1;110,0;106,4;107,2;106,9;..
1983;105,1;106,7;106,3;107,8;104,9;109,3;110,1;107,3;..
1984;112,1;105,0;111,0;105,5;104,9;107,3;108,0;108,3;..
1985;106,3;101,7;110,9;105,3;120,9;105,9;109,3;107,0;..
1986;102,0;105,2;109,4;106,1;103,5;104,9;108,9;105,3;..
1987;109,2;113,5;109,7;102,3;106,5;106,2;109,0;108,6;..
1988;115,8;114,3;120,0;108,5;112,8;116,3;117,5;115,5;..
1989;117,7;111,1;118,2;117,6;111,4;122,4;116,6;117,0;..
1990;135,2;130,7;123,3;120,8;127,6;128,9;125,6;128,9;..
1991;121,9;125,1;132,1;131,7;181,0;143,4;141,9;135,0;..
1992;119,4;119,6;123,0;114,3;143,2;127,2;126,0;123,0;..
1993;129,2;118,6;116,7;111,0;120,3;121,6;124,1;122,5;..
1994;123,4;116,4;116,1;111,8;111,7;119,0;120,3;118,8;..
1995;131,1;120,1;120,2;124,0;150,0;127,3;126,0;128,2;130,4
1996;117,3;126,6;125,6;119,2;132,5;125,7;126,4;123,6;123,8
1997;117,5;118,9;118,7;108,5;129,9;116,1;119,2;118,3;118,8
1998;114,4;115,3;114,1;108,1;117,9;110,7;116,2;114,3;114,6
1999;102,9;111,5;110,6;106,6;109,4;114,7;114,8;110,0;109,4
2000;109,2;111,0;105,8;101,7;109,1;115,0;109,7;109,8;110,1
2001;113,8;111,2;105,3;101,0;110,3;104,9;109,8;109,2;110,4
2002;105,4;109,7;104,0;98,4;105,5;104,1;106,4;105,3;105,3
2003;102,7;110,7;103,0;98,6;107,3;103,9;105,9;104,7;104,6
2004;106,5;111,3;103,4;99,4;114,1;103,9;107,6;106,8;107,3
2005;102,5;103,3;100,2;97,7;106,2;104,5;105,5;103,6;103,9
2006;107,7;104,3;99,3;96,0;106,4;102,7;104,1;103,9;105,0
2007;111,5;106,7;101,0;98,7;124,6;104,0;107,4;108,0;110,7
2008;110,2;105,6;100,0;99,3;112,7;104,6;105,0;106,1;106,9
2009;104,4;107,5;100,5;102,6;108,2;101,1;104,6;104,2;104,9
2010;103,2;108,2;99,6;100,2;106,3;108,8;104,3;104,9;104,5
2011;106,6;100,5;102,9;98,6;105,7;106,2;102,2;103,9;104,4
2012;105,9;112,7;102,6;98,8;106,2;107,2;104,2;105,7;105,7
2013;102,8;110,9;99,6;98,1;91,5;100,5;103,6;101,7;101,5
2014;99,6;106,2;99,3;99,5;88,3;99,5;101,8;99,8;99,4
2015;100,9;103,1;100,0;100,8;97,1;95,4;101,9;99,9;100,4
2016;100,7;102,3;100,4;100,5;99,9;97,8;101,5;100,4;100,6
2017;102,8;104,8;100,5;99,7;100,8;103,6;101,5;102,4;102,3
2018;104,2;105,6;100,5;99,6;101,4;103,8;101,6;102,8;102,7
2019;105,4;108,1;101,0;99,7;101,0;101,3;103,0;103,4;103,5
2020;107,2;106,9;100,0;101,4;100,3;99,1;102,9;103,3;103,8
2021;104,1;110,9;100,2;104,5;100,5;109,6;102,9;105,1;104,6
