1.1.1.5. Fogyasztóiár-indexek az egyéni fogyasztás rendeltetés szerinti osztályozása (COICOP) alapján [elõzõ év=100,0%];;;;;;;;;;;;;;;;;;;;;;
Kódszám;COICOP-csoportok;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
1;Élelmiszerek és alkoholmentes italok;113,7;104,5;101,5;105,7;101,7;108,2;112,0;110,5;103,9;102,8;107,3;106,0;102,7;99,2;100,6;100,3;102,6;104,0;105,1;107,2;103,5
01.1;Élelmiszerek;115,7;104,6;101,3;105,9;101,7;109,2;112,8;110,9;103,3;103,1;107,6;105,5;102,9;99,1;100,6;100,1;102,7;104,4;105,6;108,2;103,6
01.1.1;Kenyér és cereáliák;118,4;103,9;104,3;113,3;97,0;104,7;120,5;117,5;101,2;99,6;112,2;102,3;101,1;97,0;99,2;100,6;102,9;104,7;106,2;104,9;105,8
01.1.2;Hús;123,9;97,2;93,6;107,9;104,3;105,9;108,0;109,0;106,9;99,9;103,3;109,0;104,6;100,0;98,6;95,1;101,3;102,3;105,7;111,3;100,5
01.1.3;Hal és tengeri állat;104,8;109,7;103,0;102,8;100,8;103,0;107,0;106,7;110,1;106,8;103,3;105,7;105,5;102,3;102,4;102,4;105,4;100,9;105,9;105,0;104,9
01.1.4;Tej, sajt és tojás;116,8;105,1;101,8;101,6;98,3;106,4;112,8;116,0;96,0;101,3;108,3;105,4;100,4;105,0;96,2;96,7;104,7;106,1;100,5;105,5;102,9
01.1.5;Olaj és zsiradékok;116,0;109,1;95,8;104,7;105,2;102,9;109,0;130,2;102,5;100,1;113,9;108,3;103,1;95,1;101,0;101,7;103,9;103,2;102,0;103,6;114,6
01.1.6;Gyümölcs;105,1;114,8;95,2;104,5;106,4;109,9;115,1;106,9;94,7;105,4;109,8;105,3;104,0;96,5;111,0;104,0;104,3;106,6;102,4;127,7;102,9
01.1.7;Zöldségfélék ;102,5;112,2;124,3;94,2;100,5;142,8;117,9;94,4;108,1;119,7;98,4;101,0;112,9;95,0;110,3;110,2;100,5;111,8;122,2;101,6;105,3
01.1.8;Cukor, lekvár, méz, csokoládé, és cukorka;113,0;105,9;102,1;108,8;99,4;103,1;105,6;101,6;107,4;100,9;121,3;105,7;96,5;95,1;99,0;106,6;101,6;96,1;102,0;104,7;104,4
01.1.9;Egyéb máshova nem sorolt élelmiszerek ;106,5;104,9;102,7;103,6;103,1;101,3;108,8;109,6;110,3;106,8;104,7;110,4;102,3;100,6;100,7;101,2;102,5;102,4;104,9;104,5;104,8
01.2;Alkoholmentes italok;101,1;102,5;103,0;104,4;101,4;100,9;106,2;108,3;107,9;101,6;105,3;109,4;100,7;99,8;100,5;101,4;102,3;101,9;102,4;101,5;102,7
01.2.1;Kávé, tea, kakaó;98,6;98,9;101,7;100,5;100,7;100,0;108,1;110,1;110,4;105,2;111,0;114,3;96,5;97,5;101,0;101,5;104,3;99,6;97,9;100,0;103,1
01.2.2;Ásványvíz, üdítõitalok, ivólevek;103,2;105,5;104,0;107,2;102,0;101,4;105,1;107,3;106,6;99,8;103,0;107,6;102,2;100,6;100,3;101,4;101,6;102,7;103,8;102,0;102,5
2;Szeszes italok, dohányáruk;110,3;109,3;111,1;111,6;102,8;104,3;106,9;105,6;107,8;108,8;100,2;114,6;112,4;106,9;103,2;102,1;105,1;106,1;108,5;107,6;112,0
02.1;Szeszes italok;109,2;107,9;106,3;106,9;101,1;103,7;106,4;106,2;107,0;107,8;102,3;107,3;105,2;96,9;102,6;99,1;101,9;103,0;103,6;102,2;102,7
02.1.1;Égetett szeszes italok;108,2;106,4;104,7;107,4;101,8;106,0;108,6;106,3;106,7;109,4;102,5;110,4;102,1;98,4;113,8;99,6;105,9;103,1;107,5;103,3;103,4
02.1.2;Bor ;112,3;109,9;105,5;106,7;100,6;101,2;105,4;105,0;104,1;101,7;102,6;107,9;110,8;94,6;99,8;100,5;99,3;101,1;98,8;99,6;101,7
02.1.3;Sör;109,2;108,6;108,2;106,5;100,8;102,9;105,0;106,6;108,7;108,7;101,9;103,7;102,9;97,7;99,5;98,0;101,9;104,3;105,1;103,5;102,8
02.2;Dohányáruk ;111,8;111,1;118,3;118,9;105,3;105,1;107,8;104,7;109,0;110,3;97,5;121,9;118,5;115,0;103,6;104,3;107,3;108,1;111,6;110,9;117,5
3;Ruházat és lábbeli;105,6;104,2;103,2;103,5;100,3;99,4;101,0;100,0;100,6;99,7;103,0;102,5;99,6;99,4;99,9;100,5;100,5;100,6;101,2;100,1;100,2
03.1;Ruházat;105,9;104,0;103,2;103,0;100,4;99,1;101,3;100,2;100,8;99,3;102,6;102,6;99,4;99,1;99,6;100,3;100,7;100,4;101,1;100,5;99,9
03.1.1;Ruházati méteráru ;102,2;101,3;102,7;100,4;102,1;98,4;100,9;100,1;101,1;101,1;102,3;105,6;103,6;103,3;101,7;101,1;101,2;102,6;103,1;103,1;104,3
03.1.2;Felsõ- és alsóruházat;105,7;103,8;102,9;102,9;99,8;98,9;101,0;99,8;100,5;98,9;102,4;102,3;99,2;99,0;99,3;100,3;100,5;100,2;100,8;100,2;99,7
03.1.3;Egyéb ruházati cikkek és kiegészítõk;107,1;106,4;103,6;105,6;103,2;100,5;103,4;103,2;103,1;101,6;104,8;103,9;101,4;98,9;100,3;100,0;101,0;100,6;101,1;100,8;101,1
03.1.4;Ruházkodási szolgáltatás ;114,4;110,1;111,7;107,2;105,4;103,2;105,2;104,4;104,4;104,2;102,3;105,0;101,4;102,4;102,8;102,4;104,7;105,0;108,0;107,4;105,0
03.2.;Lábbeli ;104,7;105,0;103,1;104,9;100,1;100,2;100,3;99,4;100,3;100,9;104,0;102,5;100,0;100,0;100,9;100,9;100,1;101,3;101,4;99,0;101,1
03.2.1;Lábbeli;104,5;104,9;103,0;104,9;100,0;100,2;100,2;99,4;100,2;100,9;104,0;102,5;100,0;99,9;100,9;100,9;100,0;101,2;101,3;98,9;101,0
03.2.2;Lábbeli javítás ;112,0;111,5;109,6;109,5;107,5;105,4;108,9;106,8;107,2;105,1;101,8;105,2;102,5;102,9;102,7;103,5;106,2;104,3;107,9;105,5;105,9
4;Lakásszolgáltatás, víz, villamos energia, gáz és egyéb tüzelõanyagok ;110,8;106,2;106,6;110,9;106,2;105,5;115,1;109,4;107,7;105,5;104,6;105,8;94,7;91,7;98,8;100,6;101,1;101,8;102,2;101,5;101,9
