1.1.1.6. Fogyasztóiár-indexek a kiadások részletes csoportjai szerint [elõzõ év=100,0%];;;;;;;;;;;;;;;;;;;;;;;
Sorszám;Áru-, szolgáltatáscsoportok;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
100;Sertéshús;127,2;135,1;88,3;86,8;114,1;106,1;109,5;98,9;111,1;107,1;95,3;103,6;111,8;105,3;100,5;97,2;85,8;110,0;100,4;109,4;115,3;95,7
101;Marhahús;105,8;114,1;105,5;103,8;107,7;110,0;111,7;110,9;104,7;107,4;103,8;107,0;112,5;102,9;99,5;100,2;101,2;102,9;103,0;104,0;106,1;103,7
102;Egyéb hús;102,7;107,3;106,0;101,6;98,5;105,7;103,2;107,6;112,7;102,1;100,9;99,8;102,6;102,0;102,4;100,2;103,4;103,2;100,7;102,7;103,6;100,4
103;Belsõségek;104,6;117,1;101,5;91,2;99,1;102,7;102,4;102,1;100,4;101,4;100,6;101,7;110,1;106,4;98,8;97,8;97,6;92,5;96,8;102,2;106,2;104,1
104;Baromfihús;105,3;114,5;95,4;95,4;107,8;101,1;102,3;116,7;112,6;103,8;99,3;102,8;105,7;103,5;99,8;98,3;98,5;85,2;103,7;101,6;102,5;105,2
105;Szalámi, szárazkolbász, sonka;107,3;123,6;104,3;94,0;103,6;104,3;105,2;110,1;105,7;106,9;101,6;101,3;107,5;105,0;98,8;98,8;98,6;103,3;102,8;105,0;110,1;100,0
106;Párizsi felvágott, kolbász;107,6;124,8;102,3;97,7;105,1;105,3;105,7;109,5;106,5;110,6;103,7;104,4;109,6;104,5;100,3;100,5;99,7;106,0;103,6;106,8;117,5;100,7
107;Húskonzerv;98,6;118,3;104,8;97,5;100,2;101,6;102,8;104,7;105,7;108,8;107,3;107,0;110,7;107,4;104,2;101,1;100,4;104,6;104,5;102,8;109,3;106,5
108;Hal;95,5;106,9;112,6;105,4;103,4;101,1;100,7;104,4;105,8;108,6;104,5;101,9;103,8;103,1;102,5;102,6;102,8;106,8;99,8;106,7;104,8;105,3
109;Halkonzerv;100,9;102,3;105,5;99,2;102,2;100,3;106,4;110,6;108,1;112,2;110,2;105,1;108,5;108,9;102,1;102,1;101,3;102,2;103,1;104,5;105,4;104,2
10;Hús, hal, készítmények;111,6;123,3;97,6;93,9;107,7;104,2;105,8;108,0;108,9;107,0;100,2;103,3;109,0;104,7;100,1;98,8;95,5;101,5;102,3;105,7;111,0;100,7
110;Tojás;138,0;111,4;93,9;97,2;112,9;95,9;111,0;117,2;112,9;106,5;101,6;97,4;135,9;91,1;96,6;105,0;97,4;103,8;111,9;94,8;106,4;106,0
111;Tej;114,9;122,3;108,8;103,2;98,8;96,7;107,2;112,1;116,9;93,6;100,0;111,4;102,5;101,8;106,5;93,0;94,9;101,1;103,2;95,1;106,3;101,9
112;Sajt;111,1;111,2;103,9;100,8;102,9;97,9;104,4;110,5;115,2;89,6;106,1;109,0;100,7;104,7;106,6;93,2;96,0;107,5;102,4;103,4;103,5;102,1
113;Tejtermékek (sajt nélkül);109,3;113,2;104,7;101,9;101,8;100,9;104,8;112,9;116,1;97,7;101,3;107,8;101,9;100,0;105,4;97,2;98,1;106,4;106,4;104,6;105,5;102,9
11;Tej, tejtermék, tojás;114,8;116,9;105,1;101,8;101,7;98,3;106,4;112,8;116,0;96,0;101,3;108,3;105,4;100,4;105,0;96,2;96,7;104,7;106,1;100,5;105,5;102,9
120;Vaj, vajkrém;114,4;117,9;105,0;100,9;107,1;99,7;106,0;111,3;112,3;98,5;103,2;111,9;105,2;103,1;106,4;96,2;97,6;109,4;109,7;104,1;101,0;101,3
121;Sertészsiradék;107,9;149,6;105,3;79,6;118,4;130,2;95,8;98,3;115,1;127,0;97,0;103,3;125,0;105,6;93,1;92,9;93,7;105,8;105,5;100,3;113,0;102,7
122;Szalonna;104,7;130,6;105,2;93,6;100,9;106,0;103,2;107,3;106,7;111,2;102,0;101,8;111,8;107,4;101,2;100,0;99,8;103,8;102,8;105,0;115,6;102,2
123;Étolaj;88,3;104,2;116,5;98,6;99,5;94,7;104,9;113,8;156,4;88,3;98,7;119,1;101,4;100,8;88,5;105,3;107,1;101,1;100,3;100,1;104,7;125,9
124;Margarin;98,3;102,4;105,3;104,1;106,2;103,4;104,5;108,0;115,4;111,0;100,0;116,5;108,9;102,9;99,6;99,7;98,5;103,7;103,2;103,6;99,7;110,9
12;Zsiradékok;97,8;116,0;109,1;95,8;104,7;105,2;102,9;109,0;130,2;102,5;100,1;113,9;108,3;103,1;95,1;101,0;101,7;103,9;103,2;102,0;103,6;114,6
130;Liszt;126,6;119,8;90,8;105,3;120,2;81,5;107,0;136,9;133,0;92,8;99,5;143,0;96,5;103,3;85,8;96,6;101,4;99,3;106,6;109,2;107,9;110,1
131;Rizs, hántolmányok;101,4;103,2;101,0;100,2;108,7;100,9;103,7;117,2;124,5;113,0;96,2;104,8;104,4;101,4;99,1;99,6;102,0;101,8;101,4;104,8;103,7;106,0
132;Kenyér;113,1;121,7;105,3;104,8;114,6;99,2;104,6;120,1;115,1;100,0;100,3;109,8;101,0;99,5;97,8;99,3;100,4;104,9;105,2;107,2;107,5;106,7
