1.1.3.2. Relatív árszínvonal, 2021 [EU27_2020=100,0%];;;;;;;;;;;;
Ország, országcsoport;Élelmiszerek és alkoholmentes italok;Szeszes italok, dohányáruk;Ruházat és lábbeli;Lakásszolgáltatás, víz, villamosenergia, gáz és egyéb tûzelõanyagok;Lakberendezés, lakásfelszerelés, rendszeres lakáskarbantartás;Egészségügy;Közlekedés és szállítás;Távközlés;Szabadidõ és kultúra;Oktatás;Vendéglátás és szálláshely-szolgáltatás;Egyéb termékek és szolgáltatások
Ausztria;107,1;87,7;103,1;113,1;110,0;144,9;109,1;100,4;114,5;175,2;115,5;115,2
Belgium;105,4;114,8;101,2;122,8;104,9;119,9;103,2;169,9;104,6;153,0;123,1;109,1
Bulgária;79,3;64,4;76,4;35,6;67,9;37,5;68,8;74,6;66,0;44,5;46,4;53,2
Ciprus;109,2;93,5;94,3;75,3;89,1;109,2;84,7;109,0;91,3;148,8;88,0;90,0
Csehország;89,3;90,2;92,9;75,3;89,4;49,8;79,9;118,0;74,4;70,1;67,3;69,1
Dánia;120,0;133,8;133,5;167,5;120,8;149,2;127,8;103,8;139,6;158,7;154,5;138,8
Észtország;97,4;100,1;107,6;70,1;92,7;80,3;84,6;82,3;91,4;75,3;95,5;85,6
Finnország;113,2;172,9;116,7;136,3;105,0;151,0;115,0;104,1;123,4;119,9;133,1;131,2
Franciaország;110,0;133,7;106,7;120,8;107,4;97,0;105,7;100,0;106,1;98,9;121,1;103,1
Görögország;106,0;101,1;94,1;68,3;88,3;86,0;89,8;169,4;86,2;55,0;84,8;83,1
Hollandia;97,6;114,0;99,4;135,1;105,0;130,8;118,7;128,1;107,0;138,8;110,0;118,2
Horvátország;96,9;87,0;92,0;43,3;86,2;56,3;83,4;109,2;78,6;52,9;80,1;67,1
Írország;119,1;204,6;99,4;188,5;103,1;171,5;110,5;146,5;112,8;112,1;129,5;136,6
Lengyelország;72,2;72,2;89,9;38,8;74,8;46,5;70,2;51,8;64,6;51,3;78,0;55,9
Lettország;97,0;95,3;103,4;62,6;86,9;59,9;78,0;83,2;87,6;64,2;87,4;74,9
Litvánia;87,9;88,2;102,5;45,9;87,4;58,6;79,8;75,7;77,2;59,0;76,1;69,6
Luxemburg;124,6;94,9;107,2;166,8;123,5;165,3;97,4;142,3;118,2;356,9;125,3;141,3
Magyarország;84,9;78,6;87,9;53,0;75,3;46,9;77,3;89,6;63,1;50,5;61,8;58,4
Málta;116,6;103,8;102,2;59,3;106,0;94,5;86,2;117,8;90,3;132,5;88,6;85,9
Németország;104,5;96,4;99,0;116,7;104,9;109,8;106,7;119,4;106,7;126,1;104,6;102,3
Olaszország;105,7;93,7;103,0;97,8;99,0;130,2;99,4;83,9;98,6;92,7;103,2;101,7
Portugália;101,2;98,9;103,0;81,1;93,0;93,2;93,6;119,3;87,5;75,3;72,9;88,3
Románia;69,0;79,1;84,0;43,6;70,1;28,5;69,4;38,6;62,8;31,4;53,5;45,3
Spanyolország;97,6;88,9;89,4;102,1;99,0;112,5;92,5;119,1;93,6;90,8;88,2;95,2
Svédország;117,4;135,7;121,5;125,3;117,0;166,7;130,1;137,1;130,9;181,5;137,4;134,7
Szlovákia;95,0;83,6;97,1;97,1;87,2;57,9;81,8;110,5;86,0;59,9;88,6;78,8
Szlovénia;99,9;83,7;96,0;74,8;98,1;93,2;85,9;108,5;93,8;91,4;87,4;87,8
EU27_2020;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Egyesült Királyság;92,2;166,3;88,1;167,9;98,3;135,6;103,3;116,5;105,0;152,7;104,5;114,7
Norvégia;149,0;232,5;126,9;126,3;121,7;207,1;139,7;188,7;155,2;197,6;167,2;164,4
Svájc;166,1;128,7;129,2;199,6;136,3;221,8;119,6;155,3;150,8;259,8;168,7;177,3
Szerbia;85,0;68,5;91,8;36,2;75,0;39,0;75,1;79,8;64,5;22,7;54,9;54,5
Törökország;63,1;53,1;45,3;20,9;49,3;23,4;56,1;48,4;40,6;8,9;41,5;32,9
