1.2.1.1. A fõbb ármutatók, havonta [elõzõ év azonos idõszaka=100,0%];;;;;;;
Év;Idõszak, hónap;Fogyasztóiár-index;Ipari termelõiár-index;Építõalapanyag-ipari árindex;A külkereskedelmi termékforgalom árindexe Behozatal;A külkereskedelmi termékforgalom árindexe Kivitel;Mezõgazdasági termékek termelõiár-indexe
2018.;január;102,1;103,3;104,9;99,3;99,7;102,1
;február;101,9;103,9;105,6;100,3;100,4;100,8
;március;102,0;103,5;105,8;100,2;100,3;99,8
;április;102,3;102,7;105,0;100,1;99,4;99,4
;május;102,8;105,3;106,4;102,0;101,8;100,5
;június;103,1;107,5;107,9;105,8;104,5;99,0
;július;103,4;108,4;108,3;106,9;105,4;100,3
;augusztus;103,4;108,1;108,2;108,5;106,0;104,8
;szeptember;103,6;106,7;107,8;107,6;105,1;105,0
;október;103,8;106,4;107,3;106,9;104,9;105,1
;november;103,1;105,1;106,6;105,5;104,1;104,5
;december;102,7;104,7;106,4;104,3;103,8;105,8
2019.;január;102,7;103,8;107,0;104,2;103,2;108,3
;február;103,1;102,7;106,2;103,0;102,1;107,7
;március;103,7;102,7;106,4;102,6;102,1;107,0
;április;103,9;104,1;106,9;103,6;103,2;106,6
;május;103,9;102,7;106,8;102,4;102,3;105,2
;június;103,4;100,1;105,4;99,2;99,7;110,1
;július;103,3;100,3;105,0;99,2;100,2;108,1
;augusztus;103,1;100,9;105,1;99,3;100,6;104,3
;szeptember;102,8;102,2;105,5;99,7;101,7;101,1
;október;102,9;101,5;105,2;99,5;101,4;102,3
;november;103,4;102,1;105,4;100,7;102,5;105,2
;december;104,0;102,4;105,2;101,0;101,9;104,6
2020.;január;104,7;103,8;106,2;102,2;103,6;103,6
;február;104,4;103,8;106,6;103,0;104,9;106,1
;március;103,9;104,3;107,0;103,5;106,4;108,0
;április;102,4;103,7;107,4;102,4;106,7;108,8
;május;102,2;101,7;106,6;101,4;104,1;107,0
;június;102,9;103,1;106,1;102,0;104,1;104,5
;július;103,8;103,4;106,3;101,9;103,5;104,5
;augusztus;103,9;103,6;106,3;101,3;103,0;106,6
;szeptember;103,4;105,2;106,9;102,4;104,5;106,6
;október;103,0;105,9;107,5;103,7;105,6;105,8
;november;102,7;105,5;106,8;103,3;104,3;107,2
;december;102,7;106,8;107,4;103,8;105,4;106,7
2021.;január;102,7;106,6;106,3;104,4;105,0;111,0
;február;103,1;108,1;106,0;105,2;105,0;116,7
;március;103,7;109,6;106,6;107,1;105,7;116,1
;április;105,1;109,8;106,2;108,0;104,9;115,5
;május;105,1;111,3;105,7;108,1;105,3;117,4
;június;105,3;111,6;107,9;108,4;105,3;120,5
;július;104,6;114,8;111,4;111,5;108,3;121,3
;augusztus;104,9;114,4;111,9;112,6;109,0;124,1
;szeptember;105,5;114,0;110,8;113,1;107,6;123,6
;október;106,5;118,5;111,3;118,4;110,0;126,1
;november;107,4;121,6;112,6;120,5;112,4;127,2
;december;107,4;122,3;113,1;123,5;114,6;131,0
2022.;január;107,9;122,3;115,4;121,2;113,5;129,7
;február;108,3;122,4;115,5;123,3;114,1;124,9
;március;108,5;125,9;118,6;126,7;117,7;137,4
;április;109,5;128,8;120,6;126,0;118,7;145,7
;május;110,7;132,3;125,8;133,1;124,3;145,4
;június;111,7;135,0;126,4;136,5;128,9;148,3
;július;113,7;137,9;124,7;138,3;129,3;150,7
;augusztus;115,6;143,4;125,5;142,5;131,3;152,9
;szeptember;120,1;142,7;127,3;141,8;130,1;161,0
;október;121,1;141,7;128,0;..;..;158,9
;november;122,5;..;..;..;..;..
;december;;;;;;
