1.2.1.17. Producer price indices of industry, monthly;;;;;;;;;;;;;;;;;;;;
Period, year;Period, month;Mining and quarrying B;Manufacture of food products, beverages and tobacco products CA;Manufacture of textiles, wearing apparel, leather and related products CB;Manufacture of wood and paper products, and printing CC;Manufacture of coke, and refined petroleum products CD;Manufacture of chemicals and chemical products CE;Manufacture of pharmaceuticals, medicinal chemical and botanical products CF;Manufacture of rubber and plastics products, and other non-metallic mineral products CG;Manufacture of basic metals and fabricated metal products CH;Manufacture of computer, electronic and optical products CI;Manufacture of electrical equipment CJ;Manufacture of machinery and equipment n.e.c. CK;Manufacture of transport equipment CL;Other manufacturing, and repair and installation of machinery and equipment CM;Manufacturing C;Electricity, gas, steam and air-conditioning supply D;Industry (water and waste management excl.) B+C+D;Water collection, treatment and supply E(36);Total industry B+C+D+E
2015=100.0%;;;;;;;;;;;;;;;;;;;;
2018;January;102,5;105,2;103,9;105,9;113,6;108,4;101,6;102,7;110,4;95,3;103,5;100,4;106,0;110,7;104,8;97,9;104,0;101,3;104,0
;February;103,1;105,7;104,5;106,6;112,2;110,5;101,3;103,0;111,3;95,8;104,3;100,7;107,3;111,5;105,6;99,2;104,8;101,3;104,8
;March;104,7;106,1;105,2;106,5;110,8;110,5;101,8;103,3;112,5;95,8;104,2;101,0;107,0;111,0;105,6;99,1;104,8;101,5;104,8
;April;105,3;105,9;104,8;106,7;117,4;109,5;100,8;103,7;112,5;95,6;104,1;100,6;106,5;110,9;105,5;96,8;104,5;101,7;104,5
;May;109,0;106,2;106,3;107,8;126,1;110,5;102,3;104,9;114,7;96,9;105,9;101,7;108,7;111,9;107,3;100,4;106,5;101,7;106,4
;June;108,9;107,0;108,1;109,4;132,2;114,1;104,7;106,5;116,7;98,8;107,6;103,2;110,5;112,8;109,2;102,9;108,5;101,9;108,4
;July;109,8;107,3;108,3;108,3;132,2;114,3;103,7;106,9;117,5;99,3;108,3;103,4;111,2;113,1;109,6;102,1;108,7;101,7;108,6
;August;110,5;107,5;108,6;108,8;135,3;114,6;104,0;107,0;117,1;98,7;108,1;103,7;109,2;113,2;109,1;104,3;108,6;102,8;108,5
;September;110,8;107,8;109,0;109,4;136,8;114,4;102,7;107,2;117,7;98,9;107,7;104,2;107,6;113,3;108,7;106,6;108,7;102,5;108,6
