1.2.3.1. Harmonizált fogyasztóiár-index, havonta [az elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Idõszak, év;Idõszak, hónap;Ausztria;Belgium;Bulgária;Ciprus;Csehország;Dánia;Észtország;Finnország;Franciaország;Görögország;Hollandia;Horvátország;Írország;Lengyelország;Lettország;Litvánia;Luxemburg;Magyarország;Málta;Németország;Olaszország;Portugália;Románia;Spanyolország;Svédország;Szlovákia;Szlovénia;EU27_2020;Egyesült Királyság;Egyesült Államok;Japán
2018.;január;101,9;101,8;101,3;98,5;102,1;100,6;103,6;100,8;101,5;100,2;101,5;101,2;100,3;101,6;102,0;103,6;101,3;102,1;101,2;101,5;101,2;101,1;103,4;100,7;101,6;102,6;101,7;101,4;102,7;102,1;101,4
;február;101,9;101,5;101,5;99,6;101,6;100,5;103,2;100,6;101,3;100,4;101,3;100,9;100,7;100,7;101,8;103,2;101,1;101,9;101,3;101,2;100,5;100,7;103,8;101,2;101,6;102,2;101,4;101,2;102,5;102,2;101,5
;március;102,0;101,5;101,9;99,6;101,6;100,4;102,9;100,9;101,7;100,2;101,0;101,2;100,5;100,7;102,3;102,5;101,1;102,0;101,3;101,7;100,9;100,8;104,0;101,3;102,0;102,5;101,5;101,4;102,3;102,4;101,1
;április;102,0;101,6;101,7;99,7;101,8;100,7;102,9;100,8;101,8;100,5;101,0;101,4;99,9;100,9;102,1;102,2;101,3;102,4;101,4;101,3;100,6;100,3;104,3;101,1;101,8;103,0;101,9;101,3;102,2;102,5;100,6
;május;102,1;102,3;102,3;101,0;102,0;101,0;103,1;101,0;102,3;100,8;101,9;101,8;100,7;101,2;102,4;102,9;102,1;102,9;101,7;102,5;101,0;101,4;104,6;102,1;102,0;102,7;102,2;102,0;102,3;102,8;100,7
;június;102,3;102,6;103,0;101,7;102,4;101,1;103,9;101,2;102,3;101,0;101,7;102,2;100,7;101,4;102,7;102,6;102,4;103,2;102,0;102,1;101,4;102,0;104,7;102,3;102,1;102,9;102,3;102,0;102,3;102,9;100,7
;július;102,3;102,7;103,6;101,4;102,2;100,9;103,3;101,4;102,6;100,8;101,9;102,2;101,0;101,4;102,7;102,3;102,5;103,4;102,1;102,2;101,9;102,2;104,3;102,3;102,2;102,6;102,1;102,2;102,3;102,9;100,9
;augusztus;102,3;102,6;103,7;101,7;102,4;100,8;103,5;101,4;102,6;100,9;101,9;102,1;100,9;101,4;102,8;101,8;102,4;103,4;102,4;102,1;101,6;101,3;104,7;102,2;102,1;102,9;102,0;102,1;102,4;102,7;101,3
;szeptember;102,1;102,8;103,6;101,7;102,1;100,5;103,5;101,4;102,5;101,1;101,6;101,6;101,2;101,5;103,3;102,4;102,7;103,7;102,5;102,2;101,5;101,8;104,7;102,3;102,5;102,7;102,2;102,1;102,2;102,3;101,2
;október;102,4;103,2;103,6;101,9;102,0;100,7;104,5;101,7;102,5;101,8;101,9;101,7;101,1;101,5;103,2;102,8;102,8;103,9;102,1;102,6;101,7;100,8;104,2;102,3;102,4;102,5;102,3;102,3;102,2;102,5;101,4
;november;102,3;102,9;103,0;101,6;101,6;100,7;103,2;101,4;102,2;101,1;101,8;101,3;100,8;101,1;102,9;102,4;102,6;103,2;101,4;102,2;101,6;100,9;103,2;101,7;102,1;102,0;102,1;101,9;102,2;102,2;100,8
;december;101,7;102,2;102,3;101,0;101,6;100,7;103,3;101,3;101,9;100,6;101,8;101,0;100,8;100,9;102,5;101,8;101,9;102,8;101,2;101,7;101,2;100,6;103,0;101,2;102,2;101,9;101,4;101,6;102,0;101,9;100,3
2019.;január;101,7;101,8;102,3;102,1;102,0;101,2;102,8;101,2;101,4;100,5;102,0;100,6;100,8;100,6;102,9;101,6;101,6;102,8;101,0;101,7;100,9;100,6;103,2;101,0;102,0;102,2;101,2;101,4;101,8;101,6;100,2
;február;101,4;102,0;102,4;100,8;102,4;101,1;101,9;101,3;101,6;100,8;102,6;100,8;100,7;101,3;102,8;102,0;102,1;103,2;101,3;101,7;101,1;100,9;104,0;101,1;101,9;102,3;101,3;101,6;101,8;101,5;100,2
;március;101,7;102,2;102,8;101,1;102,6;101,2;102,2;101,1;101,3;101,0;102,9;101,1;101,1;101,7;102,7;102,6;102,4;103,8;101,3;101,4;101,1;100,8;104,2;101,3;101,8;102,7;101,6;101,6;101,8;101,9;100,5
;április;101,7;102,0;103,1;101,2;102,4;100,9;103,2;101,5;101,5;101,1;103,0;100,8;101,7;102,1;103,3;102,7;102,2;103,9;101,7;102,1;101,1;100,9;104,4;101,6;102,1;102,4;101,8;101,9;102,0;102,0;100,9
;május;101,7;101,7;102,9;100,2;102,6;100,7;103,1;101,3;101,1;100,6;102,3;101,0;101,0;102,2;103,5;102,5;102,2;104,0;101,7;101,3;100,9;100,3;104,4;100,9;102,1;102,7;101,6;101,5;101,9;101,8;100,7
;június;101,6;101,3;102,3;100,3;102,4;100,5;102,6;101,1;101,4;100,2;102,7;100,5;101,1;102,3;103,1;102,4;101,5;103,4;101,8;101,5;100,8;100,7;103,9;100,6;101,6;102,7;101,9;101,5;101,9;101,6;100,7
;július;101,4;101,2;102,6;100,1;102,6;100,4;102,0;101,0;101,3;100,4;102,6;100,9;100,5;102,5;103,0;102,5;101,6;103,3;101,8;101,1;100,3;99,3;104,1;100,6;101,5;103,0;102,0;101,3;102,0;101,8;100,5
;augusztus;101,5;100,9;102,5;100,6;102,6;100,5;102,1;101,2;101,3;100,1;103,1;100,6;100,6;102,6;103,1;102,5;101,4;103,2;101,9;101,0;100,5;99,9;104,1;100,4;101,3;103,0;102,4;101,3;101,7;101,7;100,3
;szeptember;101,2;100,6;101,6;99,5;102,6;100,4;102,2;101,0;101,1;100,2;102,7;100,6;100,6;102,4;102,3;102,0;101,1;102,9;101,6;100,9;100,2;99,7;103,5;100,2;101,3;103,0;101,7;101,1;101,7;101,7;100,2
;október;101,0;100,2;101,6;99,5;102,6;100,6;101,4;100,9;100,9;99,7;102,8;100,6;100,6;102,3;102,2;101,5;100,8;103,0;101,4;100,9;100,2;99,9;103,2;100,2;101,6;102,9;101,5;101,0;101,5;101,8;100,2
;november;101,2;100,4;102,2;100,5;103,0;100,6;101,8;100,8;101,2;100,5;102,6;100,8;100,8;102,4;102,0;101,7;101,0;103,4;101,3;101,2;100,2;100,2;103,8;100,5;101,8;103,2;101,4;101,3;101,5;102,1;100,5
;december;101,8;100,9;103,1;100,7;103,2;100,8;101,8;101,1;101,6;101,1;102,8;101,3;101,1;103,0;102,1;102,7;101,8;104,1;101,3;101,5;100,5;100,4;104,0;100,8;101,7;103,2;102,0;101,6;101,4;102,3;100,8
2020.;január;102,2;101,4;103,4;100,7;103,8;100,8;101,6;101,2;101,7;101,1;101,7;101,8;101,1;103,8;102,2;103,0;102,5;104,7;101,4;101,6;100,4;100,8;103,9;101,1;101,5;103,2;102,3;101,7;101,8;102,5;100,7
;február;102,2;101,0;103,1;101,0;103,7;100,7;102,0;101,1;101,6;100,4;101,3;101,2;100,9;104,1;102,3;102,8;101,8;104,4;101,1;101,7;100,2;100,5;102,9;100,9;101,3;103,1;102,0;101,6;101,7;102,3;100,4
