3.2.2.1. A gazdasági szervezetek beruházásainak teljesítményértéke megye és régió szerint, negyedévente kumulált [millió Ft];;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2018. I.;2018. I–II.;2018. I–III.;2018. I–IV.;2019. I.;2019. I–II.;2019. I–III.;2019. I–IV.;2020. I.;2020. I–II.;2020. I–III.;2020. I–IV.;2021. I.;2021. I–II.;2021. I–III.;2021. I–IV.;2022. I.;2022. I–II.;2022. I–III.;2022. I–IV.
Budapest;fõváros, régió;456 431;1 213 370;2 144 724;3 396 655;554 379;1 435 683;2 446 559;3 854 985;676 688;1 602 422;2 600 165;4 133 843;666 473;1 717 243;2 888 992;4 631 817;786 339;2 096 592;3 643 283;
Pest ;megye, régió;89 441;234 616;373 228;632 722;119 649;274 279;428 286;654 014;137 032;321 111;511 894;847 426;163 324;449 333;755 865;1 212 427;344 498;689 088;1 018 453;
Közép-Magyarország;nagyrégió;545 872;1 447 986;2 517 953;4 029 376;674 028;1 709 962;2 874 845;4 508 998;813 720;1 923 533;3 112 060;4 981 269;829 797;2 166 576;3 644 857;5 844 245;1 130 836;2 785 680;4 661 736;
Fejér;megye;36 892;93 674;169 240;276 230;53 280;119 689;195 120;296 072;49 326;108 126;166 547;270 090;56 376;123 607;195 428;308 195;52 647;131 469;221 894;
Komárom-Esztergom;megye;43 231;89 347;152 051;236 290;51 064;106 943;196 106;310 047;131 880;273 358;376 308;522 020;91 248;176 624;264 717;395 767;92 053;184 797;291 312;
Veszprém;megye;26 395;65 508;107 656;164 877;35 098;78 035;127 744;195 463;35 642;69 438;110 196;175 210;36 593;95 723;147 317;229 682;42 733;109 721;171 510;
Közép-Dunántúl;régió;106 518;248 528;428 947;677 397;139 442;304 667;518 970;801 582;216 848;450 922;653 050;967 321;184 217;395 954;607 462;933 643;187 433;425 987;684 717;
Gyõr-Moson-Sopron;megye;60 702;140 022;233 698;407 376;76 026;170 269;264 575;413 956;61 488;130 346;200 732;338 785;57 668;137 629;231 326;387 252;71 255;166 815;273 220;
Vas;megye;26 471;52 371;79 553;118 443;22 291;48 494;78 700;118 606;21 044;51 905;82 183;123 312;24 889;60 527;107 843;150 876;29 057;76 033;113 237;
Zala;megye;9 331;22 336;38 762;65 222;12 391;32 157;54 986;82 859;14 400;31 805;55 528;89 563;21 335;50 923;81 062;125 009;23 075;51 304;81 875;
