4.1.1.25. Bejelentett új rosszindulatú daganatos megbetegedések;;;;;;;;;;
Év;Férfi;Nõ;Összesen;Százezer lakosra férfiak;Százezer lakosra nõk;Százezer lakosra összesen;Százezer lakosra és ebbõl: hörgõ és tüdõdaganatos férfiak;Százezer lakosra és ebbõl: hörgõ és tüdõdaganatos nõk;Százezer lakosra és ebbõl: hörgõ és tüdõdaganatosak összesen;Százezer lakosra és ebbõl: nõi emlõdaganat
2001;31 814;29 446;61 260;656,8;551,1;601,3;156,8;67,0;109,7;108,4
2002;32 163;30 522;62 685;666,2;572,5;617,1;154,8;66,9;108,7;130,6
2003;35 956;35 779;71 735;747,3;672,8;708,2;161,0;73,2;114,9;169,2
2004;34 126;33 164;67 290;711,2;624,7;665,8;150,3;70,3;108,3;144,2
2005;34 688;32 525;67 213;724,3;613,9;666,3;150,0;72,7;109,4;135,5
2006;34 623;32 364;66 987;724,1;611,8;665,1;153,3;72,5;110,9;134,6
2007;34 178;32 524;66 702;715,9;615,8;663,3;145,9;76,6;109,5;128,1
2008;37 590;35 357;72 947;788,7;670,7;726,7;157,4;80,7;117,1;143,8
2009;35 361;33 606;68 967;742,9;638,6;688,1;147,9;76,6;110,5;133,8
2010;33 189;32 577;65 766;698,7;620,6;657,7;137,1;74,2;104,1;133,2
2011;34 494;33 180;67 674;728,1;633,9;678,7;143,3;80,0;110,1;133,6
2012;36 816;36 023;72 839;779,9;692,7;734,2;145,7;84,0;113,3;145,4
2013;37 133;37 033;74 166;788,4;714,5;749,7;140,3;87,3;112,5;151,1
2014;37 492;37 324;74 816;797,8;722,4;758,3;145,5;89,0;115,9;153,0
2015;38 151;38 604;76 755;813,1;749,5;779,8;146,4;94,8;119,4;158,7
2016;39 320;39 313;78 633;839,8;766,0;801,2;150,6;97,4;122,8;161,8
2017;38 677;38 506;77 183;827,6;752,9;788,5;150,6;101,3;124,8;163,5
2018;36 021;36 585;72 606;770,7;717,1;742,7;119,0;77,9;97,6;164,0
2019;37 707;37 640;75 347;806,0;739,1;771,1;135,5;97,4;115,6;161,9
2020;32 670;33 702;66 372;699,2;663,7;680,7;119,8;83,5;100,9;145,4
2021;32 089;34 256;66 345;689,4;677,6;683,3;118,7;86,3;101,8;151,0
