4.1.1.35. Krónikus betegség nem és korcsoport szerint ;;;;;;;;;;;;;;;;;
Év;Krónikus beteg 16–24 éves;Nem beteg 16–24 éves;Krónikus beteg 25–34 éves;Nem beteg 25–34 éves;Krónikus beteg 35–44 éves;Nem beteg 35–44 éves;Krónikus beteg 45–54 éves;Nem beteg 45–54 éves;Krónikus beteg 55–64 éves;Nem beteg 55–64 éves;Krónikus beteg 65–74 éves;Nem beteg 65–74 éves;Krónikus beteg 75– éves;Nem beteg 75– éves;Krónikus beteg együtt;Nem beteg együtt;Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;
2010;57,7;564,5;72,2;589,9;127,1;529,2;245,6;449,7;348,0;307,0;250,4;108,4;162,5;34,8;1 263,5;2 583,5;3 847,0
2011;46,4;529,5;53,1;600,3;107,3;556,6;241,7;431,5;365,7;328,8;237,7;130,4;170,7;43,6;1 222,6;2 620,7;3 843,3
2012;50,7;532,8;46,0;551,1;117,4;574,6;225,6;426,4;391,4;346,7;235,2;110,1;175,1;54,9;1 241,4;2 596,7;3 838,1
2013;52,5;519,0;49,5;509,0;122,0;575,9;218,4;436,2;402,0;367,6;248,3;110,6;181,0;44,3;1 273,6;2 562,6;3 836,2
2014;36,6;519,3;45,7;529,4;114,1;547,2;228,5;446,5;408,0;363,9;240,4;112,5;177,8;45,8;1 251,0;2 564,6;3 815,7
2015;52,2;481,5;64,7;519,4;136,3;546,6;239,1;430,9;427,4;339,3;264,9;98,0;185,8;37,0;1 370,3;2 452,8;3 823,1
2016;43,3;462,7;61,6;524,9;117,9;553,4;206,4;458,4;397,8;334,6;261,8;115,3;196,7;42,2;1 285,6;2 491,5;3 777,1
2017;47,0;463,2;52,1;507,2;124,3;544,2;232,7;465,9;362,2;313,2;285,4;105,7;208,2;46,9;1 311,9;2 446,2;3 758,1
2018;46,8;456,2;50,3;447,4;136,7;511,4;225,7;495,1;368,5;307,1;297,7;134,0;212,7;54,1;1 338,3;2 405,3;3 743,6
2019;43,4;446,1;47,4;435,3;128,4;519,7;229,2;472,5;424,7;307,6;298,0;141,5;196,8;50,7;1 367,9;2 373,3;3 741,2
2020;51,3;449,6;59,1;463,2;117,0;490,0;230,6;495,1;377,4;321,7;311,3;136,3;196,0;48,9;1 342,7;2 404,9;3 747,6
2021;19,5;446,4;51,7;475,1;103,2;482,4;228,6;543,7;330,8;331,5;338,0;136,8;190,7;45,7;1 262,5;2 461,6;3 724,1
Nõk becsült száma, ezer fõ;;;;;;;;;;;;;;;;;
2010;48,6;553,6;66,0;563,0;129,9;535,8;289,4;471,4;438,3;346,3;386,8;166,7;344,2;65,9;1 703,1;2 702,7;4 405,9
2011;44,3;531,9;61,5;571,3;116,5;512,8;277,2;469,6;462,5;349,5;408,7;162,3;358,5;71,7;1 729,3;2 669,1;4 398,4
2012;38,4;532,1;58,2;545,3;113,0;531,1;273,0;439,3;480,3;378,9;403,8;147,2;366,0;67,4;1 732,7;2 641,4;4 374,0
2013;49,0;489,7;59,6;530,3;123,8;523,7;264,7;433,0;513,1;374,6;411,9;135,2;383,2;62,3;1 805,3;2 548,8;4 354,1
2014;41,3;480,0;57,0;529,3;113,1;522,1;265,0;459,2;513,3;354,7;413,5;132,7;390,4;66,9;1 793,8;2 544,9;4 338,6
