4.1.1.36. Korlátozottság  nem és korcsoport szerint ;;;;;;;;;;;;;;;;;;;;;;;;;
Év;"Korlátozottság a mindennapi tevékenységekben: súlyos, 
16–24 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
16–24 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
16–24 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
25–34 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
25–34 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
25–34 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
35–44 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
35–44 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
35–44 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
45–54 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
45–54 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
45–54 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
55–64 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
55–64 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
55–64 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
65–74 évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
65–74 évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
65–74 évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
75– évesek";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
75– évesek";"Korlátozottság a mindennapi tevékenységekben: nincs, 
75– évesek";"Korlátozottság a mindennapi tevékenységekben: súlyos, 
együtt";"Korlátozottság a mindennapi tevékenységekben: nem súlyos, 
együtt";"Korlátozottság a mindennapi tevékenységekben: nincs, 
együtt";Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
2010;8,7;23,0;590,6;15,7;31,1;615,3;21,9;74,5;559,9;51,3;132,1;511,9;79,7;198,0;377,2;65,4;132,8;160,6;49,8;89,8;57,7;292,4;681,5;2 873,1;3 847,0
2011;6,2;19,5;550,1;10,8;31,9;610,6;15,6;59,8;588,6;42,5;133,4;497,4;76,4;195,6;422,4;49,1;133,8;185,2;52,3;97,0;65,0;253,0;671,1;2 919,2;3 843,3
2012;6,5;22,0;555,1;7,4;23,0;566,7;24,3;40,3;627,4;40,5;96,4;514,8;81,5;187,3;469,4;51,2;110,9;183,3;55,9;95,0;79,2;267,2;574,9;2 995,7;3 837,8
2013;8,7;25,6;537,2;6,8;21,0;530,6;15,1;58,3;624,5;39,7;110,0;505,2;83,9;194,2;491,5;53,0;126,1;179,8;61,5;88,9;74,8;268,7;624,0;2 943,5;3 836,3
2014;10,9;11,5;533,4;5,3;18,3;551,4;16,1;49,4;595,9;45,8;105,6;523,6;64,5;213,7;494,0;41,3;136,9;174,7;57,6;94,5;71,6;241,5;629,7;2 944,6;3 815,9
2015;8,1;18,7;506,6;6,5;27,6;550,0;15,1;63,3;605,6;47,5;104,2;518,0;87,6;222,6;459,7;45,8;147,8;169,3;56,9;92,6;73,3;267,5;676,7;2 882,5;3 826,7
2016;6,0;22,4;478,9;15,8;25,0;547,8;14,5;59,0;600,5;25,5;92,0;548,6;65,0;207,4;460,0;44,5;124,6;208,0;50,0;111,0;78,0;221,2;641,3;2 921,7;3 784,3
2017;7,0;27,0;474,3;11,8;23,8;525,2;19,2;59,5;592,6;34,9;93,8;573,3;65,0;160,5;451,3;49,6;134,0;208,9;60,4;104,4;90,6;247,9;603,0;2 916,3;3 767,2
2018;5,9;23,7;470,8;9,7;21,4;465,6;17,9;58,7;568,9;28,9;91,2;596,0;55,7;163,7;457,2;49,9;141,5;240,6;65,5;102,0;97,8;233,4;602,1;2 896,9;3 732,5
