4.1.3.6. Egészségesen várható élettartam – nõk [év];;;;;;;;;;;;;;;;;
Ország, országcsoport;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ausztria;60,4;59,8;61,0;61,4;59,9;60,8;60,8;60,1;62,5;60,2;57,8;58,1;57,1;56,8;57,0;58,0;59,3
Belgium;58,4;62,3;63,2;63,9;64,1;63,8;62,6;63,6;65,0;63,7;63,7;64,0;63,7;64,0;63,7;62,8;64,0
Bulgária;..;..;71,9;73,9;65,7;65,8;67,1;65,9;65,7;66,6;66,1;65,0;67,5;66,2;67,6;68,4;67,8
Ciprus;..;58,2;63,3;62,8;64,5;65,3;64,2;61,0;64,0;65,0;66,1;63,4;68,8;65,8;62,4;63,0;63,1
Csehország;..;60,0;59,9;63,3;63,4;62,7;64,5;63,6;64,1;64,2;65,0;63,7;64,0;62,4;63,4;62,6;62,5
Dánia;69,0;68,4;67,2;67,4;60,8;60,4;61,4;59,9;61,5;60,1;61,4;57,6;60,3;59,7;59,1;58,8;57,7
Észtország;53,8;52,5;53,9;54,9;57,5;59,2;58,2;57,9;57,2;57,1;57,1;56,2;59,0;57,2;55,0;57,7;59,6
Finnország;53,1;52,5;52,8;58,0;59,5;58,6;57,9;58,3;56,2;..;57,5;56,3;57,0;56,4;55,7;54,8;55,9
Franciaország;64,3;64,6;64,4;64,4;64,5;63,5;63,4;63,6;63,8;64,3;64,2;64,6;64,1;64,9;64,5;64,6;65,3
Görögország;65,7;67,7;68,4;67,6;66,2;66,8;67,7;66,9;64,9;65,1;64,9;64,1;64,7;65,1;65,9;66,4;66,8
Hollandia;..;63,5;63,5;64,3;59,9;60,1;60,2;59,0;58,9;57,5;59,0;57,2;57,8;57,6;57,2;59,4;59,6
Horvátország;..;..;..;..;..;..;60,4;61,7;64,2;60,4;60,0;56,8;58,7;58,0;58,5;58,5;59,6
Írország;64,1;63,9;64,7;65,6;65,1;65,3;66,9;68,3;68,5;68,0;67,5;68,0;69,8;69,3;70,4;70,5;67,1
Lengyelország;..;66,9;62,9;61,5;63,0;62,5;62,3;63,2;62,8;62,7;62,7;63,2;64,6;63,5;64,3;64,1;64,3
Lettország;..;53,3;52,5;54,8;54,3;55,9;56,4;56,6;59,0;54,2;55,3;54,1;54,9;52,2;53,7;54,1;54,3
Litvánia;..;54,6;56,4;58,1;59,5;61,1;62,3;62,0;61,6;61,6;61,7;58,8;59,4;59,8;59,1;59,1;58,7
Luxemburg;60,2;62,4;62,1;64,6;64,2;65,9;66,4;67,1;66,4;62,9;63,5;60,6;58,9;58,1;59,8;61,9;62,4
Magyarország;..;54,3;57,2;57,8;58,2;58,2;58,6;59,2;60,4;60,1;60,6;60,1;60,2;60,8;61,8;62,8;63,5
Málta;..;70,4;69,5;71,1;72,1;71,0;71,3;70,7;72,2;72,7;74,5;74,6;72,4;73,4;73,4;73,5;70,7
Németország;..;54,8;58,3;58,6;57,7;58,1;58,7;58,6;57,9;57,0;56,5;67,5;67,3;66,7;66,3;67,1;66,8
Olaszország;71,0;67,8;64,7;62,6;61,9;62,7;..;62,5;61,4;61,2;62,3;62,7;67,2;66,4;66,9;68,6;68,7
Portugália;52,4;57,1;58,0;57,9;57,6;56,5;56,7;58,6;62,6;62,2;55,4;55,0;57,4;57,0;57,5;57,8;58,7
Románia;..;..;..;62,5;62,9;61,9;57,5;57,0;57,6;58,1;59,1;59,3;59,0;58,3;59,6;60,6;60,5
Spanyolország;62,6;63,5;63,6;63,2;63,7;62,2;63,8;65,6;65,8;63,9;65,0;64,1;66,5;69,9;68,0;70,4;66,3
Svédország;60,8;63,2;67,5;66,8;64,2;65,1;65,5;64,6;..;65,0;72,8;72,2;73,3;71,9;72,0;72,7;72,7
Szlovákia;..;56,6;54,6;56,1;52,5;52,6;52,0;52,3;53,1;54,3;54,6;55,1;57,0;55,6;56,6;56,3;57,1
Szlovénia;..;60,1;61,0;62,3;60,9;61,5;54,6;53,8;55,6;59,5;59,6;57,7;57,9;54,6;54,6;61,2;66,3
EU27_2020;63,7;61,6;62,1;62,1;61,6;61,3;62,2;61,7;61,7;61,1;61,4;63,3;64,4;64,3;64,2;65,1;64,5
Egyesült Királyság;..;65,5;64,9;66,0;66,3;66,1;65,6;65,2;64,5;64,8;64,2;63,3;63,1;62,0;60,8;..;..
Norvégia;65,3;64,2;63,4;66,1;69,0;67,8;69,8;76,1;70,4;68,6;69,8;68,9;67,8;70,0;69,1;68,1;66,7
Svájc;..;..;..;63,6;64,6;63,0;63,3;64,7;67,6;58,4;56,7;57,8;57,7;59,4;59,5;60,0;60,7
