5.8.1.7. A nagyon alacsony munkaintenzitású háztartásban élõk aránya nem, korcsoport, iskolai végzettség, gazdasági aktivitás, háztartástípus szerint (0-59 évesek) (EU2020 stratégia) [%];;;;;;;;;;;;;;;;;
Megnevezés;2004 referencia év;2005 referencia év;2006 referencia év;2007 referencia év;2008 referencia év;2009 referencia év;2010 referencia év;2011 referencia év;2012 referencia év;2013 referencia év;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év
Nemek szerint;;;;;;;;;;;;;;;;;
Összesen;9,5;13,1;11,3;12,0;11,3;11,9;12,8;13,5;13,6;12,8;9,4;8,2;6,6;5,7;5,0;5,0;5,5
Férfi;8,4;12,5;10,8;11,1;10,6;11,3;12,5;13,2;13,7;12,3;8,7;8,1;6,3;5,9;5,0;4,8;5,2
Nõ ;10,6;13,7;11,8;12,9;12,0;12,5;13,2;13,7;13,6;13,3;10,2;8,3;6,8;5,4;5,0;5,2;5,7
Korcsoportok szerint;;;;;;;;;;;;;;;;;
0–17 ;9,6;14,0;10,0;11,1;11,9;13,9;14,8;16,4;15,1;15,2;11,2;9,2;7,5;4,8;4,6;5,3;5,7
18–59 év;9,5;12,8;11,8;12,3;11,1;11,3;12,3;12,6;13,2;12,1;8,9;7,9;6,3;6,0;5,1;5,0;5,4
Iskolai végzettség szerint;;;;;;;;;;;;;;;;;
Legfeljebb alapfokú;18,9;30,0;25,8;26,8;23,6;23,8;27,9;31,6;33,3;30,1;21,2;19,4;15,1;12,6;13,0;11,8;13,5
Középfokú;7,4;9,4;9,8;10,2;9,4;9,3;10,0;9,6;10,2;10,0;8,0;6,7;5,2;5,2;4,2;4,3;4,7
Felsõfokú;3,3;4,7;3,6;3,8;3,4;4,5;4,6;5,1;4,3;3,9;3,2;2,4;2,0;2,3;1,8;1,6;2,2
Legjellemzõbb gazdasági aktívitás és nemek szerint;;;;;;;;;;;;;;;;;
Foglalkoztatott;0,1;0,2;0,2;0,2;0,3;0,1;0,2;0,2;0,2;0,2;0,1;0,2;0,1;0,1;0,1;0,1;0,1
Férfi;0,1;0,1;0,3;0,4;0,3;0,2;0,2;0,2;0,3;0,2;0,0;0,2;0,0;0,0;0,1;0,0;0,1
Nõ ;0,1;0,3;0,1;0,0;0,2;0,0;0,1;0,1;0,0;0,1;0,2;0,2;0,1;0,1;0,0;0,1;0,1
Munkanélküli;31,1;48,0;45,4;44,3;44,4;38,4;42,3;46,0;48,7;46,7;41,2;38,5;42,6;47,3;44,7;37,6;33,7
Férfi;40,0;55,8;51,5;48,2;46,8;42,6;46,1;51,8;57,0;50,7;45,7;42,1;45,2;52,8;46,4;41,9;39
Nõ ;23,5;38,6;38,9;40,0;41,6;32,9;37,5;39,5;39,1;41,7;35,3;33,4;38,6;40,7;43,0;33,6;29,1
Nyugdíjas;49,9;51,5;51,3;51,4;51,3;48,3;55,3;50,1;59,2;58,3;54,2;50,1;44,8;40,1;47,5;50,2;49,9
Férfi;46,4;48,5;48,9;48,8;35,4;36,6;44,8;44,6;52,3;50,9;35,7;36,4;36,5;30,6;37,8;33,2;35,4
Nõ ;52,7;53,8;53,3;53,6;61,4;56,4;64,7;55,0;64,3;62,2;63,1;56,4;49,6;48,2;54,1;67,5;59,8
Egyéb inaktív;13,1;17,9;16,3;17,7;26,8;25,6;27,8;28,8;27,7;26,3;23,1;22,5;18,4;18,9;17,6;16,2;18,9
Férfi;10,1;18,5;18,0;17,1;31,3;27,9;31,3;32,7;31,4;27,8;27,2;28,5;22,6;24,0;23,2;19,4;23,2
Nõ ;14,2;17,7;15,5;18,0;24,1;24,3;25,7;26,5;25,6;25,5;20,7;19,0;16,0;15,4;13,7;14,4;16,5
Háztartástípusok szerint;;;;;;;;;;;;;;;;;
Gyermektelen háztartások összesen;13,3;16,6;16,0;17,2;14,3;14,6;15,3;14,5;16,4;14,6;11,6;10,5;8,6;8,3;7,3;6,2;7,1
Ebbõl:;;;;;;;;;;;;;;;;;
egyszemélyes háztartás;24,6;30,9;32,1;34,7;25,4;26,6;26,6;26,1;27,8;25,8;22,4;17,2;13,5;14,9;15,1;10,0;10,7
2 felnõtt (mindkettõ 65 évesnél fiatalabb), gyermek nélkül;12,6;15,2;15,9;16,7;14,6;15,1;14,4;12,8;15,8;13,6;9,0;8,6;6,3;6,4;4,0;4,7;4,8
Gyermekes háztartások összesen;7,5;11,5;9,1;9,5;9,9;10,6;11,6;13,0;12,1;11,8;8,1;6,8;5,5;4,0;3,6;4,3;4,5
Ebbõl:;;;;;;;;;;;;;;;;;
egy szülõ gyermek(ek)kel;24,1;32,8;23,2;25,5;25,8;25,6;27,0;28,4;28,4;25,0;28,3;17,3;17,8;12,1;8,3;12,3;15,2
2 felnõtt 1 gyermekkel;4,9;8,0;7,0;6,0;7,1;6,2;8,2;9,2;7,6;7,2;3,5;4,4;3,1;4,3;3,4;3,7;2,9
2 felnõtt 2 gyermekkel;3,5;6,8;4,3;6,4;4,9;6,8;6,1;5,4;5,3;3,7;3,2;3,5;2,3;1,6;0,4;2,2;2,6
2 felnõtt 3 vagy több gyermekkel;11,7;17,3;13,5;14,3;16,2;16,6;18,9;20,8;17,6;19,3;10,3;8,8;7,9;4,2;5,9;4,8;6,3
Roma és a nem roma népesség körében;;;;;;;;;;;;;;;;;
Roma ;..;..;..;..;..;..;..;..;..;45,3;26,7;35,9;25,2;15,1;13,8;16,6;20,3
Nem roma;..;..;..;..;..;..;..;..;..;8,4;6,6;5,2;4,5;3,9;3,3;4,7;3,1
