5.1.1.11. Elégedettség nem, korcsoport, iskolai végzettség, családi állapot és jövedelmi ötöd szerint;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;Nemek szerint: férfiak átlaga;Nemek szerint: nõk átlaga;Nemek szerint: együttes átlag;Korcsoportok szerint: 16–24 évesek átlaga;Korcsoportok szerint: 25–34 évesek átlaga;Korcsoportok szerint: 35–44 évesek átlaga;Korcsoportok szerint: 45–54 évesek átlaga;Korcsoportok szerint: 55–64 évesek átlaga;Korcsoportok szerint: 65–74 évesek átlaga;Korcsoportok szerint: 75 évesek vagy idõsebbek átlaga;Iskolai végzettség szerint: legfeljebb alapfokú végzettségûek átlaga;Iskolai végzettség szerint: középfokú, érettségi nélküli végzettségûek átlaga;Iskolai végzettség szerint: középfokú, érettségivel végzettségûek átlaga;Iskolai végzettség szerint: felsõfokú végzettségûek átlaga;Családi állapot szerint: nõtlenek, hajadonok átlaga;Családi állapot szerint: házas, házastársával együtt élõk átlaga;Családi állapot szerint: házas, házastársával nem együtt élõk átlaga;Családi állapot szerint: özvegyek átlaga;Családi állapot szerint: elváltak átlaga;Az 1. jövedelmi ötödbe tartozók átlaga;A 2. jövedelmi ötödbe tartozók átlaga;A 3. jövedelmi ötödbe tartozók átlaga;A 4. jövedelmi ötödbe tartozók átlaga;Az 5. jövedelmi ötödbe tartozók átlaga
2013;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,1;6,1;6,1;7,0;6,7;6,3;5,7;5,8;5,9;5,6;5,4;6,0;6,8;7,1;6,5;6,3;5,2;5,4;5,4;5,1;6,0;6,1;6,2;6,9
a háztartása anyagi helyzetével?;5,2;5,2;5,2;5,3;5,3;5,1;4,7;5,1;5,5;5,6;4,4;5,0;5,8;6,6;5,1;5,4;4,3;5,1;4,4;3,4;4,6;5,1;5,6;6,5
a lakásával?;6,7;6,8;6,8;6,7;6,5;6,7;6,6;6,9;7,1;7,1;6,1;6,8;7,2;7,5;6,5;7,1;5,7;6,8;6,2;5,4;6,6;6,8;7,1;7,5
a jelenlegi munkájával?;7,0;7,1;7,1;7,0;7,2;7,2;6,9;7,0;6,3;6,6;6,2;6,8;7,5;7,7;7,0;7,2;6,7;6,7;6,8;6,3;6,8;7,0;7,1;7,6
a munkába járásra fordított idõvel?;7,0;7,2;7,1;7,0;7,1;7,2;7,1;7,2;6,8;5,5;6,7;6,9;7,5;7,6;7,0;7,2;6,9;7,2;6,9;6,7;6,9;7,0;7,2;7,5
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;6,3;6,3;6,3;6,8;6,2;5,9;5,8;6,5;6,9;6,7;6,1;6,2;6,6;6,8;6,5;6,3;5,9;6,6;6,1;5,6;6,0;6,3;6,6;6,9
a személyes kapcsolataival?;7,5;7,6;7,6;8,0;7,8;7,6;7,4;7,6;7,5;7,4;7,3;7,5;7,9;7,9;7,7;7,8;6,9;7,3;7,0;7,1;7,5;7,7;7,7;7,8
a lakókörnyezetében sportolásra, pihenésre rendelkezésre álló helyekkel és zöldterületekkel?;6,2;6,2;6,2;6,3;6,2;6,2;6,1;6,2;6,3;6,2;5,8;6,2;6,5;6,7;6,2;6,3;5,5;6,1;6,0;5,4;6,1;6,3;6,4;6,7
a lakókörnyezete minõségével?;6,5;6,5;6,5;6,4;6,4;6,5;6,4;6,5;6,5;6,7;6,1;6,5;6,8;7,0;6,3;6,7;5,6;6,5;6,1;5,6;6,4;6,5;6,7;6,9
2015;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,1;6,1;6,1;6,9;6,7;6,4;5,8;5,8;5,8;5,4;5,3;5,8;6,4;6,9;6,4;6,3;5,2;5,4;5,4;5,2;5,9;5,9;6,3;6,9
a háztartása anyagi helyzetével?;5,3;5,3;5,3;5,3;5,6;5,3;5,0;5,1;5,4;5,6;4,4;4,9;5,5;6,3;5,2;5,6;4,2;5,1;4,5;3,8;4,8;5,1;5,7;6,5
a lakásával?;6,6;6,7;6,6;6,5;6,5;6,6;6,5;6,7;6,9;6,9;6,0;6,5;6,9;7,3;6,4;7,0;5,4;6,6;6,1;5,5;6,4;6,7;7,0;7,3
a jelenlegi munkájával?;5,9;5,7;5,8;5,4;6,5;6,5;6,3;5,6;4,4;4,1;4,4;5,6;6,0;6,8;5,9;6,1;5,1;4,5;5,5;4,8;5,7;5,7;5,9;6,5
a munkába járásra fordított idõvel?;5,9;5,8;5,9;5,3;6,6;6,6;6,6;5,7;4,3;3,9;4,6;5,7;6,1;6,8;5,9;6,2;5,3;4,6;5,8;5,1;5,9;5,8;5,8;6,4
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;6,4;6,3;6,3;6,7;6,4;6,0;6,0;6,3;6,8;6,4;6,0;6,2;6,5;6,7;6,5;6,3;5,9;6,4;6,2;5,6;6,2;6,3;6,5;6,9
a személyes kapcsolataival?;7,4;7,5;7,5;7,9;7,7;7,4;7,3;7,4;7,4;7,2;7,1;7,4;7,7;7,7;7,6;7,6;6,8;7,2;7,0;7,0;7,4;7,4;7,6;7,8
a lakókörnyezete minõségével?;6,8;6,8;6,8;6,7;6,8;6,8;6,8;6,8;6,8;7,0;6,3;6,8;6,9;7,1;6,7;7,0;6,2;6,8;6,5;6,0;6,7;6,8;7,1;7,1
2016;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,2;6,0;6,1;6,9;6,6;6,4;6,0;5,7;5,8;5,4;5,4;6,0;6,4;6,9;6,4;6,3;5,1;5,3;5,5;5,4;5,8;5,9;6,3;6,7
a háztartása anyagi helyzetével?;5,2;5,2;5,2;5,3;5,4;5,3;5,0;4,9;5,3;5,5;4,4;4,9;5,4;6,3;5,1;5,5;4,0;4,9;4,5;3,9;4,7;5,0;5,6;6,3
a lakásával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a jelenlegi munkájával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a személyes kapcsolataival?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a lakókörnyezete minõségével?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2017;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,2;6,0;6,1;6,7;6,6;6,4;6,1;5,7;5,8;5,3;5,3;5,8;6,4;7,0;6,3;6,4;5,7;5,2;5,5;5,5;5,7;5,9;6,2;6,8
a háztartása anyagi helyzetével?;5,2;5,1;5,2;5,2;5,4;5,3;5,1;4,9;5,1;5,4;4,2;4,8;5,5;6,4;5,1;5,5;4,7;4,9;4,5;4,1;4,5;5,0;5,4;6,4
a lakásával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a jelenlegi munkájával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a személyes kapcsolataival?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a lakókörnyezete minõségével?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2018;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,5;6,5;6,5;7,3;7,2;6,8;6,5;6,1;6,1;5,6;5,8;6,2;6,8;7,2;6,8;6,8;5,9;5,6;6,0;5,9;6,3;6,5;6,5;7,1
a háztartása anyagi helyzetével?;5,6;5,5;5,5;5,6;5,9;5,7;5,5;5,2;5,5;5,5;4,6;5,2;5,8;6,6;5,5;5,8;5,2;5,1;5,0;4,2;5,0;5,5;5,8;6,7
a lakásával?;7,1;7,1;7,1;6,8;6,8;7,0;7,1;7,1;7,5;7,4;6,4;6,9;7,3;7,7;6,7;7,4;6,9;7,2;6,8;6,1;6,6;7,2;7,4;7,8
a jelenlegi munkájával?;7,1;7,1;7,1;7,1;7,2;7,1;7,1;6,9;8,2;7,8;6,1;6,9;7,2;7,6;7,0;7,1;7,1;6,8;7,1;6,5;6,8;7,1;7,2;7,5
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;6,4;6,3;6,4;7,0;6,6;6,0;6,0;6,3;6,8;6,3;6,1;6,2;6,5;6,7;6,6;6,4;6,2;6,3;6,1;5,9;6,1;6,5;6,5;6,7
a személyes kapcsolataival?;7,5;7,6;7,6;8,0;7,8;7,6;7,5;7,4;7,6;7,1;7,2;7,5;7,7;7,8;7,6;7,7;7,2;7,3;7,3;7,3;7,4;7,6;7,7;7,8
a lakókörnyezete minõségével?;7,1;7,1;7,1;6,8;7,0;7,1;7,1;7,0;7,2;7,2;6,5;6,9;7,3;7,6;6,8;7,3;6,8;7,0;6,9;6,4;6,8;7,2;7,3;7,5
2019;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,4;6,3;6,3;7,4;7,0;6,7;6,4;5,9;5,9;5,4;5,6;6,0;6,6;7,1;6,7;6,6;5,5;5,5;5,7;5,8;6,0;6,2;6,5;6,9
a háztartása anyagi helyzetével?;5,5;5,4;5,4;5,9;5,8;5,7;5,4;5,2;5,2;5,2;4,5;5,1;5,7;6,5;5,5;5,8;5,0;5,0;4,8;4,4;4,9;5,4;5,7;6,4
a lakásával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a jelenlegi munkájával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a személyes kapcsolataival?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a lakókörnyezete minõségével?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2020;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,8;6,7;6,8;7,8;7,4;7,1;6,8;6,4;6,3;6,0;6,1;6,5;6,9;7,4;7,1;7,0;6,5;5,9;6,3;6,2;6,6;6,6;7,0;7,2
a háztartása anyagi helyzetével?;5,8;5,7;5,7;6,2;6,1;5,9;5,8;5,5;5,5;5,4;4,7;5,4;6,0;6,7;5,8;6,0;5,9;5,2;5,1;4,6;5,4;5,5;6,1;6,7
a lakásával?;7,4;7,4;7,4;7,5;7,1;7,2;7,3;7,5;7,6;7,7;6,7;7,3;7,6;7,8;7,1;7,6;7,7;7,4;7,1;6,6;7,2;7,4;7,6;7,9
a jelenlegi munkájával?;7,1;7;7,1;7,3;7,2;7,2;7,1;7;6,9;6,5;6,4;6,9;7,2;7,5;7,1;7,1;7,5;6,6;7;6,6;6,9;6,9;7,2;7,5
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;6,6;6,6;6,6;7,5;6,7;6,2;6,2;6,5;6,9;6,6;6,4;6,5;6,7;6,7;6,7;6,6;6,7;6,6;6,2;6,3;6,4;6,5;6,7;6,9
a személyes kapcsolataival?;7,6;7,8;7,7;8,2;7,9;7,6;7,7;7,6;7,7;7,6;7,6;7,8;7,7;7,8;7,7;7,9;7,5;7,6;7,4;7,6;7,8;7,7;7,8;7,8
a lakókörnyezete minõségével?;7,2;7,3;7,3;7,3;7,1;7,1;7,2;7,3;7,4;7,6;6,7;7,2;7,4;7,6;7,0;7,5;7,3;7,3;7,0;6,7;7,3;7,2;7,4;7,6
2021;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,6;6,5;6,5;7,1;7,0;6,9;6,6;6,3;6,2;5,9;5,7;6,3;6,7;7,2;6,7;6,8;5,9;5,9;6,2;5,7;6,3;6,5;6,7;7,1
a háztartása anyagi helyzetével?;5,7;5,6;5,6;5,7;5,9;5,9;5,6;5,4;5,5;5,4;4,5;5,3;5,8;6,6;5,6;5,9;5,2;5,1;5,3;4,3;5,1;5,5;6,0;6,6
a lakásával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a jelenlegi munkájával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a személyes kapcsolataival?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a lakókörnyezete minõségével?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2022;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire elégedett Ön;;;;;;;;;;;;;;;;;;;;;;;;
az életével mostanában?;6,9;6,8;6,9;7,5;7,4;7,1;7,0;6,6;6,6;6,3;6,2;6,6;7,0;7,4;7,0;7,2;6,1;6,2;6,5;6,2;6,8;6,7;7,0;7,3
a háztartása anyagi helyzetével?;6,1;5,9;5,9;6,2;6,3;6,2;6,0;5,7;5,8;5,7;4,8;5,6;6,2;6,9;5,9;6,3;5,2;5,5;5,5;4,8;5,6;5,7;6,2;6,9
a lakásával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a jelenlegi munkájával?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
a munkába járásra fordított idõvel?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
azon idõ mennyiségével, amelyet az Ön által kedvelt dolgokkal tölthet?;6,5;6,5;6,5;6,6;6,4;6,0;6,2;6,5;7,2;7,1;6,3;6,4;6,7;6,6;6,4;6,5;6,0;6,9;6,5;6,0;6,3;6,5;6,7;6,9
a személyes kapcsolataival?;7,5;7,7;7,6;7,8;7,8;7,6;7,7;7,4;7,6;7,5;7,2;7,5;7,7;7,9;7,5;7,8;7,3;7,5;7,4;7,1;7,6;7,6;7,8;7,9
a lakókörnyezete minõségével?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
