5.1.1.12. Hasznosságérzet nem, korcsoport, iskolai végzettség, családi állapot és jövedelmi ötöd szerint;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;Nemek szerint: férfiak átlaga;Nemek szerint: nõk átlaga;Nemek szerint: együttes átlag;Korcsoportok szerint: 16–24 évesek átlaga;Korcsoportok szerint: 25–34 évesek átlaga;Korcsoportok szerint: 35–44 évesek átlaga;Korcsoportok szerint: 45–54 évesek átlaga;Korcsoportok szerint: 55–64 évesek átlaga;Korcsoportok szerint: 65–74 évesek átlaga;Korcsoportok szerint: 75 évesek vagy idõsebbek átlaga;Iskolai végzettség szerint: legfeljebb alapfokú végzettségûek átlaga;Iskolai végzettség szerint: középfokú, érettségi nélküli végzettségûek átlaga;Iskolai végzettség szerint: középfokú, érettségivel végzettségûek átlaga;Iskolai végzettség szerint: felsõfokú végzettségûek átlaga;Családi állapot szerint: nõtlenek, hajadonok átlaga;Családi állapot szerint: házas, házastársával együtt élõk átlaga;Családi állapot szerint: házas, házastársával nem együtt élõk átlaga;Családi állapot szerint: özvegyek átlaga;Családi állapot szerint: elváltak átlaga;Az 1. jövedelmi ötödbe tartozók átlaga;A 2. jövedelmi ötödbe tartozók átlaga;A 3. jövedelmi ötödbe tartozók átlaga;A 4. jövedelmi ötödbe tartozók átlaga;Az 5. jövedelmi ötödbe tartozók átlaga
2013;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire;;;;;;;;;;;;;;;;;;;;;;;;
érzi tartalmasnak azokat a dolgokat, amelyeket csinál?;6,9;7,1;7,0;7,4;7,4;7,2;6,9;7,0;6,9;6,3;6,4;6,8;7,4;7,8;7,1;7,3;6,5;6,5;6,7;6,3;7,0;7,0;7,1;7,6
tartja önmagát a társadalom fontos, hasznos tagjának?;7,0;7,0;7,0;7,4;7,4;7,3;7,0;6,9;6,5;5,9;6,2;6,8;7,3;7,7;7,2;7,2;6,5;6,2;6,6;6,2;7,0;7,0;7,0;7,4
2015;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire;;;;;;;;;;;;;;;;;;;;;;;;
érzi tartalmasnak azokat a dolgokat, amelyeket csinál?;7,0;7,0;7,0;7,4;7,3;7,2;7,0;6,9;6,8;6,2;6,3;6,9;7,3;7,7;7,1;7,2;6,5;6,4;6,7;6,4;7,0;6,9;7,1;7,5
tartja önmagát a társadalom fontos, hasznos tagjának?;6,8;6,8;6,9;7,3;7,3;7,2;6,9;6,7;6,1;5,6;6,0;6,7;7,1;7,6;7,0;7,0;6,0;5,9;6,5;6,2;6,9;6,7;6,9;7,2
2018;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire;;;;;;;;;;;;;;;;;;;;;;;;
érzi tartalmasnak azokat a dolgokat, amelyeket csinál?;6,9;6,8;6,9;7,2;7,4;7,2;7,1;6,7;6,6;5,6;6,0;6,7;7,2;7,6;7,0;7,1;6,8;5,9;6,8;6,4;6,6;6,8;6,9;7,4
tartja önmagát a társadalom fontos, hasznos tagjának?;6,9;6,8;6,8;7,3;7,5;7,3;7,3;6,6;6,2;5,2;6,0;6,7;7,1;7,6;7,1;7,1;6,6;5,7;6,6;6,4;6,6;6,8;6,8;7,3
2020;;;;;;;;;;;;;;;;;;;;;;;;
Összességében mennyire;;;;;;;;;;;;;;;;;;;;;;;;
érzi tartalmasnak azokat a dolgokat, amelyeket csinál?;7,2;7,2;7,2;7,9;7,5;7,5;7,4;7,2;7,0;6,1;6,4;7,1;7,4;7,8;7,4;7,4;7,2;6,4;7,0;6,8;7,1;7,0;7,4;7,6
tartja önmagát a társadalom fontos, hasznos tagjának?;7,2;7,2;7,2;7,9;7,7;7,6;7,6;7,1;6,7;5,7;6,4;7,2;7,3;7,7;7,5;7,4;7,1;6,2;7,0;6,8;7,2;6,9;7,4;7,6
