5.1.1.14. Társas kapcsolatok nem, korcsoport, iskolai végzettség, családi állapot és jövedelmi ötöd szerint [%];;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;Relatív gyakoriságok nemek szerint: férfi;Relatív gyakoriságok nemek szerint: nõ;Relatív gyakoriságok nemek szerint: együtt;Relatív gyakoriságok korcsoportok szerint: 16–24 éves;Relatív gyakoriságok korcsoportok szerint: 25–34 éves;Relatív gyakoriságok korcsoportok szerint: 35–44 éves;Relatív gyakoriságok korcsoportok szerint: 45–54 éves;Relatív gyakoriságok korcsoportok szerint: 55–64 éves;Relatív gyakoriságok korcsoportok szerint: 65–74 éves;Relatív gyakoriságok korcsoportok szerint: 75 éves vagy idõsebb;Relatív gyakoriságok iskolai végzettség szerint: legfeljebb alapfokú;Relatív gyakoriságok iskolai végzettség szerint: középfokú, érettségi nélkül;Relatív gyakoriságok iskolai végzettség szerint: középfokú, érettségivel;Relatív gyakoriságok iskolai végzettség szerint: felsõfokú;Relatív gyakoriságok családi állapot szerint: nõtlen, hajadon;Relatív gyakoriságok családi állapot szerint: házas, házastársával együtt él;Relatív gyakoriságok családi állapot szerint: házas, házastársával nem él együtt;Relatív gyakoriságok családi állapot szerint: özvegy;Relatív gyakoriságok családi állapot szerint: elvált;Relatív gyakoriságok az 1. jövedelmi ötödben;Relatív gyakoriságok a 2. jövedelmi ötödben;Relatív gyakoriságok a 3. jövedelmi ötödben;Relatív gyakoriságok a 4. jövedelmi ötödben;Relatív gyakoriságok az 5. jövedelmi ötödben
2013;;;;;;;;;;;;;;;;;;;;;;;;
Meg tudja-e beszélni valakivel a személyes dolgait?;;;;;;;;;;;;;;;;;;;;;;;;
igen;96,5;96,7;96,6;99,4;98,7;97,3;95,9;95,7;95,3;94,1;95,5;95,7;97,4;98,1;97,3;99,0;89,5;92,3;91,2;95,7;97,5;96,9;96,2;96,7
nem;3,5;3,3;3,4;0,6;1,3;2,7;4,1;4,3;4,7;5,9;4,5;4,3;2,6;1,9;2,7;1,0;10,5;7,7;8,8;4,3;2,5;3,1;3,8;3,3
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Vannak-e olyan rokonai, barátai vagy szomszédjai, akiktõl segítséget kérhet?;;;;;;;;;;;;;;;;;;;;;;;;
igen;96,8;97,1;97,0;98,7;97,8;97,1;96,3;96,1;96,2;97,7;95,3;96,0;97,9;98,8;97,0;97,8;95,3;95,9;94,9;94,2;96,6;97,1;97,8;98,2
nem;3,2;2,9;3,0;1,3;2,2;2,9;3,7;3,9;3,8;2,3;4,7;4,0;2,1;1,2;3,0;2,2;4,7;4,1;5,1;5,8;3,4;2,9;2,2;1,8
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2015;;;;;;;;;;;;;;;;;;;;;;;;
Meg tudja-e beszélni valakivel a személyes dolgait?;;;;;;;;;;;;;;;;;;;;;;;;
igen;97,9;98,3;98,1;99,7;99,2;98,7;97,8;97,5;97,3;96,6;97,3;98,1;98,5;98,5;98,4;99,2;98,0;96,5;95,2;97,6;98,2;97,6;98,2;98,8
nem;2,1;1,7;1,9;0,3;0,8;1,3;2,2;2,5;2,7;3,4;2,7;1,9;1,5;1,5;1,6;0,8;2,0;3,5;4,8;2,4;1,8;2,4;1,8;1,2
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2018;;;;;;;;;;;;;;;;;;;;;;;;
Meg tudja-e beszélni valakivel a személyes dolgait?;;;;;;;;;;;;;;;;;;;;;;;;
igen;95,6;96,1;95,9;98,4;97,2;96,4;95,8;94,8;95,3;93,6;93,9;95,7;96,6;97,2;96,3;97,8;90,1;91,9;93,2;93,9;95,5;95,9;96,5;96,9
nem;4,4;3,9;4,1;1,6;2,8;3,6;4,2;5,2;4,7;6,4;6,1;4,3;3,4;2,8;3,7;2,2;9,9;8,1;6,8;6,1;4,5;4,1;3,5;3,1
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
