5.1.1.16. Biztonságérzet nem, korcsoport, iskolai végzettség, családi állapot és jövedelmi ötöd szerint [%];;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;Relatív gyakoriságok nemek szerint: férfi;Relatív gyakoriságok nemek szerint: nõ;Relatív gyakoriságok nemek szerint: együtt;Relatív gyakoriságok korcsoportok szerint: 16–24 éves;Relatív gyakoriságok korcsoportok szerint: 25–34 éves;Relatív gyakoriságok korcsoportok szerint: 35–44 éves;Relatív gyakoriságok korcsoportok szerint: 45–54 éves;Relatív gyakoriságok korcsoportok szerint: 55–64 éves;Relatív gyakoriságok korcsoportok szerint: 65–74 éves;Relatív gyakoriságok korcsoportok szerint: 75 éves vagy idõsebb;Relatív gyakoriságok iskolai végzettség szerint: legfeljebb alapfokú;Relatív gyakoriságok iskolai végzettség szerint: középfokú, érettségi nélkül;Relatív gyakoriságok iskolai végzettség szerint: középfokú, érettségivel;Relatív gyakoriságok iskolai végzettség szerint: felsõfokú;Relatív gyakoriságok családi állapot szerint: nõtlen, hajadon;Relatív gyakoriságok családi állapot szerint: házas, házastársával együtt él;Relatív gyakoriságok családi állapot szerint: házas, házastársával nem él együtt;Relatív gyakoriságok családi állapot szerint: özvegy;Relatív gyakoriságok családi állapot szerint: elvált;Relatív gyakoriságok az 1. jövedelmi ötödben;Relatív gyakoriságok a 2. jövedelmi ötödben;Relatív gyakoriságok a 3. jövedelmi ötödben;Relatív gyakoriságok a 4. jövedelmi ötödben;Relatív gyakoriságok az 5. jövedelmi ötödben
2013;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;27,2;9,6;17,2;23,4;22,3;21,8;17,1;14,8;10,6;6,7;14,5;18,4;17,1;19,5;23,4;17,0;8,0;8,7;14,6;18,1;16,9;14,6;15,0;21,4
eléggé biztonságban érzem magam;51,6;44,2;47,5;47,2;49,8;47,6;51,5;49,7;41,1;37,7;42,9;50,4;46,8;50,7;48,1;50,7;42,9;38,7;43,1;47,9;45,7;48,8;46,7;48,1
egy kicsit veszélyben érzem magam;15,6;29,1;23,3;21,7;19,9;21,9;21,8;22,6;28,5;31,7;25,7;21,0;23,9;22,0;20,5;22,3;32,6;29,1;26,1;23,3;24,6;24,2;24,5;20,1
nagyon veszélyben érzem magam;5,6;17,1;12,1;7,6;7,9;8,8;9,7;13,0;19,8;23,9;16,9;10,2;12,2;7,7;8,0;10,0;16,4;23,5;16,2;10,8;12,7;12,4;13,8;10,4
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2015;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;33,2;14,6;22,9;26,9;29,7;28,1;23,8;20,4;15,1;12,8;16,5;24,7;23,8;26,0;28,8;23,4;21,1;12,4;18,9;19,3;20,4;21,4;21,4;30,3
eléggé biztonságban érzem magam;53,1;49,0;50,9;51,8;48,9;52,1;54,7;51,4;48,7;44,5;46,6;52,3;50,2;54,6;49,6;53,4;54,1;44,9;50,5;53,9;54,1;48,4;50,3;48,8
egy kicsit veszélyben érzem magam;11,5;27,0;20,0;17,6;18,5;16,8;17,3;21,6;24,2;27,6;26,0;17,7;20,6;15,9;18,0;18,6;17,3;27,8;22,1;21,0;19,3;22,4;21,3;16,6
nagyon veszélyben érzem magam;2,2;9,4;6,2;3,7;2,9;3,1;4,2;6,6;11,9;15,1;11,0;5,2;5,4;3,4;3,6;4,6;7,5;14,8;8,4;5,8;6,2;7,8;7,0;4,3
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2016;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;37,9;15,6;25,5;33,9;32,4;30,0;27,0;21,8;18,8;11,2;20,5;26,4;25,9;29,1;33,9;24,9;18,6;14,0;21,5;22,8;25,6;22,9;23,2;31,7
eléggé biztonságban érzem magam;49,5;50,2;49,9;48,9;47,3;52,1;52,7;52,2;46,3;44,9;46,1;50,6;49,6;53,1;47,7;53,2;52,4;45,5;47,2;53,1;50,1;49,0;49,7;48,3
egy kicsit veszélyben érzem magam;10,7;25,3;18,9;14,5;17,7;15,2;16,4;19,8;25,6;26,1;23,2;17,6;19,7;15,1;15,5;17,2;25,1;26,2;24,2;19,2;18,9;20,4;20,1;16,1
nagyon veszélyben érzem magam;1,9;8,9;5,8;2,8;2,6;2,7;3,9;6,3;9,4;17,8;10,2;5,4;4,8;2,6;2,9;4,7;3,9;14,3;7,2;4,9;5,4;7,6;7,1;4,0
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2017;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;40,5;17,1;27,3;35,3;36,2;34,6;26,8;24,3;18,3;13,2;20,3;26,4;27,3;37,0;35,4;28,3;20,0;12,6;23,0;25,7;26,3;26,3;23,5;33,6
eléggé biztonságban érzem magam;50,6;51,9;51,3;49,2;49,3;49,6;56,5;53,8;50,7;44,8;49,3;54,1;52,2;48,7;49,7;53,4;57,3;46,9;52,1;54,5;52,2;50,5;51,4;49,3
egy kicsit veszélyben érzem magam;7,5;23,7;16,7;13,3;12,2;13,4;13,8;17,8;22,8;27,3;21,7;15,9;16,4;11,9;12,2;14,6;20,2;28,5;20,2;15,8;16,2;17,3;20,3;13,6
nagyon veszélyben érzem magam;1,4;7,3;4,7;2,2;2,3;2,4;2,9;4,1;8,2;14,7;8,7;3,5;4,0;2,5;2,7;3,7;2,5;12,1;4,7;4,1;5,3;5,9;4,8;3,5
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2018;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;44,5;20,7;31,3;37,4;37,2;37,0;35,1;28,5;23,2;16,6;25,4;32,9;30,5;37,5;37,2;33,1;22,2;17,5;27,6;30,0;30,5;30,4;29,6;35,5
eléggé biztonságban érzem magam;47,9;55,3;52,0;48,8;50,2;48,9;53,9;54,2;54,1;52,4;48,3;53,1;54,0;51,7;49,1;53,6;58,0;51,0;53,2;51,3;53,8;50,7;53,1;51,3
egy kicsit veszélyben érzem magam;6,5;18,8;13,3;11,8;11,0;12,1;9,4;13,6;17,4;21,9;19,9;11,1;12,6;9,8;11,7;11,2;18,0;22,1;14,7;14,8;12,4;15,2;13,9;10,7
nagyon veszélyben érzem magam;1,1;5,1;3,4;2,0;1,6;2,1;1,7;3,7;5,3;9,2;6,5;2,9;2,9;1,0;2,0;2,1;1,8;9,3;4,4;3,9;3,3;3,8;3,4;2,5
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2019;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;39,3;18,4;27,5;35,3;34,4;29,2;31,9;24,6;20,7;16,0;21,3;30,8;25,7;32,9;34,1;28,7;30,5;14,6;22,3;25,9;25,8;26,0;28,7;30,2
eléggé biztonságban érzem magam;51,4;54,8;53,3;52,6;51,0;56,8;53,3;56,4;51,2;47,9;49,3;51,2;56,5;54,8;51,2;55,5;45,9;48,9;55,5;54,5;52,7;53,3;51,1;55,1
egy kicsit veszélyben érzem magam;8,3;21,3;15,7;10,3;12,8;11,8;12,7;16,0;22,3;26,7;22,2;14,5;15,2;10,9;12,8;13,1;21,4;27,6;18,0;16,3;16,6;16,3;16,8;12,8
nagyon veszélyben érzem magam;1,0;5,4;3,5;1,9;1,8;2,2;2,1;3,0;5,9;9,4;7,2;3,4;2,5;1,4;1,9;2,7;2,2;8,8;4,1;3,2;4,8;4,4;3,4;1,9
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2020;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;46,4;23,4;32,7;40,1;38,7;37,9;35,0;33,2;24,1;20,6;26,9;36,4;30,2;37,8;39,6;34,2;28,2;19,9;28,5;31,8;34,5;27,3;31,8;37,6
eléggé biztonságban érzem magam;44,1;53,0;49,4;41,3;47,0;48,7;50,8;50,6;52,5;49,1;45,3;46,7;52,3;51,3;45,0;51,1;55,0;48,7;51,7;46,7;47,6;50,9;51,5;49,3
egy kicsit veszélyben érzem magam;8,3;19,4;14,9;15,4;12,2;11,2;12,2;14,1;19,1;24,0;21,0;13,6;15,6;10,0;13,3;12,7;14,4;25,1;15,4;16,3;15,3;17,8;14,7;11,5
nagyon veszélyben érzem magam;1,2;4,2;3,0;3,2;2,1;2,2;2,1;2,1;4,3;6,3;6,8;3,3;1,9;0,9;2,1;2,0;2,4;6,2;4,5;5,1;2,7;4,0;2,0;1,6
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2021;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;42,4;20,2;29,0;36,7;36,3;31,0;33,1;28,4;21,5;17,0;22,5;31,9;28,1;32,4;35,8;29,9;22,4;18,1;25,6;25,6;27,2;28,3;29,6;32,3
eléggé biztonságban érzem magam;51,0;58,9;55,8;51,7;51,5;58,0;54,9;58,1;57,8;53,9;52,3;55,4;56,8;57,3;52,4;57,8;55,6;54,1;56,5;57,4;55,2;53,8;54,1;58,3
egy kicsit veszélyben érzem magam;5,4;17,7;12,9;10,2;10,2;10,1;10,3;11,8;17,6;21,7;20,4;10,5;12,7;9,5;10,1;10,7;19,9;22,0;15,0;14,9;14,6;14,0;14,0;8,3
nagyon veszélyben érzem magam;1,1;3,2;2,4;1,5;2,1;0,9;1,7;1,7;3,1;7,5;4,8;2,2;2,4;0,8;1,7;1,6;2,1;5,9;2,9;2,0;2,9;3,9;2,3;1,2
összesen;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
2022;;;;;;;;;;;;;;;;;;;;;;;;
Mennyire érzi biztonságban magát, ha egyedül sétál lakóhelye környékén sötétedés után?;;;;;;;;;;;;;;;;;;;;;;;;
nagyon biztonságban érzem magam;48,9;24,3;34,0;41,6;39,9;39,1;38,7;33,0;27,5;19,3;26,1;35,5;34,0;38,7;40,3;37,6;23,9;20,2;27,8;30,5;36,9;31,7;34,0;36,6
eléggé biztonságban érzem magam;44,1;55,4;50,9;42,8;49,6;50,2;49,7;52,4;53,4;53,3;48,8;50,1;52,7;50,9;47,5;49,9;62,6;53,9;55,4;50,1;49,0;49,3;52,5;52,7
