5.1.1.7. A nagyon alacsony munkaintenzitású háztartásban élõk aránya nem, korcsoport, iskolai végzettség, gazdasági aktivitás, háztartástípus szerint (0–64 évesek) (EU2030 cél) [%];;;;;;;;
Megnevezés;2014 referencia év;2015 referencia év;2016 referencia év;2017 referencia év;2018 referencia év;2019 referencia év;2020 referencia év;2021 referencia év
Nemek szerint;;;;;;;;
Összesen;8,8;7,7;6,3;5,5;4,9;4,9;5,3;4,9
Férfi;8,6;8,1;6,3;5,9;5,1;4,8;5,3;4,9
Nõ ;9,0;7,2;6,4;5,2;4,7;5,1;5,4;4,9
Korcsoportok szerint;;;;;;;;
0–17 ;11,0;9,0;7,4;4,7;4,6;5,3;5,8;5,4
18–64 év;8,2;7,3;6,0;5,8;5,0;4,8;5,2;6,1
Iskolai végzettség szerint;;;;;;;;
Legfeljebb alapfokú;20,7;18,9;15,2;12,5;13,0;12;13,7;10,3
Középfokú;7,3;6,1;4,8;5,0;3,9;3,9;4,3;3,9
Felsõfokú;2,2;1,5;1,5;2,2;1,8;1,4;1,8;1,2
Legjellemzõbb gazdasági aktívitás és nemek szerint;;;;;;;;
Foglalkoztatott;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,2
Férfi;0,1;0,2;0,1;0,0;0,1;0,0;0,1;..
Nõ ;0,1;0,2;0,1;0,1;0,0;0,1;0,1;..
Munkanélküli;43,8;39,5;44,8;50,5;46,5;38;33,9;46,5
Férfi;48,5;46,0;47,7;53,8;50,6;41,2;40,8;..
Nõ ;37,4;30,0;40,4;46,4;42,6;34,9;27,7;..
Nyugdíjas;..;..;..;..;..;..;..;0,1
Férfi;..;..;..;..;..;..;..;..
Nõ ;..;..;..;..;..;..;..;..
Egyéb inaktív;23,3;22,5;18,9;19,0;18,7;17;19,3;18,1
Férfi;27,4;28,9;23,8;24,3;25,3;19,6;23,7;..
Nõ ;20,8;18,6;16,1;15,4;14,1;15,5;16,7;..
Háztartástípusok szerint;;;;;;;;
Gyermektelen háztartások összesen;10,1;9,2;8,1;8,2;6,9;5,8;6,6;5,1
Ebbõl:;;;;;;;;
egyszemélyes háztartás;18,5;16,3;14,3;16,1;15,7;10,8;11,3;7,0
2 felnõtt (mindkettõ 65 évesnél fiatalabb), gyermek nélkül;7,4;7,1;5,5;5,2;2,9;4,1;3,7;5,2
Gyermekes háztartások összesen;8,0;6,6;5,3;3,7;3,6;4,3;4,6;4,6
Ebbõl:;;;;;;;;
egy szülõ gyermek(ek)kel;28,5;17,5;17,9;12,3;8,6;12,9;14,8;10,8
2 felnõtt 1 gyermekkel;3,5;4,0;2,5;3,8;2,9;3,4;3,1;3,5
2 felnõtt 2 gyermekkel;3,3;3,5;2,3;1,6;0,5;2,2;2,4;1,9
2 felnõtt 3 vagy több gyermekkel;9,5;8,8;8,3;4,1;5,9;4,8;6,5;8,5
Roma és a nem roma népesség körében;;;;;;;;
Roma ;..;..;..;..;..;..;20,2;18,5
Nem roma;..;..;..;..;..;..;3,8;4,4
