7.2.2.1. Az építõipari termelés értéke és volumenindexe a kivitelezõ székhelye, megye és régió szerint, havonta;;;;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. január;2021. február;2021. március;2021. április;2021. május;2021. június;2021. július;2021. augusztus;2021. szeptember;2021. október;2021. november;2021. december;2022. január;2022. február;2022. március;2022. április;2022. május;2022. június;2022. július;2022. augusztus;2022. szeptember;2022. október;2022. november;2022. december
Millió Ft;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;62 136;59 618;106 412;95 817;100 634;120 565;108 955;110 939;128 828;111 785;131 124;154 324;71 111;97 867;119 711;103 775;136 423;138 698;155 067;119 710;147 882;157 324;;
Pest ;megye, régió;16 586;20 935;35 430;35 074;36 098;45 466;38 349;38 263;48 252;47 268;52 178;62 309;28 330;40 003;52 821;45 780;52 975;58 575;51 664;54 674;64 544;53 912;;
Közép-Magyarország;nagyrégió;78 722;80 553;141 842;130 891;136 732;166 031;147 304;149 202;177 080;159 053;183 302;216 633;99 441;137 870;172 532;149 555;189 398;197 273;206 731;174 384;212 426;211 236;;
Fejér;megye;3 925;8 140;14 919;12 253;12 312;14 023;12 115;9 531;15 853;10 113;17 275;21 516;9 609;17 582;16 778;13 605;19 919;24 943;25 629;20 509;25 568;25 441;;
Komárom-Esztergom;megye;2 918;3 902;6 195;5 880;6 730;8 035;8 562;6 267;9 345;6 947;8 348;11 620;3 919;6 274;8 459;7 907;9 404;9 574;9 271;8 892;11 060;9 078;;
Veszprém;megye;2 558;2 703;4 471;4 704;5 505;6 667;5 423;5 434;5 312;6 086;6 494;9 295;2 974;4 291;7 245;5 136;7 487;7 471;8 194;6 706;10 347;7 015;;
Közép-Dunántúl;régió;9 401;14 745;25 585;22 837;24 547;28 725;26 100;21 232;30 510;23 146;32 117;42 431;16 502;28 147;32 482;26 648;36 810;41 988;43 094;36 107;46 975;41 534;;
Gyõr-Moson-Sopron;megye;4 317;5 188;8 946;8 855;10 401;12 877;10 595;10 541;13 380;11 643;13 723;17 400;6 034;7 234;13 271;9 835;13 585;14 106;13 917;12 407;16 391;13 980;;
Vas;megye;877;1 871;3 045;3 340;4 435;4 517;3 477;3 996;5 637;4 076;4 792;5 655;2 434;3 324;4 333;4 917;5 255;5 255;5 959;5 196;6 383;6 008;;
Zala;megye;3 165;5 587;7 562;6 010;9 304;8 678;7 185;9 175;9 750;9 313;9 898;12 224;5 048;6 506;9 862;8 704;11 624;8 523;9 390;11 172;12 696;10 776;;
Nyugat-Dunántúl;régió;8 359;12 646;19 553;18 205;24 140;26 072;21 257;23 712;28 767;25 032;28 413;35 279;13 516;17 064;27 466;23 456;30 464;27 884;29 266;28 775;35 470;30 764;;
Baranya;megye;2 696;3 331;4 859;5 317;5 207;7 415;5 457;6 174;7 775;10 069;7 231;11 200;3 497;5 530;8 825;6 881;8 756;10 837;7 601;7 883;9 772;8 435;;
Somogy;megye;1 993;3 536;5 814;5 126;4 446;8 392;5 701;5 810;7 119;5 269;6 747;11 184;3 009;4 940;6 401;5 780;6 424;6 656;7 362;8 958;8 106;6 860;;
Tolna ;megye;2 615;3 263;4 391;3 993;5 622;5 877;4 473;5 252;5 192;5 176;14 147;4 670;3 525;4 538;6 517;5 815;6 074;6 264;6 582;5 859;8 641;8 026;;
Dél-Dunántúl;régió;7 304;10 130;15 064;14 436;15 275;21 684;15 631;17 236;20 086;20 514;28 125;27 054;10 031;15 008;21 743;18 476;21 254;23 757;21 545;22 700;26 519;23 321;;
Dunántúl;nagyrégió;25 064;37 521;60 202;55 478;63 962;76 481;62 988;62 180;79 363;68 692;88 655;104 764;40 049;60 219;81 691;68 580;88 528;93 629;93 905;87 582;108 964;95 619;;
Borsod-Abaúj-Zemplén;megye;5 253;6 991;9 779;10 373;10 199;12 876;13 641;12 680;14 659;10 607;19 599;20 725;6 594;11 117;12 836;13 155;16 608;14 418;12 428;17 151;21 335;16 636;;
Heves;megye;2 361;2 170;3 651;3 177;5 247;4 184;4 133;4 493;5 033;5 820;5 499;7 602;3 270;3 543;5 136;5 124;5 719;5 180;5 259;5 796;6 423;5 819;;
Nógrád ;megye;724;809;1 431;1 264;1 525;1 851;1 482;1 496;1 839;1 683;2 015;2 670;1 091;1 508;2 258;1 951;2 040;2 080;1 894;2 108;2 434;2 061;;
Észak-Magyarország;régió;8 338;9 970;14 861;14 814;16 971;18 911;19 256;18 669;21 531;18 110;27 113;30 997;10 955;16 168;20 230;20 230;24 367;21 678;19 581;25 055;30 192;24 516;;
Hajdú-Bihar;megye;4 941;6 315;10 459;10 395;13 033;13 245;14 000;11 793;14 232;15 032;17 000;22 675;8 261;9 362;15 783;13 127;16 084;15 901;16 248;13 646;20 287;15 911;;
Jász-Nagykun-Szolnok;megye;2 531;3 539;4 973;5 332;5 551;7 764;6 460;6 203;7 827;6 954;7 084;9 608;3 465;5 229;7 033;7 112;6 872;8 506;8 442;5 561;8 771;7 250;;
Szabolcs-Szatmár-Bereg;megye;4 150;5 278;8 537;8 913;9 443;11 715;10 259;9 407;13 140;11 038;12 432;14 220;6 865;8 548;12 903;11 700;13 229;15 176;14 515;13 085;15 741;13 481;;
Észak-Alföld;régió;11 622;15 132;23 969;24 640;28 027;32 724;30 719;27 403;35 199;33 024;36 516;46 503;18 591;23 139;35 719;31 939;36 185;39 583;39 205;32 292;44 799;36 642;;
Bács-Kiskun ;megye;15 408;9 407;13 885;16 267;31 572;32 517;40 764;31 712;40 866;37 543;40 967;42 809;13 127;12 079;28 376;27 654;37 183;31 788;30 104;35 086;28 705;29 070;;
Békés;megye;2 103;2 804;4 075;4 108;4 259;5 360;4 882;5 295;6 191;5 300;5 750;7 041;3 239;4 073;7 103;5 030;5 960;6 131;5 387;5 913;7 429;6 794;;
Csongrád-Csanád;megye;16 153;3 360;8 847;6 646;10 559;10 451;7 818;9 889;12 941;9 379;10 210;12 200;14 237;4 344;16 216;9 391;10 492;13 839;13 981;14 099;15 661;13 207;;
Dél-Alföld;régió;33 664;15 571;26 807;27 021;46 390;48 328;53 464;46 896;59 998;52 222;56 927;62 050;30 603;20 496;51 695;42 075;53 635;51 758;49 472;55 098;51 795;49 071;;
Alföld és Észak;nagyrégió;53 624;40 673;65 637;66 475;91 388;99 963;103 439;92 968;116 728;103 356;120 556;139 550;60 149;59 803;107 644;94 244;114 187;113 019;108 258;112 445;126 786;110 229;;
Ország összesen;ország;157 410;158 747;267 681;252 844;292 082;342 475;313 731;304 350;373 171;331 101;392 513;460 947;199 639;257 892;361 867;312 379;392 113;403 921;408 894;374 411;448 176;417 084;;
Volumenindex, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;107,8;86,8;115,7;82,8;105,8;130,6;113,0;117,4;116,8;101,5;113,1;147,0;94,9;136,1;93,3;86,6;108,5;92,0;112,8;85,5;91,0;111,3;;
Pest ;megye, régió;110,2;89,5;113,3;107,7;124,9;129,8;112,9;122,6;107,8;126,9;110,7;126,3;141,6;158,4;123,6;104,4;117,4;103,1;106,8;113,2;106,0;90,2;;
Közép-Magyarország;nagyrégió;108,3;87,5;115,1;88,2;110,2;130,4;113,0;118,7;114,2;107,9;112,4;140,4;104,7;141,9;100,9;91,4;110,8;95,1;111,2;92,6;95,1;105,0;;
Fejér;megye;51,0;72,2;107,0;94,3;85,4;80,0;124,0;50,3;138,1;63,2;122,5;84,5;203,0;179,1;93,3;88,8;129,4;142,3;167,6;170,5;127,8;198,9;;
Komárom-Esztergom;megye;76,0;80,4;74,8;90,8;96,2;117,4;133,2;82,4;112,3;112,6;93,5;116,4;111,4;133,3;113,2;107,6;111,8;95,3;85,8;112,4;93,8;103,3;;
Veszprém;megye;108,8;70,1;94,1;137,4;151,2;128,5;109,7;119,5;114,3;115,1;100,9;141,0;96,4;131,6;134,4;87,3;108,8;89,6;119,7;97,8;154,3;91,1;;
Közép-Dunántúl;régió;67,7;73,8;94,9;99,8;98,0;97,2;123,5;68,3;124,8;84,2;109,0;100,9;145,6;158,3;105,3;93,4;120,0;116,9;130,8;134,8;122,0;141,9;;
Gyõr-Moson-Sopron;megye;91,1;78,3;104,9;110,2;136,5;153,7;115,4;108,0;120,4;123,1;120,0;143,2;115,9;115,6;123,0;88,9;104,5;87,6;104,1;93,3;97,1;94,9;;
Vas;megye;46,4;57,8;81,8;53,5;77,4;105,7;79,2;143,6;69,5;100,2;68,7;93,6;230,1;147,3;118,0;117,8;94,8;93,1;135,8;103,0;89,7;116,5;;
Zala;megye;127,1;135,4;114,5;90,3;184,9;106,6;98,8;130,4;115,7;148,7;91,3;92,9;132,3;96,6;108,1;115,9;99,9;78,6;103,6;96,5;103,2;91,5;;
Nyugat-Dunántúl;régió;91,7;90,4;103,7;87,0;131,3;125,4;102,0;121,1;104,0;126,5;97,1;112,5;134,1;111,9;116,5;103,1;101,0;85,6;109,1;96,2;97,7;97,2;;
