7.2.2.2. Az építõipari termelés értéke és volumenindexe a kivitelezõ székhelye, megye és régió szerint, negyedévente kumulált;;;;;;;;;
Területi egység neve;Területi egység szintje;2021. I. negyedév;2021. I. félév;2021. I–III. negyedév;2021. I–IV. negyedév;2022. I. negyedév;2022. I. félév;2022. I–III. negyedév;2022. I–IV. negyedév
Millió forint;;;;;;;;;
Budapest;fõváros, régió;228 166;545 182;893 904;1 291 137;288 689;667 585;1 090 244;
Pest ;megye, régió;72 951;189 589;314 453;476 208;121 154;278 484;449 366;
Közép-Magyarország;nagyrégió;301 117;734 771;1 208 357;1 767 345;409 843;946 069;1 539 610;
Fejér;megye;26 984;65 572;103 071;151 975;43 969;102 436;174 142;
Komárom-Esztergom;megye;13 015;33 660;57 834;84 749;18 652;45 537;74 760;
Veszprém;megye;9 732;26 608;42 777;64 652;14 510;34 604;59 851;
Közép-Dunántúl;régió;49 731;125 840;203 682;301 376;77 131;182 577;308 753;
Gyõr-Moson-Sopron;megye;18 451;50 584;85 100;127 866;26 539;64 065;106 780;
Vas;megye;5 793;18 085;31 195;45 718;10 091;25 518;43 056;
Zala;megye;16 314;40 306;66 416;97 851;21 416;50 267;83 525;
Nyugat-Dunántúl;régió;40 558;108 975;182 711;271 435;58 046;139 850;233 361;
Baranya;megye;10 886;28 825;48 231;76 731;17 852;44 326;69 582;
Somogy;megye;11 343;29 307;47 937;71 137;14 350;33 210;57 636;
Tolna ;megye;10 269;25 761;40 678;64 671;14 580;32 733;53 815;
Dél-Dunántúl;régió;32 498;83 893;136 846;212 539;46 782;110 269;181 033;
Dunántúl;nagyrégió;122 787;318 708;523 239;785 350;181 959;432 696;723 147;
Borsod-Abaúj-Zemplén;megye;22 023;55 471;96 451;147 382;30 547;74 728;125 642;
Heves;megye;8 182;20 790;34 449;53 370;11 949;27 972;45 450;
Nógrád ;megye;2 964;7 604;12 421;18 789;4 857;10 928;17 364;
Észak-Magyarország;régió;33 169;83 865;143 321;219 541;47 353;113 628;188 456;
Hajdú-Bihar;megye;21 715;58 388;98 413;153 120;33 406;78 518;128 699;
Jász-Nagykun-Szolnok;megye;11 043;29 690;50 180;73 826;15 727;38 217;60 991;
Szabolcs-Szatmár-Bereg;megye;17 965;48 036;80 842;118 532;28 316;68 421;111 762;
Észak-Alföld;régió;50 723;136 114;229 435;345 478;77 449;185 156;301 452;
Bács-Kiskun ;megye;38 700;119 056;232 398;353 717;53 582;150 207;244 102;
Békés;megye;8 982;22 709;39 077;57 168;14 415;31 536;50 265;
Csongrád-Csanád;megye;28 360;56 016;86 664;118 453;34 797;68 519;112 260;
Dél-Alföld;régió;76 042;197 781;358 139;529 338;102 794;250 262;406 627;
Alföld és Észak;nagyrégió;159 934;417 760;730 895;1 094 357;227 596;549 046;896 535;
Ország összesen;ország;583 838;1 471 239;2 462 491;3 647 052;819 398;1 927 811;3 159 292;
Volumenindex, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;
Budapest;fõváros, régió;104,5;104,6;108,7;111,9;104,9;99,4;98,1;
Pest ;megye, régió;104,7;114,1;113,9;116,2;137,7;119,1;114,8;
Közép-Magyarország;nagyrégió;104,6;106,9;110,0;113,0;112,9;104,5;102,4;
Fejér;megye;82,0;84,2;87,3;87,5;135,1;126,8;135,9;
Komárom-Esztergom;megye;76,7;90,3;97,0;100,0;118,8;109,7;103,8;
Veszprém;megye;88,8;114,6;114,5;116,1;123,6;105,4;112,4;
Közép-Dunántúl;régió;81,8;91,0;94,7;96,0;128,6;117,7;121,9;
Gyõr-Moson-Sopron;megye;92,8;115,2;115,0;119,5;119,3;102,6;100,8;
Vas;megye;65,5;72,1;77,3;79,6;144,4;114,2;110,7;
Zala;megye;123,4;122,0;119,1;113,7;108,9;101,2;101,1;
Nyugat-Dunántúl;régió;96,7;106,8;107,4;108,3;118,7;104,0;102,6;
Baranya;megye;90,0;109,2;115,6;124,3;136,0;124,7;115,9;
Somogy;megye;107,6;129,4;126,6;123,8;104,9;91,9;96,6;
Tolna ;megye;88,6;110,5;105,7;114,2;117,7;103,1;107,7;
Dél-Dunántúl;régió;95,0;116,0;115,9;120,9;119,4;106,6;106,3;
Dunántúl;nagyrégió;89,6;101,9;104,0;106,1;122,9;110,1;111,0;
Borsod-Abaúj-Zemplén;megye;102,4;116,5;124,2;129,9;115,0;109,3;104,6;
Heves;megye;105,0;114,8;116,0;122,6;121,1;109,1;106,0;
Nógrád ;megye;91,8;108,2;110,0;109,4;135,9;116,6;112,4;
Észak-Magyarország;régió;101,9;115,3;120,8;126,1;118,4;109,9;105,6;
Hajdú-Bihar;megye;83,4;110,7;114,5;118,3;127,6;109,0;105,0;
Jász-Nagykun-Szolnok;megye;113,1;121,9;110,3;104,4;118,1;104,3;97,6;
Szabolcs-Szatmár-Bereg;megye;90,0;103,4;107,2;109,5;130,7;115,5;111,0;
Észak-Alföld;régió;91,0;110,1;110,9;112,0;126,6;110,3;105,5;
Bács-Kiskun ;megye;99,6;94,3;111,6;121,6;114,8;102,1;84,1;
Békés;megye;101,5;107,4;113,7;109,5;133,1;112,7;103,3;
Csongrád-Csanád;megye;127,1;122,6;116,1;115,3;101,7;99,6;104,5;
Dél-Alföld;régió;108,6;102,4;112,9;118,8;112,1;102,6;91,1;
Alföld és Észak;nagyrégió;101,0;107,3;113,7;117,9;118,0;106,6;98,5;
Ország összesen;ország;100,1;105,9;109,7;112,8;116,4;106,3;103,2;
