8.1.2.5. A települési önkormányzatok fõbb adatai, 2022. január 1.;;;;;;;
Területi egység neve;Területi egység szintje;Települési önkormányzatok száma összesen;Ebbõl: önálló polgármesteri hivatalt fenntartó 1;Ebbõl: közös önkormányzati hivatalt fenntartó község, város önkormányzata, amely egyben a hivatal székhelye 2;Ebbõl: önálló polgármesteri hivatalt fenntartó önkormányzat, amely más önkormányzatok közös önkormányzati hivatalának is helyet biztosít 3;Ebbõl: közös önkormányzati hivatalt fenntartó község, város önkormányzata, amely egyben a hivatal székhelye és más közös önkormányzati hivatalnak helyet biztosít 4;Ebbõl: közös önkormányzati hivatalt fenntartó község önkormányzata, a hivatal székhelye más helységben van, a településen állandó vagy ideiglenes kirendeltség mûködhet 5
Budapest;fõváros, régió;24;24;–;–;–;–
;ebbõl:;;;;;;
;fõvárosi;1;1;–;–;–;–
;fõvárosi kerületi;23;23;–;–;–;–
Pest ;megye, régió;187;122;27;–;–;38
Közép-Magyarország;nagyrégió;211;146;27;–;–;38
Fejér;megye;108;41;25;–;–;42
Komárom-Esztergom;megye;76;23;21;–;–;32
Veszprém;megye;217;10;47;–;–;160
Közép-Dunántúl;régió;401;74;93;–;–;234
Gyõr-Moson-Sopron;megye;183;24;46;–;–;113
Vas;megye;216;4;39;–;–;173
Zala;megye;258;6;47;–;–;205
Nyugat-Dunántúl;régió;657;34;132;–;–;491
Baranya;megye;301;6;50;–;–;245
Somogy;megye;246;10;53;–;–;183
Tolna ;megye;109;9;28;–;–;72
Dél-Dunántúl;régió;656;25;131;–;–;500
Dunántúl;nagyrégió;1 714;133;356;–;–;1 225
Borsod-Abaúj-Zemplén;megye;358;39;81;–;–;238
Heves;megye;121;22;39;–;–;60
Nógrád ;megye;131;9;40;–;–;82
Észak-Magyarország;régió;610;70;160;–;–;380
Hajdú-Bihar;megye;82;34;19;–;–;29
Jász-Nagykun-Szolnok;megye;78;32;20;–;–;26
Szabolcs-Szatmár-Bereg;megye;229;45;64;–;–;120
Észak-Alföld;régió;389;111;103;–;–;175
Bács-Kiskun ;megye;119;42;34;–;–;43
Békés;megye;75;26;19;–;–;30
Csongrád-Csanád;megye;60;27;13;–;–;20
Dél-Alföld;régió;254;95;66;–;–;93
Alföld és Észak;nagyrégió;1 253;276;329;–;–;648
Ország összesen;ország;3 178;555;712;–;–;1 911
