8.1.2.6. Közös önkormányzati hivatalok a székhely jogállása szerint, 2022. január 1. ;;;;;;;
Területi egység neve;Területi egység szintje;Közös önkormányzati hivatalok száma;Közös önkormányzati hivatal székhelye megyei jogú város;Közös önkormányzati hivatal székhelye város;Közös önkormányzati hivatal székhelye nagyközség;Közös önkormányzati hivatal székhelye község;Közös önkormányzati hivatalokhoz tartozó települések száma
Budapest;fõváros, régió;–;–;–;–;–;–
Pest ;megye, régió;27;–;5;3;19;65
Közép-Magyarország;nagyrégió;27;–;5;3;19;65
Fejér;megye;25;–;2;2;21;67
Komárom-Esztergom;megye;21;–;6;1;14;53
Veszprém;megye;47;1;9;1;36;207
Közép-Dunántúl;régió;93;1;17;4;71;327
Gyõr-Moson-Sopron;megye;46;–;4;4;38;159
Vas;megye;39;–;11;–;28;212
Zala;megye;47;–;5;3;39;252
Nyugat-Dunántúl;régió;132;–;20;7;105;623
Baranya;megye;50;–;10;3;37;295
Somogy;megye;53;–;10;1;42;236
Tolna ;megye;28;1;6;3;18;100
Dél-Dunántúl;régió;131;1;26;7;97;631
Dunántúl;nagyrégió;356;2;63;18;273;1 581
Borsod-Abaúj-Zemplén;megye;81;–;12;3;66;319
Heves;megye;39;–;5;2;32;99
Nógrád ;megye;40;–;2;–;38;122
Észak-Magyarország;régió;160;–;19;5;136;540
Hajdú-Bihar;megye;19;–;8;3;8;48
Jász-Nagykun-Szolnok;megye;20;–;6;2;12;46
Szabolcs-Szatmár-Bereg;megye;64;–;12;10;42;184
Észak-Alföld;régió;103;–;26;15;62;278
Bács-Kiskun ;megye;34;–;6;3;25;77
Békés;megye;19;–;6;2;11;49
Csongrád-Csanád;megye;13;1;3;–;9;33
Dél-Alföld;régió;66;1;15;5;45;159
Alföld és Észak;nagyrégió;329;1;60;25;243;977
Ország összesen;ország;712;3;128;46;535;2 623
