8.1.2.7. A települési nemzetiségi önkormányzatok nemzetiségek szerint, 2022. január 1.;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;Nemzetiségi önkormányzatok;Bolgár nemzetiségi önkormányzat;Görög nemzetiségi önkormányzat;Horvát nemzetiségi önkormányzat;Lengyel nemzetiségi önkormányzat;Német nemzetiségi önkormányzat;Örmény nemzetiségi önkormányzat;Roma nemzetiségi önkormányzat;Román nemzetiségi önkormányzat;Ruszin nemzetiségi önkormányzat;Szerb nemzetiségi önkormányzat;Szlovák nemzetiségi önkormányzat;Szlovén nemzetiségi önkormányzat;Ukrán nemzetiségi önkormányzat
Budapest;fõváros, régió;224;22;21;17;17;23;22;23;17;12;19;16;1;14
Pest ;megye, régió;181;5;4;3;4;48;1;66;9;1;11;27;–;2
Közép-Magyarország;nagyrégió;405;27;25;20;21;71;23;89;26;13;30;43;1;16
Fejér;megye;52;–;1;3;2;16;1;23;–;1;2;1;–;2
Komárom-Esztergom;megye;54;–;1;–;3;24;–;16;–;–;–;10;–;–
Veszprém;megye;93;–;–;–;1;48;1;39;–;–;–;2;–;2
Közép-Dunántúl;régió;199;–;2;3;6;88;2;78;–;1;2;13;–;4
Gyõr-Moson-Sopron;megye;47;1;–;10;1;16;1;16;1;–;–;–;1;–
Vas;megye;47;–;–;11;–;8;–;20;–;–;–;–;8;–
Zala;megye;65;–;–;11;–;7;–;46;–;–;–;–;–;1
Nyugat-Dunántúl;régió;159;1;–;32;1;31;1;82;1;–;–;–;9;1
Baranya;megye;270;1;1;34;1;99;1;124;1;1;6;–;–;1
Somogy;megye;117;–;–;13;1;8;–;95;–;–;–;–;–;–
Tolna ;megye;91;–;–;1;–;41;–;48;–;–;1;–;–;–
Dél-Dunántúl;régió;478;1;1;48;2;148;1;267;1;1;7;–;–;1
Dunántúl;nagyrégió;836;2;3;83;9;267;4;427;2;2;9;13;9;6
Borsod-Abaúj-Zemplén;megye;238;2;1;–;8;10;1;182;1;19;–;11;–;3
Heves;megye;75;–;1;–;1;5;–;64;–;2;–;2;–;–
Nógrád ;megye;98;–;–;–;–;2;–;77;–;–;–;19;–;–
Észak-Magyarország;régió;411;2;2;–;9;17;1;323;1;21;–;32;–;3
Hajdú-Bihar;megye;77;1;1;–;1;3;1;58;10;1;–;–;–;1
Jász-Nagykun-Szolnok;megye;45;–;1;–;1;–;–;42;–;–;–;–;–;1
Szabolcs-Szatmár-Bereg;megye;160;–;–;–;1;9;1;140;1;5;–;1;–;2
Észak-Alföld;régió;282;1;2;–;3;12;2;240;11;6;–;1;–;4
Bács-Kiskun ;megye;87;1;1;13;–;24;1;41;–;–;2;3;–;1
Békés;megye;84;–;–;–;1;10;–;36;18;–;1;17;–;1
Csongrád-Csanád;megye;41;1;1;1;1;2;1;19;7;–;4;3;–;1
Dél-Alföld;régió;212;2;2;14;2;36;2;96;25;–;7;23;–;3
Alföld és Észak;nagyrégió;905;5;6;14;14;65;5;659;37;27;7;56;–;10
Ország összesen;ország;2 146;34;34;117;44;403;32;1 175;65;42;46;112;10;32
