8.1.2.8. A települések száma és népessége népességnagyság kategóriák szerint, 2022. január 1.;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;"Települések száma 
–199";Települések száma 200–499;Települések száma 500–999;Települések száma 1000–1999;Települések száma 2000–4999;Települések száma 5000–9999;Települések száma 10000–19999;Települések száma 20000–49999;Települések száma 50000–99999;Települések száma 100000–;"Települések népessége
 –199";Települések népessége 200–499;Települések népessége 500–999;Települések népessége 1000–1999;Települések népessége 2000–4999;Települések népessége 5000–9999;Települések népessége 10000–19999;Települések népessége 20000–49999;Települések népessége 50000–99999;Települések népessége 100000–
Budapest;fõváros, régió;–;–;–;–;–;–;–;5;13;5;–;–;–;–;–;–;–;158 626;933 666;614 559
Pest ;megye, régió;1;5;14;32;65;27;27;15;1;–;93;1 888;10 961;49 801;211 807;192 270;369 732;416 843;71 641;–
Közép-Magyarország;nagyrégió;1;5;14;32;65;27;27;20;14;5;93;1 888;10 961;49 801;211 807;192 270;369 732;575 469;1 005 307;614 559
Fejér;megye;1;2;24;28;40;7;4;1;1;–;164;732;19 230;43 094;123 802;46 110;49 427;41 103;94 893;–
Komárom-Esztergom;megye;–;6;16;21;23;4;3;2;1;–;–;1 992;11 607;31 029;65 446;24 901;47 781;51 388;64 305;–
Veszprém;megye;35;71;55;31;15;4;3;2;1;–;4 017;24 090;38 268;42 153;43 617;27 908;46 456;55 637;57 145;–
Közép-Dunántúl;régió;36;79;95;80;78;15;10;5;3;–;4 181;26 814;69 105;116 276;232 865;98 919;143 664;148 128;216 343;–
Gyõr-Moson-Sopron;megye;19;39;38;42;37;4;1;1;1;1;2 356;14 679;28 048;58 273;107 328;29 883;10 181;34 372;62 116;132 111
Vas;megye;43;92;49;16;10;1;4;–;1;–;5 369;29 410;33 788;20 957;29 422;8 696;47 817;–;77 970;–
Zala;megye;88;78;54;25;8;2;1;1;1;–;8 837;25 427;38 950;34 042;25 739;12 962;18 799;44 550;55 037;–
Nyugat-Dunántúl;régió;150;209;141;83;55;7;6;2;3;1;16 562;69 516;100 786;113 272;162 489;51 541;76 797;78 922;195 123;132 111
Baranya;megye;105;105;50;20;13;4;2;1;–;1;13 547;31 534;35 919;25 830;34 016;26 271;26 877;21 927;–;138 420
Somogy;megye;40;89;55;39;16;4;1;1;1;–;5 071;29 371;38 257;53 788;45 953;30 334;11 050;26 329;58 633;–
Tolna ;megye;8;25;32;24;12;3;4;1;–;–;1 076;7 737;24 173;34 560;32 812;22 120;58 293;30 401;–;–
Dél-Dunántúl;régió;153;219;137;83;41;11;7;3;1;1;19 694;68 642;98 349;114 178;112 781;78 725;96 220;78 657;58 633;138 420
Dunántúl;nagyrégió;339;507;373;246;174;33;23;10;7;2;40 437;164 972;268 240;343 726;508 135;229 185;316 681;305 707;470 099;270 531
Borsod-Abaúj-Zemplén;megye;62;95;78;70;37;8;5;2;–;1;6 426;30 463;56 749;98 412;113 064;52 962;66 096;54 825;–;147 480
Heves;megye;2;14;29;39;31;3;1;1;1;–;305;4 891;21 360;58 950;84 272;22 587;19 965;27 576;50 032;–
Nógrád ;megye;12;26;45;35;8;2;2;1;–;–;1 535;9 267;32 748;51 141;19 941;14 437;25 096;31 484;–;–
Észak-Magyarország;régió;76;135;152;144;76;13;8;4;1;1;8 266;44 621;110 857;208 503;217 277;89 986;111 157;113 885;50 032;147 480
Hajdú-Bihar;megye;2;5;14;21;20;11;6;2;–;1;272;1 762;10 257;30 016;65 558;75 156;87 704;53 822;–;199 725
Jász-Nagykun-Szolnok;megye;1;4;12;22;20;11;6;1;1;–;139;1 380;8 971;33 097;64 766;72 397;84 286;26 516;68 774;–
Szabolcs-Szatmár-Bereg;megye;9;28;69;60;48;9;5;–;–;1;1 043;9 584;52 493;90 575;143 546;60 075;66 316;–;–;115 521
Észak-Alföld;régió;12;37;95;103;88;31;17;3;1;2;1 454;12 726;71 721;153 688;273 870;207 628;238 306;80 338;68 774;315 246
Bács-Kiskun ;megye;2;9;20;36;33;10;5;3;–;1;277;3 425;15 748;54 498;96 774;67 097;62 916;88 108;–;108 817
Békés;megye;2;9;11;19;19;9;3;2;1;–;250;3 094;8 466;27 243;64 554;62 023;45 324;54 566;57 299;–
Csongrád-Csanád;megye;–;9;6;13;21;6;1;3;–;1;–;3 638;3 936;20 174;63 670;38 588;15 675;90 063;–;157 372
Dél-Alföld;régió;4;27;37;68;73;25;9;8;1;2;527;10 157;28 150;101 915;224 998;167 708;123 915;232 737;57 299;266 189
Alföld és Észak;nagyrégió;92;199;284;315;237;69;34;15;3;5;10 247;67 504;210 728;464 106;716 145;465 322;473 378;426 960;176 105;728 915
Ország összesen;ország;432;711;671;593;476;129;84;45;24;12;50 777;234 364;489 929;857 633;1 436 087;886 777;1 159 791;1 308 136;1 651 511;1 614 005
