21.1.1.1. A makrogazdaság fõbb adatai;;;;;;;;
Év;A bruttó hazai termék (GDP) értéke, folyó áron, milliárd Ft;A bruttó hazai termék (GDP) egy fõre jutó értéke, ezer Ft;A bruttó hazai termék (GDP) egy fõre jutó értéke, euró;A bruttó hazai termék (GDP) volumenindexe, elõzõ év = 100,0%;A bruttó hazai termék (GDP) implicit árindexe, elõzõ év = 100,0%;A háztartások tényleges fogyasztásának volumenindexe, elõzõ év = 100,0%;Bruttó nemzeti jövedelem (GNI), milliárd Ft;GNI/GDP arány, %
1995;5 836,5;565,1;7 699;x;x;x;5 591,5;95,8
1996;7 122,3;690,7;7 925;100,1;121,9;97,7;6 800,5;95,5
1997;8 834,6;858,5;8 220;103,1;120,3;101,0;8 304,6;94,0
1998;10 442,8;1 017,2;8 652;103,9;113,8;103,4;9 786,7;93,7
1999;11 637,5;1 136,8;9 085;103,1;108,1;105,6;10 882,9;93,5
2000;13 324,1;1 304,9;9 846;104,5;109,6;103,4;12 550,1;94,2
2001;15 398,7;1 511,5;10 934;104,1;111,0;104,6;14 505,0;94,2
2002;17 433,9;1 716,2;11 906;104,7;108,1;107,7;16 442,6;94,3
2003;19 130,0;1 888,5;12 707;104,1;105,4;107,5;18 059,3;94,4
2004;21 110,1;2 088,6;13 291;105,0;105,1;102,2;19 820,3;93,9
2005;22 595,0;2 240,0;14 009;104,3;102,6;103,0;21 177,9;93,7
2006;24 345,4;2 417,3;14 612;103,9;103,7;101,7;22 839,5;93,8
2007;25 741,9;2 559,9;15 075;100,3;105,4;99,1;23 790,4;92,4
2008;27 249,9;2 714,6;16 078;101,0;104,8;98,9;25 457,1;93,4
2009;26 520,8;2 646,1;15 646;93,4;104,2;94,4;25 366,4;95,6
2010;27 485,1;2 748,5;16 455;101,1;102,5;98,6;26 191,4;95,3
2011;28 538,2;2 861,9;17 167;101,9;101,9;100,9;27 156,2;95,2
2012;28 996,6;2 922,9;17 188;98,7;102,9;97,7;27 769,0;95,8
2013;30 351,9;3 068,0;17 709;101,8;102,8;100,0;29 469,0;97,1
2014;32 804,7;3 324,9;18 408;104,2;103,7;102,2;31 324,1;95,5
2015;34 965,2;3 552,3;19 265;103,7;102,8;103,6;33 291,6;95,2
2016;36 206,7;3 689,3;19 402;102,2;101,3;104,1;35 230,1;97,3
2017;39 274,8;4 012,6;20 255;104,3;104,0;104,5;37 685,7;96,0
2018;43 386,4;4 438,3;21 641;105,4;104,8;104,2;41 687,1;96,1
2019;47 664,9;4 878,1;22 864;104,9;104,8;104,5;46 407,3;97,4
2020;48 411,5;4 965,2;22 295;95,5;106,4;98,1;47 263,8;97,6
2021;55 125,6;5 677,3;24 471;107,1;106,3;104,2;53 392,3;96,9
