21.1.1.2. A bruttó hazai termék, a fogyasztás és a felhalmozás hosszú idõsora;;;;;
Év;Bruttó hazai termék (GDP), 1960 = 100%;"Végsõ fogyasztás összesen, 
1960 = 100%";"Végsõ fogyasztás, ebbõl háztartások tényleges fogyasztása, 
1960 = 100%";"Bruttó felhalmozás összesen, 
1960 = 100%";"Bruttó felhalmozás, ebbõl állóeszközök felhalmozása, 
1960 = 100%"
1960;100;100;100;100;100
1961;105;102;101;104;97
1962;111;108;105;112;107
1963;117;113;110;126;122
1964;123;119;116;136;126
1965;124;120;118;129;128
1966;133;126;123;141;142
1967;143;133;131;172;170
1968;150;140;137;174;173
1969;161;147;145;174;187
1970;168;159;155;201;219
1971;179;168;163;245;242
1972;190;173;169;215;240
1973;203;180;176;215;247
1974;215;192;187;265;274
1975;228;201;196;292;306
1976;236;205;199;298;306
1977;254;214;208;327;344
1978;265;223;216;385;360
1979;273;230;221;331;363
1980;273;232;224;318;340
1981;281;238;229;312;326
1982;289;241;232;301;320
1983;291;242;234;278;310
1984;299;245;236;272;298
1985;298;249;239;262;289
1986;302;255;244;285;308
1987;315;264;254;294;338
1988;315;256;243;284;307
1989;317;259;249;288;329
1990;306;252;240;275;306
1991;269;239;226;217;274
1992;261;240;226;173;267
1993;259;253;230;229;272
1994;267;247;230;274;306
1995;271;231;215;296;293
1996;271;225;210;311;306
1997;280;228;212;345;333
1998;291;234;219;413;371
1999;300;246;232;416;401
2000;313;254;240;440;425
2001;326;266;251;424;436
2002;341;285;270;445;470
2003;355;306;290;453;475
2004;373;311;297;534;513
2005;389;319;305;530;531
2006;404;324;311;537;535
2007;405;323;308;525;560
2008;409;322;304;535;567
2009;382;308;287;409;515
2010;387;305;283;417;466
2011;394;307;286;402;460
2012;389;301;279;386;446
2013;396;303;279;405;490
2014;413;313;285;456;550
2015;428;323;296;449;577
2016;437;334;308;433;515
2017;456;349;322;477;617
2018;480;363;335;553;717
2019;504;382;350;619;809
2020;481;379;343;577;751
2021;515;394;358;645;790
