21.1.1.8. A bruttó hazai termék (GDP) végsõ felhasználása folyó és elõzõ évi áron [millió Ft];;;;;;;;;;;;;;;;;;;;;
Év;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
Folyó áron;;;;;;;;;;;;;;;;;;;;;
1995;3 088 522;700 510;62 714;3 851 746;634 269;4 486 015;1 270 937;73 866;6 117;1 350 920;5 836 935;1 430 422;856 807;2 287 229;1 744 269;543 412;2 287 681;-313 847;313 395;-452;5 836 483
1996;3 700 917;812 520;79 909;4 593 346;728 269;5 321 615;1 629 218;130 024;7 733;1 766 975;7 088 590;1 815 704;1 167 316;2 983 020;2 257 768;691 537;2 949 305;-442 064;475 779;33 715;7 122 305
1997;4 455 105;978 650;94 764;5 528 519;899 168;6 427 687;2 053 813;259 391;8 670;2 321 874;8 749 561;2 811 083;1 421 150;4 232 233;3 288 727;858 507;4 147 234;-477 644;562 643;84 999;8 834 560
1998;5 292 661;1 148 632;131 172;6 572 465;1 035 563;7 608 028;2 521 837;466 851;10 005;2 998 693;10 606 721;3 924 833;1 602 570;5 527 403;4 669 633;1 021 673;5 691 306;-744 800;580 897;-163 903;10 442 818
1999;6 169 482;1 278 626;151 692;7 599 800;1 195 197;8 794 997;2 918 820;232 336;10 083;3 161 239;11 956 236;4 760 027;1 715 529;6 475 556;5 635 156;1 159 090;6 794 246;-875 129;556 439;-318 690;11 637 546
2000;7 060 821;1 451 205;191 278;8 703 304;1 373 133;10 076 437;3 397 954;327 521;13 907;3 739 382;13 815 819;6 799 098;2 109 082;8 908 180;8 009 707;1 390 240;9 399 947;-1 210 609;718 842;-491 767;13 324 052
2001;8 093 652;1 659 660;217 328;9 970 640;1 586 887;11 557 527;3 826 945;195 873;17 064;4 039 882;15 597 409;7 526 443;2 463 821;9 990 264;8 555 367;1 633 606;10 188 973;-1 028 924;830 215;-198 709;15 398 700
2002;9 265 671;1 996 029;249 432;11 511 132;1 815 788;13 326 920;4 308 676;136 170;18 818;4 463 664;17 790 584;7 875 649;2 259 869;10 135 518;8 683 618;1 808 625;10 492 243;-807 969;451 244;-356 725;17 433 859
2003;10 489 757;2 335 375;283 129;13 108 261;2 067 196;15 175 457;4 519 500;168 199;20 700;4 708 399;19 883 856;8 673 639;2 105 041;10 778 680;9 627 741;1 904 784;11 532 525;-954 102;200 257;-753 845;19 130 011
2004;11 269 151;2 498 028;323 429;14 090 608;2 150 801;16 241 409;5 074 959;683 009;23 014;5 780 982;22 022 391;10 509 632;2 063 996;12 573 628;11 584 840;1 901 120;13 485 960;-1 075 208;162 876;-912 332;21 110 059
2005;11 997 761;2 709 983;359 077;15 066 821;2 288 613;17 355 434;5 385 269;459 562;23 451;5 868 282;23 223 716;12 009 964;2 115 323;14 125 287;12 688 913;2 065 124;14 754 037;-678 949;50 199;-628 750;22 594 966
2006;12 598 861;2 894 984;359 737;15 853 582;2 458 833;18 312 415;5 719 280;642 742;23 362;6 385 384;24 697 799;15 002 651;2 959 535;17 962 186;15 711 471;2 603 105;18 314 576;-708 820;356 430;-352 390;24 345 409
2007;13 582 527;2 761 977;384 667;16 729 171;2 586 756;19 315 927;6 098 936;265 789;24 981;6 389 706;25 705 633;16 782 800;3 249 433;20 032 233;17 014 621;2 981 347;19 995 968;-231 821;268 086;36 265;25 741 898
2008;14 194 509;2 883 271;390 915;17 468 695;2 941 141;20 409 836;6 361 249;437 691;31 211;6 830 151;27 239 987;18 034 545;3 542 211;21 576 756;18 360 723;3 206 076;21 566 799;-326 178;336 135;9 957;27 249 944
2009;13 776 950;2 863 327;404 622;17 044 899;2 976 362;20 021 261;6 004 213;-449 778;30 482;5 584 917;25 606 178;15 909 027;3 775 821;19 684 848;15 341 771;3 428 479;18 770 250;567 256;347 342;914 598;26 520 776
2010;14 063 074;2 861 427;412 113;17 336 614;3 020 491;20 357 105;5 516 110;275 078;31 342;5 822 530;26 179 635;18 205 574;4 086 844;22 292 418;17 650 470;3 336 490;20 986 960;555 104;750 354;1 305 458;27 485 093
2011;14 651 656;2 853 622;441 209;17 946 487;3 024 479;20 970 966;5 575 593;324 967;33 660;5 934 220;26 905 186;20 042 117;4 522 910;24 565 027;19 350 685;3 581 326;22 932 011;691 432;941 584;1 633 016;28 538 202
2012;15 118 223;2 808 899;474 176;18 401 298;2 977 664;21 378 962;5 552 767;262 709;30 460;5 845 936;27 224 898;20 232 169;4 669 964;24 902 133;19 570 563;3 559 837;23 130 400;661 606;1 110 127;1 771 733;28 996 631
2013;15 326 614;2 815 835;511 497;18 653 946;3 170 473;21 824 419;6 312 030;215 776;34 230;6 562 036;28 386 455;20 862 346;5 061 464;25 923 810;20 023 132;3 935 230;23 958 362;839 214;1 126 234;1 965 448;30 351 903
2014;15 901 828;3 073 382;532 564;19 507 774;3 485 752;22 993 526;7 220 253;628 971;42 115;7 891 339;30 884 865;22 786 269;5 794 329;28 580 598;22 283 510;4 377 246;26 660 756;502 759;1 417 083;1 919 842;32 804 707
2015;16 556 131;3 326 769;591 280;20 474 180;3 566 234;24 040 414;7 752 560;422 427;46 142;8 221 129;32 261 543;24 316 507;6 287 303;30 603 810;23 132 608;4 767 532;27 900 140;1 183 899;1 519 771;2 703 670;34 965 213
2016;17 510 661;3 496 365;623 369;21 630 395;3 730 886;25 361 281;7 058 418;691 834;51 764;7 802 016;33 163 297;24 471 247;6 813 028;31 284 275;23 335 642;4 905 264;28 240 906;1 135 605;1 907 764;3 043 369;36 206 666
2017;18 938 936;3 818 289;735 093;23 492 318;4 112 392;27 604 710;8 698 575;305 026;70 144;9 073 745;36 678 455;26 379 844;7 364 856;33 744 700;25 930 493;5 217 905;31 148 398;449 351;2 146 951;2 596 302;39 274 757
2018;20 506 521;4 040 279;860 618;25 407 418;4 502 821;29 910 239;10 729 930;832 807;69 473;11 632 210;41 542 449;28 233 865;8 104 811;36 338 676;28 969 434;5 525 255;34 494 689;-735 569;2 579 556;1 843 987;43 386 436
