21.1.1.9. A bruttó hazai termék (GDP) végsõ felhasználásának volumenindexei [elõzõ év = 100,0%];;;;;;;;;;;;;;;;;;;;;
Év;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1996;97,5;98,5;101,9;97,7;95,8;97,5;104,6;x;x;105,2;99,3;107,6;111,8;109,2;107,2;106,4;107,0;x;x;x;100,1
1997;102,1;96,5;99,6;101,0;101,8;101,1;108,7;x;x;110,9;103,6;134,8;104,0;122,7;128,5;109,4;124,0;x;x;x;103,1
1998;104,4;96,6;124,1;103,4;98,5;102,7;111,4;x;x;119,5;107,2;123,6;99,4;115,5;127,4;104,2;122,6;x;x;x;103,9
1999;106,7;100,8;104,0;105,6;102,5;105,2;108,0;x;x;100,9;104,0;116,9;99,4;111,8;114,4;108,1;113,3;x;x;x;103,1
2000;103,0;104,6;108,7;103,4;103,8;103,4;106,0;x;x;105,6;104,0;130,0;111,1;125,0;125,8;110,3;123,2;x;x;x;104,5
2001;104,6;104,9;104,0;104,6;103,0;104,4;102,7;x;x;96,4;102,2;108,3;110,5;108,8;104,2;115,4;105,8;x;x;x;104,1
2002;107,9;107,1;108,8;107,7;103,9;107,2;107,7;x;x;105,1;106,7;110,1;92,4;105,8;107,3;116,0;108,7;x;x;x;104,7
2003;108,4;103,5;106,9;107,5;106,8;107,4;101,2;x;x;101,7;106,0;110,6;91,2;106,2;110,7;103,2;109,4;x;x;x;104,1
2004;101,9;102,9;108,1;102,2;98,6;101,7;107,9;x;x;118,0;105,6;123,1;96,3;117,9;121,4;100,8;118,0;x;x;x;105,0
2005;102,8;103,4;106,2;103,0;100,4;102,6;103,6;x;x;99,1;101,7;115,2;101,1;112,9;108,0;108,4;108,0;x;x;x;104,3
2006;101,8;102,5;93,5;101,7;100,9;101,6;100,7;x;x;101,4;101,6;117,4;131,5;119,5;114,8;117,3;115,1;x;x;x;103,9
2007;101,0;90,3;101,7;99,1;102,1;99,5;104,6;x;x;97,8;99,1;117,1;110,9;116,1;113,3;119,4;114,1;x;x;x;100,3
2008;98,8;99,8;95,0;98,9;106,5;99,9;101,2;x;x;101,7;100,4;106,8;106,1;106,7;106,1;104,9;105,9;x;x;x;101,0
2009;93,1;99,8;100,2;94,4;101,6;95,4;90,9;x;x;76,5;90,7;86,4;104,1;89,3;82,6;104,0;85,8;x;x;x;93,4
2010;98,7;98,1;99,1;98,6;101,5;99,1;90,5;x;x;102,0;99,7;112,5;105,4;111,1;112,9;95,8;109,7;x;x;x;101,1
2011;100,9;100,8;101,0;100,9;99,9;100,7;98,7;x;x;96,4;99,8;106,5;106,2;106,4;104,3;102,9;104,1;x;x;x;101,9
2012;97,7;97,6;101,2;97,7;99,6;98,0;97,0;x;x;95,9;97,6;98,1;99,4;98,3;97,0;96,0;96,9;x;x;x;98,7
2013;99,8;100,5;102,2;100,0;105,6;100,7;109,8;x;x;105,0;101,7;103,2;108,0;104,1;103,0;110,4;104,1;x;x;x;101,8
2014;102,5;100,9;99,2;102,2;108,9;103,2;112,2;x;x;112,5;105,3;108,1;113,8;109,2;111,2;109,4;110,9;x;x;x;104,2
2015;103,7;102,7;106,5;103,6;101,3;103,3;104,9;x;x;98,4;102,0;107,0;108,8;107,4;105,0;109,3;105,7;x;x;x;103,7
2016;104,8;101,0;102,8;104,1;100,5;103,6;89,4;x;x;96,5;101,8;101,6;112,1;103,8;103,4;103,7;103,5;x;x;x;102,2
2017;104,7;101,7;114,6;104,5;103,8;104,4;119,7;x;x;110,1;105,7;106,2;107,6;106,5;109,1;105,1;108,4;x;x;x;104,3
2018;104,8;99,3;112,9;104,2;104,2;104,2;116,3;x;x;115,9;107,1;104,0;108,5;105,0;107,5;104,5;107,0;x;x;x;105,4
2019;105,1;101,9;101,9;104,5;109,4;105,2;112,8;x;x;112,1;107,1;104,8;107,5;105,4;106,8;115,5;108,2;x;x;x;104,9
2020;98,7;94,2;103,4;98,1;103,9;99,0;92,9;x;x;93,2;97,4;98,8;77,0;93,9;98,3;85,6;96,1;x;x;x;95,5
2021;105,0;100,7;101,7;104,2;103,1;104,0;105,2;x;x;111,7;106,2;110,3;109,9;110,3;109,4;107,6;109,1;x;x;x;107,1
