21.1.1.12. Magyarország bruttó nemzeti jövedelme (GNI);;;;;;;;;;;;;;;
Év;"Bruttó 
hazai 
termék folyó áron, millió forint";Külföldrõl kapott munkajövedelmek folyó áron, millió forint;Külföldnek fizetendõ munkajövedelmek folyó áron, millió forint;Munkajövedelmek egyenlege folyó áron, millió forint;Külföldrõl kapott tulajdonosi jövedelem folyó áron, millió forint;Külföldnek fizetendõ tulajdonosi jövedelem folyó áron, millió forint;Tulajdonosi jövedelem egyenlege folyó áron, millió forint;Tulajdonosi jövedelembõl külföldrõl járó visszaforgatott jövedelem folyó áron, millió forint;Tulajdonosi jövedelembõl külföldnek fizetendõ visszaforgatott jövedelem folyó áron, millió forint;Tulajdonosi jövedelembõl visszaforgatott jövedelem egyenlege folyó áron, millió forint;"EU-nak
fizetett
adó folyó áron, millió forint";"EU-tól 
kapott
támogatás folyó áron, millió forint";"Bruttó 
nemzeti
jövedelem folyó áron, millió forint";A GNI növekedési üteme, volumenindex, elõzõ év=100,0%;GNI/GDP arány, %
1995;5 836 483;20 604;42 021;-21 417;108 031;331 567;-223 536;1 647;-25 371;27 018;0;0;5 591 530;x;95,8
1996;7 122 305;27 050;46 882;-19 832;152 127;454 127;-302 000;-306;77 881;-78 187;0;0;6 800 473;99,8;95,5
1997;8 834 560;34 180;51 842;-17 662;177 004;689 352;-512 348;1 340;246 530;-245 190;0;0;8 304 550;101,6;94,0
1998;10 442 818;45 291;59 433;-14 142;192 193;834 202;-642 009;-1 372;251 117;-252 489;0;0;9 786 667;103,6;93,7
1999;11 637 546;55 996;62 221;-6 225;192 955;941 403;-748 448;-1 001;268 365;-269 366;0;0;10 882 873;102,9;93,5
2000;13 324 052;68 722;65 896;2 826;295 993;1 072 724;-776 731;18 527;297 325;-278 798;0;0;12 550 147;105,2;94,2
2001;15 398 700;79 899;72 751;7 148;288 171;1 189 033;-900 862;-9 812;372 695;-382 507;0;0;14 504 986;104,1;94,2
2002;17 433 859;86 049;85 849;200;268 420;1 259 892;-991 472;15 392;462 941;-447 549;0;0;16 442 587;104,9;94,3
2003;19 130 011;89 515;97 371;-7 856;246 956;1 309 814;-1 062 858;28 814;463 998;-435 184;0;0;18 059 297;104,2;94,4
2004;21 110 059;117 226;106 716;10 510;363 462;1 725 102;-1 361 640;122 623;640 190;-517 567;19 186;80 532;19 820 275;104,4;93,9
2005;22 594 966;131 131;125 212;5 919;384 281;1 924 582;-1 540 301;45 022;555 997;-510 975;37 477;154 750;21 177 857;104,1;93,7
2006;24 345 409;165 110;147 102;18 008;1 410 664;3 115 335;-1 704 671;320 594;720 645;-400 051;36 444;217 151;22 839 453;104,1;93,8
2007;25 741 898;165 890;164 906;984;2 047 473;4 163 928;-2 116 455;742 180;1 291 131;-548 951;52 431;216 441;23 790 437;98,8;92,4
2008;27 249 944;214 357;171 276;43 081;2 439 839;4 454 484;-2 014 645;962 556;1 121 428;-158 872;55 580;234 319;25 457 119;102,1;93,4
2009;26 520 776;283 198;156 202;126 996;3 133 219;4 706 614;-1 573 395;1 858 779;897 969;960 810;41 297;333 306;25 366 386;95,6;95,6
2010;27 485 093;352 366;154 680;197 686;3 321 816;5 089 225;-1 767 409;1 926 326;1 379 267;547 059;34 079;310 155;26 191 446;100,7;95,3
2011;28 538 202;439 645;156 562;283 083;2 375 600;4 400 817;-2 025 217;766 497;790 779;-24 282;37 886;398 030;27 156 212;101,7;95,2
2012;28 996 631;650 601;162 139;488 462;2 556 898;4 643 878;-2 086 980;1 282 432;1 383 103;-100 671;37 009;407 881;27 768 985;99,4;95,8
2013;30 351 903;839 823;159 674;680 149;2 378 126;4 358 211;-1 980 085;1 332 650;1 559 607;-226 957;36 188;453 270;29 469 049;103,2;97,1
2014;32 804 707;888 416;168 521;719 895;1 915 933;4 523 330;-2 607 397;834 762;2 144 973;-1 310 211;43 738;450 645;31 324 112;102,5;95,5
2015;34 965 213;1 015 007;160 068;854 939;1 562 034;4 487 787;-2 925 753;643 437;1 550 734;-907 297;53 117;450 272;33 291 554;103,4;95,2
2016;36 206 666;1 069 763;190 534;879 229;2 590 286;4 822 490;-2 232 204;1 272 910;2 457 764;-1 184 854;55 412;431 864;35 230 143;104,4;97,3
2017;39 274 757;1 022 360;209 972;812 388;2 741 410;5 518 510;-2 777 100;1 496 401;3 388 294;-1 891 893;61 405;437 093;37 685 733;102,8;96,0
2018;43 386 436;1 054 858;277 496;777 362;2 392 759;5 251 431;-2 858 672;1 224 695;2 834 981;-1 610 286;78 264;460 207;41 687 069;105,5;96,1
2019;47 664 925;1 253 815;388 828;864 987;3 684 663;6 180 168;-2 495 505;1 958 932;3 106 054;-1 147 122;80 506;453 370;46 407 271;106,3;97,4
2020;48 411 546;1 072 802;365 203;707 599;2 600 605;4 874 126;-2 273 521;-139 606;1 787 785;-1 927 391;80 791;498 924;47 263 757;95,7;97,6
2021;55 125 561;941 587;380 205;561 382;4 775 998;7 455 770;-2 679 772;1 404 519;3 714 268;-2 309 749;98 915;484 023;53 392 279;106,3;96,9
