21.1.1.13. A külkereskedelmi egyenleg országcsoportok szerinti bontása, folyó és elõzõ évi áron [millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;
Felhasználás;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Folyó áron;;;;;;;;;;;;;;;;;;;;;;;;;;;
Export;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU-tagállamokba;1 423 632;1 922 260;2 807 470;3 773 983;4 620 667;6 292 494;6 879 760;7 133 230;7 688 475;9 717 798;10 605 727;13 016 957;15 512 871;16 663 520;15 204 879;16 889 056;18 788 179;18 834 572;19 742 175;22 626 697;23 334 417;24 682 540;26 849 677;29 149 109;31 154 525;29 049 382;33 570 074
Euróövezet tagállamaiba;x;x;x;x;x;5 194 497;5 634 361;5 614 563;6 193 106;7 173 359;7 769 176;9 292 340;10 336 880;11 968 806;11 248 299;12 447 371;13 665 430;13 807 013;14 309 822;16 503 441;16 716 456;17 827 695;19 378 832;20 839 441;22 389 962;22 324 085;25 417 727
Nem EU-tagállamokba;863 597;1 060 760;1 424 763;1 753 420;1 854 889;2 615 686;3 110 504;3 002 288;3 090 205;2 855 830;3 519 560;4 945 229;4 519 362;4 913 236;4 479 969;5 403 362;5 776 848;6 067 561;6 181 635;5 953 901;7 269 393;6 601 735;6 895 023;7 189 567;7 714 116;9 064 346;11 383 235
Összesen;2 287 229;2 983 020;4 232 233;5 527 403;6 475 556;8 908 180;9 990 264;10 135 518;10 778 680;12 573 628;14 125 287;17 962 186;20 032 233;21 576 756;19 684 848;22 292 418;24 565 027;24 902 133;25 923 810;28 580 598;30 603 810;31 284 275;33 744 700;36 338 676;38 868 641;38 113 728;44 953 309
Import;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU-tagállamokból;1 337 604;1 663 690;2 403 231;3 375 972;4 042 564;5 095 103;5 483 104;5 617 627;6 278 322;8 891 703;9 997 179;12 251 104;13 802 037;14 625 132;12 992 877;14 403 566;16 016 671;16 370 343;17 549 125;20 243 552;21 266 274;22 066 760;23 985 674;26 229 401;28 304 811;26 598 152;32 034 239
Euróövezet tagállamaiból;x;x;x;x;x;4 081 582;4 399 954;4 427 306;4 927 810;6 304 921;7 056 037;8 495 325;9 215 547;11 370 553;10 277 126;11 159 391;12 400 493;12 911 286;13 509 270;15 557 114;16 168 283;16 953 075;18 350 566;19 883 077;21 442 750;20 737 823;25 039 993
Nem EU-tagállamokból;950 077;1 285 615;1 744 003;2 315 334;2 751 682;4 304 844;4 705 869;4 874 616;5 254 203;4 594 257;4 756 858;6 063 472;6 193 931;6 941 667;5 777 373;6 583 394;6 915 340;6 760 057;6 409 237;6 417 204;6 633 866;6 174 146;7 162 724;8 265 288;9 463 444;10 581 812;12 752 378
Összesen;2 287 681;2 949 305;4 147 234;5 691 306;6 794 246;9 399 947;10 188 973;10 492 243;11 532 525;13 485 960;14 754 037;18 314 576;19 995 968;21 566 799;18 770 250;20 986 960;22 932 011;23 130 400;23 958 362;26 660 756;27 900 140;28 240 906;31 148 398;34 494 689;37 768 255;37 179 964;44 786 617
Egyenleg;;;;;;;;;;;;;;;;;;;;;;;;;;;
EU-tagállamok;86 028;258 570;404 239;398 011;578 103;1 197 391;1 396 656;1 515 603;1 410 153;826 095;608 548;765 853;1 710 834;2 038 388;2 212 002;2 485 490;2 771 508;2 464 229;2 193 050;2 383 145;2 068 143;2 615 780;2 864 003;2 919 708;2 849 714;2 451 230;1 535 835
Euróövezet tagállamai;x;x;x;x;x;1 112 915;1 234 407;1 187 257;1 265 296;868 438;713 139;797 015;1 121 333;598 253;971 173;1 287 980;1 264 937;895 727;800 552;946 327;548 173;874 620;1 028 266;956 364;947 212;1 586 262;377 734
Nem EU-tagállamok;-86 480;-224 855;-319 240;-561 914;-896 793;-1 689 158;-1 595 365;-1 872 328;-2 163 998;-1 738 427;-1 237 298;-1 118 243;-1 674 569;-2 028 431;-1 297 404;-1 180 032;-1 138 492;-692 496;-227 602;-463 303;635 527;427 589;-267 701;-1 075 721;-1 749 328;-1 517 466;-1 369 143
