21.1.1.14. Az export és az import volumenindexei országcsoportok szerint, elõzõ év azonos idõszaka = 100,0%;;;;;;;;;;;;;;;;;;;;;;;;;;
Felhasználás;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Export;;;;;;;;;;;;;;;;;;;;;;;;;;
EU-tagállamokba;101,8;119,4;113,3;114,4;120,0;105,4;109,7;106,3;125,7;109,9;115,2;124,3;106,8;89,0;109,6;107,1;97,6;104,5;113,5;103,8;107,4;107,4;105,5;105,3;89,0;108,1
Euróövezet tagállamaiba;x;x;x;x;x;105,9;104,4;109,9;117,4;109,5;112,4;116,1;115,7;90,8;110,0;106,6;98,6;103,2;114,0;101,3;107,9;107,9;104,8;105,6;94,6;107,8
Nem EU-tagállamokba;121,3;128,8;119,7;106,2;137,4;117,1;96,9;106,2;98,5;123,0;132,6;94,5;106,3;90,3;116,1;104,3;100,6;102,9;95,6;121,0;92,2;102,9;102,8;105,8;113,4;117,2
Összesen;109,2;122,7;115,5;111,8;125,0;108,8;105,8;106,2;117,9;112,9;119,5;116,1;106,7;89,3;111,1;106,4;98,3;104,1;109,2;107,4;103,8;106,5;105,0;105,4;93,9;110,3
Import;;;;;;;;;;;;;;;;;;;;;;;;;;
EU-tagállamokból;104,5;129,5;122,3;113,3;116,8;104,7;107,0;109,5;141,7;112,5;114,8;116,5;105,4;86,3;110,1;106,5;98,8;106,9;114,2;105,6;105,3;107,3;105,7;106,4;90,6;109,6
Euróövezet tagállamaiból;x;x;x;x;x;104,8;105,1;109,2;128,9;112,5;113,4;112,1;123,4;86,7;108,6;106,9;100,5;104,1;113,6;103,7;105,9;107,3;104,8;106,4;92,7;112,3
Nem EU-tagállamokból;110,7;117,0;122,9;113,2;132,6;107,2;110,6;109,3;89,7;99,3;115,8;109,4;106,9;84,9;109,0;98,8;92,4;97,5;102,0;105,9;97,7;112,4;111,4;113,9;112,8;107,9
Összesen;107,0;124,0;122,6;113,3;123,2;105,8;108,7;109,4;118,0;108,0;115,1;114,1;105,9;85,8;109,7;104,1;96,9;104,1;110,9;105,7;103,5;108,4;107,0;108,2;96,1;109,1
