21.1.1.19. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek – Kormányzat + Európai Unió Intézményei [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2 Termelési és importadók;1=2+26;1 011 450;1 193 425;1 350 316;1 613 731;1 887 908;2 200 464;2 366 876;2 595 863;2 973 426;3 380 983;3 494 179;3 658 822;4 081 402;4 271 971;4 356 027;4 759 821;4 941 122;5 403 142;5 665 441;6 091 762;6 560 328;6 581 905;7 070 692;7 905 639;8 607 324;8 804 613;9 790 659
D.21 Termékadók;2=3+4+13;993 100;1 161 974;1 307 419;1 560 225;1 822 874;2 124 245;2 278 619;2 493 585;2 862 043;3 239 400;3 337 007;3 484 903;3 858 094;4 033 333;4 100 928;4 325 146;4 471 426;4 878 102;5 037 653;5 426 418;5 843 913;5 891 229;6 302 607;7 067 224;7 629 453;7 754 861;8 666 577
D.211 Hozzáadottérték-adó típusú adók;3;431 422;519 112;658 072;793 230;924 822;1 159 959;1 230 216;1 340 914;1 539 868;1 831 647;1 856 547;1 800 345;2 013 271;2 068 438;2 192 234;2 325 608;2 379 253;2 627 571;2 693 555;3 011 162;3 309 540;3 299 838;3 626 566;4 129 537;4 526 757;4 717 048;5 460 243
D.212 Importadók és importvámok a hozzáadottérték-adók kivételével;4=5+6;284 183;280 037;200 093;163 795;168 537;171 767;171 031;184 041;203 886;64 287;37 153;37 830;37 451;39 507;36 789;35 459;39 015;36 240;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2121 Importvámok;5;249 431;248 709;161 300;131 593;141 082;137 731;125 013;129 341;132 638;51 139;34 618;35 449;36 570;36 793;33 596;33 420;36 842;36 205;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2122 Importadók a hozzáadottérték-adók és az importvámok kivételével;6=7+..+12;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122A Az importált mezõgazdasági termékek utáni importilletékek;7;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B Az importra kivetett monetáris kompenzációs összegek;8;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C Jövedéki adók;9;34 752;31 328;38 793;32 202;27 455;34 036;46 018;54 700;71 248;13 148;2 535;2 381;881;2 714;3 193;2 039;2 173;35;–;–;–;–;–;–;–;–;–
D.2122D Általános forgalmi adók;10;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E Meghatározott szolgáltatásokra kivetett adók;11;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F Importmonopóliumok nyeresége;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
