21.1.1.23. Az adókból és társadalombiztosítási hozzájárulásokból származó bevételek  – Társadalombiztosítási alapok [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Soregyezõség;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2 Termelési és importadók;1=2+26;–;–;–;–;–;–;–;–;–;–;–;–;30 467;34 862;39 882;37 535;52 287;99 375;92 446;96 304;113 928;114 071;130 772;144 317;121 534;120 282;128 367
D.21 Termékadók;2=3+4+13;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;86 576;82 899;86 555;103 645;105 440;118 015;133 204;111 355;110 739;119 793
D.211 Hozzáadottérték-adó típusú adók;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.212 Importadók és importvámok a hozzáadottérték-adók kivételével;4=5+6;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2121 Importvámok;5;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122 Importadók a hozzáadottérték-adók és az importvámok kivételével;6=7+..+12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122A Az importált mezõgazdasági termékek utáni importilletékek;7;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B Az importra kivetett monetáris kompenzációs összegek;8;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C Jövedéki adók;9;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122D Általános forgalmi adók;10;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E Meghatározott szolgáltatásokra kivetett adók;11;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F Importmonopóliumok nyeresége;12;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214 Termékadók a hozzáadottérték-adók és az importadók kivételével;13=14+..+25;–;–;–;–;–;–;–;–;–;–;–;–;20 258;30 322;31 663;28 104;40 055;86 576;82 899;86 555;103 645;105 440;118 015;133 204;111 355;110 739;119 793
D.214A Jövedéki adók és fogyasztási adók;14;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214B Bélyegilletékek;15;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C Pénzügyi és tõkemûveletekre kivetett adók;16;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D Gépjármû-nyilvántartási adók;17;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E Szórakoztatóipari tevékenységekre kivetett adók;18;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F Lottójátékra, szerencsejátékra és fogadásra kivetett adók;19;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
