21.1.1.30. Nemzeti adólista – az adók és társadalombiztosítási hozzájárulások nemzeti osztályozásának teljes részletezése – Európai Unió Intézményei folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Adónév a nemzeti besorolás szerint;Gazdasági funkció;Alkohol- és dohány-, valamint környezetvédelmi és ingatlanadók;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
D.2;Termelési és importadók;;;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;52 431;55 580;41 297;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.21;Termékadók;;;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;36 772;39 028;34 280;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.211;Hozzáadottérték-adó típusú adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.211_01;Általános forgalmi adó (áfa);C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.212;Importadók és importvámok a hozzáadottérték-adók kivételével;;;–;–;–;–;–;–;–;–;–;19 186;35 415;35 644;36 772;36 844;33 652;33 429;36 842;36 205;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2121;Importvámok;;;–;–;–;–;–;–;–;–;–;19 186;35 415;35 644;36 772;36 844;33 652;33 429;36 842;36 205;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2121_01;Import vám;C ;;–;–;–;–;–;–;–;–;–;19 186;35 415;35 644;36 772;36 844;33 652;33 429;36 842;36 205;35 307;42 913;52 352;54 544;60 551;78 264;80 506;80 791;98 915
D.2122;Importadók a hozzáadottérték-adók és importvámok kivételével;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122A;Az importált mezõgazdasági termékek utáni importilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122B;Az importra kivetett monetáris kompenzációs összegek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C;Jövedéki adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C_01;Import termékekre kivetett fogyasztási adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122C_02;Import termékek környezetvédelmi termékdíja;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122D;Importra kivetett általános forgalmi adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122E;Meghatározott szolgáltatásokra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.2122F;Importmonopóliumok nyeresége;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214;Termékadók a hozzáadottérték-adók és az importadók kivételével;;;–;–;–;–;–;–;–;–;–;–;2 062;800;–;2 184;628;650;1 044;804;881;825;765;868;854;–;–;–;–
D.214A;Jövedéki adók és fogyasztási adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_01;Fogyasztási és jövedéki adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_02;Környezetvédelmi termékdíj;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214A_03;Energiaadó;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214B;Bélyegilletékek;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C;Pénzügyi és tõkemûveletekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214C_01;Adásvételi illeték;KS ;O;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D;Gépjármûnyilvántartási adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214D_01;Gépjármû regisztrációs adó;C ;T;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E;Szórakoztatóipari tevékenységekre kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_01;Nemzeti kulturális járulék;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_02;Kulturális adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214E_03;Reklámadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F;Lottójátékra, szerencsejátékra és fogadásra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214F_01;Játékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G;Biztosítási díjakra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_01;Baleseti adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_02;Biztosítási adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214G_03;Tûzvédelmi hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H;Egyéb, meghatározott szolgáltatásokra kivetett adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_01;Turisztikai hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_02;Távközlési adó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_03;Hulladéklerakási járulék;C ;P ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_04;Turizmusfejlesztési hozzájárulás;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214H_05;Pénzügyi tranzakciós adó ;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I;Általános forgalmi adók;;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_01;Helyi iparûzési adó;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_02;Egyszerûsített vállalkozási adó (EVA);KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_03;Innovációs járulék;KIC ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_04;Közfinanszírozott gyógyszerek forgalma után fizetett adó;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_05;Ágazati különadók;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_06;Pénzügyi szervezetek különadója;KS ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_07;Népegészségügyi termékadó;C ;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
D.214I_08;Szénhidrogén készletezési díj;C ;E ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
