21.1.1.31. Támogatások összefoglaló adatai [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranzakció;Kód;Kormányzat + Európai Unió Intézményei S2+S13 1995;Kormányzat S.13 1995;Központi kormányzat S.1311 1995;Helyi önkormányzat S.1313 1995;Társadalom- biztosítási alapok S.1314 1995;Európai Unió Intézményei S2 1995;Kormányzat + Európai Unió Intézményei S2+S13 1996;Kormányzat S.13 1996;Központi kormányzat S.1311 1996;Helyi önkormányzat S.1313 1996;Társadalom- biztosítási alapok S.1314 1996;Európai Unió Intézményei S2 1996;Kormányzat + Európai Unió Intézményei S2+S13 1997;Kormányzat S.13 1997;Központi kormányzat S.1311 1997;Helyi önkormányzat S.1313 1997;Társadalom- biztosítási alapok S.1314 1997;Európai Unió Intézményei S2 1997;Kormányzat + Európai Unió Intézményei S2+S13 1998;Kormányzat S.13 1998;Központi kormányzat S.1311 1998;Helyi önkormányzat S.1313 1998;Társadalom- biztosítási alapok S.1314 1998;Európai Unió Intézményei S2 1998;Kormányzat + Európai Unió Intézményei S2+S13 1999;Kormányzat S.13 1999;Központi kormányzat S.1311 1999;Helyi önkormányzat S.1313 1999;Társadalom- biztosítási alapok S.1314 1999;Európai Unió Intézményei S2 1999;Kormányzat + Európai Unió Intézményei S2+S13 2000;Kormányzat S.13 2000;Központi kormányzat S.1311 2000;Helyi önkormányzat S.1313 2000;Társadalom- biztosítási alapok S.1314 2000;Európai Unió Intézményei S2 2000;Kormányzat + Európai Unió Intézményei S2+S13 2001;Kormányzat S.13 2001;Központi kormányzat S.1311 2001;Helyi önkormányzat S.1313 2001;Társadalom- biztosítási alapok S.1314 2001;Európai Unió Intézményei S2 2001;Kormányzat + Európai Unió Intézményei S2+S13 2002;Kormányzat S.13 2002;Központi kormányzat S.1311 2002;Helyi önkormányzat S.1313 2002;Társadalom- biztosítási alapok S.1314 2002;Európai Unió Intézményei S2 2002;Kormányzat + Európai Unió Intézményei S2+S13 2003;Kormányzat S.13 2003;Központi kormányzat S.1311 2003;Helyi önkormányzat S.1313 2003;Társadalom- biztosítási alapok S.1314 2003;Európai Unió Intézményei S2 2003;Kormányzat + Európai Unió Intézményei S2+S13 2004;Kormányzat S.13 2004;Központi kormányzat S.1311 2004;Helyi önkormányzat S.1313 2004;Társadalom- biztosítási alapok S.1314 2004;Európai Unió Intézményei S2 2004;Kormányzat + Európai Unió Intézményei S2+S13 2005;Kormányzat S.13 2005;Központi kormányzat S.1311 2005;Helyi önkormányzat S.1313 2005;Társadalom- biztosítási alapok S.1314 2005;Európai Unió Intézményei S2 2005;Kormányzat + Európai Unió Intézményei S2+S13 2006;Kormányzat S.13 2006;Központi kormányzat S.1311 2006;Helyi önkormányzat S.1313 2006;Társadalom- biztosítási alapok S.1314 2006;Európai Unió Intézményei S2 2006;Kormányzat + Európai Unió Intézményei S2+S13 2007;Kormányzat S.13 2007;Központi kormányzat S.1311 2007;Helyi önkormányzat S.1313 2007;Társadalom- biztosítási alapok S.1314 2007;Európai Unió Intézményei S2 2007;Kormányzat + Európai Unió Intézményei S2+S13 2008;Kormányzat S.13 2008;Központi kormányzat S.1311 2008;Helyi önkormányzat S.1313 2008;Társadalom- biztosítási alapok S.1314 2008;Európai Unió Intézményei S2 2008;Kormányzat + Európai Unió Intézményei S2+S13 2009;Kormányzat S.13 2009;Központi kormányzat S.1311 2009;Helyi önkormányzat S.1313 2009;Társadalom- biztosítási alapok S.1314 2009;Európai Unió Intézményei S2 2009;Kormányzat + Európai Unió Intézményei S2+S13 2010;Kormányzat S.13 2010;Központi kormányzat S.1311 2010;Helyi önkormányzat S.1313 2010;Társadalom- biztosítási alapok S.1314 2010;Európai Unió Intézményei S2 2010;Kormányzat + Európai Unió Intézményei S2+S13 2011;Kormányzat S.13 2011;Központi kormányzat S.1311 2011;Helyi önkormányzat S.1313 2011;Társadalom- biztosítási alapok S.1314 2011;Európai Unió Intézményei S2 2011;Kormányzat + Európai Unió Intézményei S2+S13 2012;Kormányzat S.13 2012;Központi kormányzat S.1311 2012;Helyi önkormányzat S.1313 2012;Társadalom- biztosítási alapok S.1314 2012;Európai Unió Intézményei S2 2012;Kormányzat + Európai Unió Intézményei S2+S13 2013;Kormányzat S.13 2013;Központi kormányzat S.1311 2013;Helyi önkormányzat S.1313 2013;Társadalom- biztosítási alapok S.1314 2013;Európai Unió Intézményei S2 2013;Kormányzat + Európai Unió Intézményei S2+S13 2014;Kormányzat S.13 2014;Központi kormányzat S.1311 2014;Helyi önkormányzat S.1313 2014;Társadalom- biztosítási alapok S.1314 2014;Európai Unió Intézményei S2 2014;Kormányzat + Európai Unió Intézményei S2+S13 2015;Kormányzat S.13 2015;Központi kormányzat S.1311 2015;Helyi önkormányzat S.1313 2015;Társadalom- biztosítási alapok S.1314 2015;Európai Unió Intézményei S2 2015;Kormányzat + Európai Unió Intézményei S2+S13 2016;Kormányzat S.13 2016;Központi kormányzat S.1311 2016;Helyi önkormányzat S.1313 2016;Társadalom- biztosítási alapok S.1314 2016;Európai Unió Intézményei S2 2016;Kormányzat + Európai Unió Intézményei S2+S13 2017;Kormányzat S.13 2017;Központi kormányzat S.1311 2017;Helyi önkormányzat S.1313 2017;Társadalom- biztosítási alapok S.1314 2017;Európai Unió Intézményei S2 2017;Kormányzat + Európai Unió Intézményei S2+S13 2018;Kormányzat S.13 2018;Központi kormányzat S.1311 2018;Helyi önkormányzat S.1313 2018;Társadalom- biztosítási alapok S.1314 2018;Európai Unió Intézményei S2 2018;Kormányzat + Európai Unió Intézményei S2+S13 2019;Kormányzat S.13 2019;Központi kormányzat S.1311 2019;Helyi önkormányzat S.1313 2019;Társadalom- biztosítási alapok S.1314 2019;Európai Unió Intézményei S2 2019;Kormányzat + Európai Unió Intézményei S2+S13 2020;Kormányzat S.13 2020;Központi kormányzat S.1311 2020;Helyi önkormányzat S.1313 2020;Társadalom- biztosítási alapok S.1314 2020;Európai Unió Intézményei S2 2020;Kormányzat + Európai Unió Intézményei S2+S13 2021;Kormányzat S.13 2021;Központi kormányzat S.1311 2021;Helyi önkormányzat S.1313 2021;Társadalom- biztosítási alapok S.1314 2021;Európai Unió Intézményei S2 2021
Támogatások;D.3;125 258;125 258;115 754;9 504;–;–;147 109;147 109;136 288;10 821;–;–;144 921;144 921;133 369;11 552;–;–;172 009;172 009;159 014;12 995;–;–;219 600;219 600;205 371;14 229;–;–;217 653;217 653;203 357;14 296;–;–;259 765;259 765;245 404;14 361;–;–;297 200;297 200;280 717;16 483;–;–;275 833;275 833;272 586;3 247;–;–;407 359;326 827;314 984;11 843;–;80 532;449 242;294 492;276 294;18 198;–;154 750;553 765;336 614;301 544;35 070;–;217 151;568 437;351 996;316 861;35 135;–;216 441;530 928;296 609;251 358;45 251;–;234 319;579 108;245 802;210 558;35 244;–;333 306;599 956;289 801;231 922;57 879;–;310 155;745 448;347 418;288 178;59 240;–;398 030;1 063 824;655 943;356 314;72 177;227 452;407 881;1 088 359;635 089;403 972;76 750;154 367;453 270;1 091 568;640 923;417 302;87 863;135 758;450 645;1 118 376;668 104;437 397;90 433;140 274;450 272;1 164 530;732 666;488 870;89 687;154 109;431 864;1 154 214;717 121;520 705;78 210;118 206;437 093;1 079 085;618 878;498 226;16 434;104 218;460 207;996 509;543 139;421 453;17 329;104 357;453 370;1 139 340;640 416;495 434;33 507;111 475;498 924;1 168 364;684 341;527 389;19 337;132 215;484 023
Terméktámogatások;D.31;99 339;99 339;89 835;9 504;–;–;115 907;115 907;105 086;10 821;–;–;102 705;102 705;91 153;11 552;–;–;126 984;126 984;113 989;12 995;–;–;169 681;169 681;155 452;14 229;–;–;157 951;157 951;143 655;14 296;–;–;187 775;187 775;173 414;14 361;–;–;194 215;194 215;177 732;16 483;–;–;174 369;174 369;171 122;3 247;–;–;200 580;199 735;187 892;11 843;–;845;215 321;184 667;166 469;18 198;–;30 654;280 307;228 528;193 458;35 070;–;51 779;258 559;213 207;178 072;35 135;–;45 352;129 558;101 423;56 172;45 251;–;28 135;128 296;98 545;63 301;35 244;–;29 751;172 836;138 392;80 513;57 879;–;34 444;218 384;179 629;120 389;59 240;–;38 755;290 886;251 691;179 514;72 177;–;39 195;317 879;271 340;194 590;76 750;–;46 539;340 424;301 939;214 076;87 863;–;38 485;338 465;290 325;199 892;90 433;–;48 140;398 924;323 351;233 664;89 687;–;75 573;336 851;270 608;192 398;78 210;–;66 243;322 680;241 256;224 822;16 434;–;81 424;222 316;145 687;128 358;17 329;–;76 629;203 822;126 861;93 354;33 507;–;76 961;187 450;106 443;87 106;19 337;–;81 007
Exporttámogatások;D.312;45 055;45 055;45 055;–;–;–;42 982;42 982;42 982;–;–;–;27 170;27 170;27 170;–;–;–;19 958;19 958;19 958;–;–;–;21 877;21 877;21 877;–;–;–;24 304;24 304;24 304;–;–;–;9 188;9 188;9 188;–;–;–;2 017;2 017;2 017;–;–;–;2 225;2 225;2 225;–;–;–;1 558;1 071;1 071;–;–;487;10 397;-2;-2;–;–;10 399;5 555;3;3;–;–;5 552;3 445;–;–;–;–;3 445;3 609;–;–;–;–;3 609;1 552;–;–;–;–;1 552;481;–;–;–;–;481;390;–;–;–;–;390;375;–;–;–;–;375;153;–;–;–;–;153;4;–;–;–;–;4;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Mezõgazdasági és élelmiszeripari exporttámogatás;;45 055;45 055;45 055;–;–;–;42 982;42 982;42 982;–;–;–;27 170;27 170;27 170;–;–;–;19 958;19 958;19 958;–;–;–;21 877;21 877;21 877;–;–;–;24 304;24 304;24 304;–;–;–;9 188;9 188;9 188;–;–;–;2 017;2 017;2 017;–;–;–;2 225;2 225;2 225;–;–;–;1 071;1 071;1 071;–;–;–;-2;-2;-2;–;–;–;3;3;3;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
EU közvetlen exporttámogatások;;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;487;–;–;–;–;487;10 399;–;–;–;–;10 399;5 552;–;–;–;–;5 552;3 445;–;–;–;–;3 445;3 609;–;–;–;–;3 609;1 552;–;–;–;–;1 552;481;–;–;–;–;481;390;–;–;–;–;390;375;–;–;–;–;375;153;–;–;–;–;153;4;–;–;–;–;4;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Belföldi terméktámogatások;D.319;54 284;54 284;44 780;9 504;–;–;72 925;72 925;62 104;10 821;–;–;75 535;75 535;63 983;11 552;–;–;107 026;107 026;94 031;12 995;–;–;147 804;147 804;133 575;14 229;–;–;133 647;133 647;119 351;14 296;–;–;178 587;178 587;164 226;14 361;–;–;192 198;192 198;175 715;16 483;–;–;172 144;172 144;168 897;3 247;–;–;199 022;198 664;186 821;11 843;–;358;204 924;184 669;166 471;18 198;–;20 255;274 752;228 525;193 455;35 070;–;46 227;255 114;213 207;178 072;35 135;–;41 907;125 949;101 423;56 172;45 251;–;24 526;126 744;98 545;63 301;35 244;–;28 199;172 355;138 392;80 513;57 879;–;33 963;217 994;179 629;120 389;59 240;–;38 365;290 511;251 691;179 514;72 177;–;38 820;317 726;271 340;194 590;76 750;–;46 386;340 420;301 939;214 076;87 863;–;38 481;338 465;290 325;199 892;90 433;–;48 140;398 924;323 351;233 664;89 687;–;75 573;336 851;270 608;192 398;78 210;–;66 243;322 680;241 256;224 822;16 434;–;81 424;222 316;145 687;128 358;17 329;–;76 629;203 822;126 861;93 354;33 507;–;76 961;187 450;106 443;87 106;19 337;–;81 007
Egyedi támogatások;;28 310;28 310;28 310;–;–;–;34 610;34 610;34 610;–;–;–;37 418;37 418;37 418;–;–;–;42 323;42 323;42 323;–;–;–;53 219;53 219;53 219;–;–;–;50 915;50 915;50 915;–;–;–;59 401;59 401;59 401;–;–;–;60 968;60 968;60 968;–;–;–;65 796;65 796;65 796;–;–;–;61 215;61 215;61 215;–;–;–;55 524;55 524;55 524;–;–;–;92 507;92 507;92 507;–;–;–;118 126;118 126;118 126;–;–;–;42 554;42 554;42 554;–;–;–;38 537;38 537;38 537;–;–;–;68 338;68 338;68 338;–;–;–;99 243;99 243;99 243;–;–;–;116 462;116 462;116 462;–;–;–;128 611;128 611;128 611;–;–;–;136 531;136 531;136 531;–;–;–;121 353;121 353;121 353;–;–;–;159 155;159 155;159 155;–;–;–;130 342;130 342;130 342;–;–;–;166 814;166 814;166 814;–;–;–;49 875;49 875;49 875;–;–;–;1 063;1 063;1 063;–;–;–;2 394;2 394;2 394;–;–;–
Állatjóléti, piac fejlesztési támogatások;;–;–;–;–;–;–;–;–;–;–;–;–;4 797;4 797;4 797;–;–;–;11 459;11 459;11 459;–;–;–;17 936;17 936;17 936;–;–;–;13 145;13 145;13 145;–;–;–;8 638;8 638;8 638;–;–;–;25 937;25 937;25 937;–;–;–;25 442;25 442;25 442;–;–;–;6 370;6 370;6 370;–;–;–;14 437;14 437;14 437;–;–;–;5 487;5 487;5 487;–;–;–;6 170;6 170;6 170;–;–;–;6 119;6 119;6 119;–;–;–;9 033;9 033;9 033;–;–;–;4 463;4 463;4 463;–;–;–;10 031;10 031;10 031;–;–;–;17 696;17 696;17 696;–;–;–;12 619;12 619;12 619;–;–;–;17 319;17 319;17 319;–;–;–;21 896;21 896;21 896;–;–;–;35 405;29 902;29 902;–;–;5 503;29 247;29 247;29 247;–;–;–;29 696;29 696;29 696;–;–;–;30 567;30 567;30 567;–;–;–;43 154;43 154;43 154;–;–;–;37 113;37 113;37 113;–;–;–
Rádió és televízió közszolgáltatási tevékenység támogatása;;–;–;–;–;–;–;986;986;986;–;–;–;4 322;4 322;4 322;–;–;–;6 630;6 630;6 630;–;–;–;11 508;11 508;11 508;–;–;–;11 210;11 210;11 210;–;–;–;12 659;12 659;12 659;–;–;–;11 356;11 356;11 356;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Földalapú támogatás (TOP-UP, Átmeneti Nemzeti Támogatás);;–;–;–;–;–;–;4 146;4 146;4 146;–;–;–;8 107;8 107;8 107;–;–;–;7 578;7 578;7 578;–;–;–;10 316;10 316;10 316;–;–;–;15 569;15 569;15 569;–;–;–;22 321;22 321;22 321;–;–;–;19 283;19 283;19 283;–;–;–;24 027;24 027;24 027;–;–;–;85 431;85 431;85 431;–;–;–;90 133;90 133;90 133;–;–;–;81 999;81 999;81 999;–;–;–;50 367;42 352;42 352;–;–;8 015;5 141;5 141;5 141;–;–;–;12 635;12 635;12 635;–;–;–;5 898;5 898;5 898;–;–;–;7 586;7 586;7 586;–;–;–;7 030;7 030;7 030;–;–;–;3 940;3 940;3 940;–;–;–;6 088;6 088;6 088;–;–;–;5 330;5 330;5 330;–;–;–;2 978;2 978;2 978;–;–;–;2 469;2 469;2 469;–;–;–;2 565;2 565;2 565;–;–;–;2 272;2 272;2 272;–;–;–;2 115;2 115;2 115;–;–;–;2 115;2 115;2 115;–;–;–
