21.1.1.34. A háztartási szektor bruttó jövedelmének és a jövedelmek felhasználásának volumenindexei [elõzõ év = 100,0%];;;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Bér, kereset;98,9;103,4;103,2;101,0;107,8;109,1;105,6;109,8;104,2;104,7;102,8;97,4;98,8;94,5;99,6;100,4;99,1;103,1;105,3;104,7;105,3;109,0;106,7;105,2;99,2;103,7
A munkaadók társadalombiztosítási hozzájárulása;93,7;107,7;102,6;95,1;106,2;101,2;105,9;101,8;100,3;105,4;101,4;99,8;101,1;88,6;84,1;101,1;102,3;99,7;108,3;106,9;107,0;90,5;96,6;99,9;87,3;96,8
Munkavállalói jövedelem;97,5;104,5;103,1;99,4;107,4;107,1;105,6;107,9;103,3;104,9;102,5;97,9;99,3;93,2;96,3;100,5;99,7;102,5;105,8;105,1;105,6;105,4;105,0;104,3;97,4;102,7
Mûködési eredmény;103,7;103,4;99,2;106,8;101,9;101,3;101,2;102,8;100,4;102,8;104,3;100,4;100,5;100,6;116,2;101,8;98,9;98,2;99,1;100,3;100,9;101,1;103,9;103,9;103,0;101,8
Vegyes jövedelem;98,5;92,4;96,1;104,2;98,2;107,5;101,0;97,7;100,4;103,4;95,2;94,7;102,4;86,9;95,1;103,5;91,1;102,8;108,8;104,5;106,3;103,6;109,9;108,6;94,5;112,8
Tulajdonosi jövedelem;103,9;102,8;103,8;102,1;90,4;87,9;107,1;88,6;115,2;94,3;101,3;95,4;85,4;107,4;77,2;98,6;119,7;96,0;98,8;112,1;92,8;115,3;133,5;109,0;86,1;121,3
Az elsõdleges jövedelmek egyenlege;98,7;101,6;101,4;101,1;103,7;105,2;104,5;104,4;103,3;103,8;101,4;97,4;99,0;93,5;96,6;101,0;99,4;101,8;105,3;105,0;104,6;105,3;107,2;105,2;96,6;105,4
Kapott folyó transzferek összesen;89,3;98,4;106,2;102,5;101,4;106,3;113,3;107,3;105,5;108,4;106,1;100,3;98,9;96,1;95,7;97,9;95,1;100,1;101,8;100,8;101,7;101,5;103,0;101,9;101,6;103,8
Ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;
a kötelezõ társadalombiztosítás pénzbeli juttatásai;89,1;98,9;106,9;103,3;103,4;106,0;113,9;105,5;103,8;107,9;105,3;102,1;104,4;96,0;96,3;99,8;90,9;104,0;102,8;102,1;102,4;102,0;102,2;101,8;102,4;106,4
Fizetett folyó transzferek összesen;98,1;104,0;102,5;102,0;107,1;105,6;107,6;102,1;102,0;105,7;105,9;104,6;101,5;90,2;90,7;92,7;102,3;100,6;106,7;106,9;105,3;101,4;103,6;104,3;95,2;96,7
Rendelkezésre álló jövedelem;96,4;100,0;102,2;101,1;101,8;105,3;105,5;106,1;104,4;104,3;101,0;95,4;97,9;95,9;98,9;103,4;97,0;101,8;103,8;103,1;103,5;105,9;107,6;104,8;98,3;108,0
Természetbeni társadalmi juttatás;98,7;96,7;99,0;101,2;105,0;104,8;107,3;103,9;103,5;103,7;101,5;91,5;99,2;99,8;98,2;100,9;98,1;100,8;100,7;103,3;101,2;103,6;101,5;101,9;95,8;100,9
Összes (korrigált, rendelkezésre álló) jövedelem;96,8;99,4;101,6;101,1;102,4;105,2;105,8;105,7;104,2;104,2;101,0;94,6;98,1;96,6;98,7;102,9;97,2;101,6;103,3;103,1;103,1;105,5;106,5;104,3;97,9;106,7
A rezidens háztartások tényleges fogyasztása összesen;97,7;101,0;103,4;105,6;103,4;104,6;107,7;107,5;102,2;103,0;101,7;99,1;98,9;94,4;98,6;100,9;97,7;100,0;102,2;103,6;104,1;104,5;104,2;104,5;98,1;104,2
Lakásberuházás;81,9;87,0;81,6;90,5;110,5;128,4;114,3;109,1;111,9;87,4;83,5;106,0;102,8;95,5;75,5;71,9;89,7;94,0;117,5;110,2;109,6;116,4;110,8;106,4;121,9;96,1
