21.1.1.35. Reáljövedelem – reálbérindex;;;
Év;Egy keresõre jutó nettó nominál-átlagkereset;Egy keresõre jutó reálkereset;Egy fõre jutó reáljövedelem
1990 = 100,0%;;;
1991;125,5;93,0;98,3
1992;152,2;91,7;94,9
1993;179,2;88,1;90,3
1994;228,1;94,5;92,7
1995;256,8;82,9;87,7
1996;301,5;78,8;84,7
1997;374,2;82,7;84,9
1998;443,0;85,6;86,9
1999;499,3;87,7;88,1
2000;556,2;89,0;90,0
2001;646,3;94,7;95,1
2002;773,0;107,6;100,6
2003;883,6;117,4;107,0
2004;933,0;116,1;112,0
2005;1 027,3;123,5;117,2
2006;1 105,3;127,9;118,5
2007;1 138,5;122,0;113,2
2008;1 218,2;123,0;110,9
2009;1 240,1;120,2;106,6
2010;1 324,4;122,3;105,6
2011;1 409,2;125,4;109,6
2012;1 438,8;121,1;106,8
2013;1 509,3;124,9;108,9
2014;1 554,6;128,9;113,4
2015;1 621,4;134,6;117,1
2016;1 747,9;144,5;121,5
2017;1 973,4;159,3;129,0
2018;2 196,4;172,5;138,9
2019;2 446,8;185,9;145,6
2020;2 684,1;197,3;143,4
2021;2 917,6;204,1;155,4
Elõzõ év = 100,0%;;;
1991;125,5;93,0;98,3
1992;121,3;98,6;96,5
1993;117,7;96,1;95,2
1994;127,3;107,2;102,6
1995;112,6;87,8;94,6
1996;117,4;95,0;96,6
1997;124,1;104,9;100,2
1998;118,4;103,6;102,4
1999;112,7;102,5;101,4
2000;111,4;101,5;102,1
2001;116,2;106,4;105,7
2002;119,6;113,6;105,8
2003;114,3;109,2;106,4
2004;105,6;98,9;104,7
2005;110,1;106,3;104,6
2006;107,6;103,6;101,1
2007;103,0;95,4;95,5
2008;107,0;100,8;98,0
2009;101,8;97,7;96,1
2010;106,8;101,8;99,1
2011;106,4;102,5;103,8
2012;102,1;96,6;97,4
2013;104,9;103,1;102,0
2014;103,0;103,2;104,1
2015;104,3;104,4;103,3
2016;107,8;107,4;103,8
2017;112,9;110,3;106,2
2018;111,3;108,3;107,7
2019;111,4;107,7;104,8
2020;109,7;106,2;98,5
2021;108,7;103,4;108,4
