21.1.1.37. A háztartások fogyasztási kiadásának alakulása a termékek tartóssága szerint;;;;;
Év;Tartós termék vásárlására fordított kiadás;Fél-tartóstermék vásárlására fordított kiadás;Nem tartós termék vásárlására fordított kiadás;Szolgáltatás vásárlására fordított kiadás;Hazai fogyasztási kiadás
Folyó áron, millió Ft ;;;;;
2000;768 740;661 185;3 215 344;3 061 528;7 706 797
2001;879 006;754 771;3 634 155;3 559 290;8 827 222
2002;1 011 085;804 665;3 948 518;3 971 752;9 736 020
2003;1 292 626;874 952;4 309 633;4 376 818;10 854 029
2004;1 388 309;939 012;4 573 290;4 704 735;11 605 346
2005;1 426 901;954 793;4 871 367;5 158 772;12 411 833
2006;1 455 935;994 423;5 229 769;5 481 698;13 161 825
2007;1 465 393;1 046 480;5 746 891;5 790 309;14 049 073
2008;1 372 267;1 051 502;6 293 571;6 061 748;14 779 088
2009;1 009 221;982 208;6 255 372;6 225 666;14 472 467
2010;887 267;981 609;6 278 064;6 628 642;14 775 582
2011;893 355;1 013 636;6 710 528;6 768 666;15 386 185
2012;909 644;1 000 548;7 057 274;6 899 500;15 866 966
2013;924 123;1 039 943;7 149 193;6 994 632;16 107 891
2014;994 580;1 211 457;7 239 652;7 364 052;16 809 741
2015;1 019 385;1 352 320;7 377 131;7 790 592;17 539 428
2016;1 167 939;1 447 314;7 560 407;8 341 722;18 517 382
2017;1 276 355;1 593 628;8 153 196;8 959 111;19 982 290
2018;1 472 313;1 744 691;8 656 256;9 801 375;21 674 635
2019;1 716 951;1 906 611;9 310 169;10 944 561;23 878 292
2020;1 798 543;1 870 242;9 629 304;10 272 903;23 570 992
2021;1 898 732;2 127 171;10 528 776;11 790 333;26 345 012
Megoszlása, %;;;;;
2000;10,0;8,6;41,7;39,7;100,0
2001;10,0;8,6;41,2;40,3;100,0
2002;10,4;8,3;40,6;40,8;100,0
2003;11,9;8,1;39,7;40,3;100,0
2004;12,0;8,1;39,4;40,5;100,0
2005;11,5;7,7;39,2;41,6;100,0
2006;11,1;7,6;39,7;41,6;100,0
2007;10,4;7,4;40,9;41,2;100,0
2008;9,3;7,1;42,6;41,0;100,0
2009;7,0;6,8;43,2;43,0;100,0
2010;6,0;6,6;42,5;44,9;100,0
2011;5,8;6,6;43,6;44,0;100,0
2012;5,7;6,3;44,5;43,5;100,0
2013;5,7;6,5;44,4;43,4;100,0
2014;5,9;7,2;43,1;43,8;100,0
2015;5,8;7,7;42,1;44,4;100,0
2016;6,3;7,8;40,8;45,0;100,0
2017;6,4;8,0;40,8;44,8;100,0
2018;6,8;8,0;39,9;45,2;100,0
2019;7,2;8,0;39,0;45,8;100,0
2020;7,6;7,9;40,9;43,6;100,0
2021;7,2;8,1;40,0;44,8;100,0
Elõzõ évi áron, millió Ft;;;;;
2001;857 794;704 098;3 266 146;3 193 517;8 021 555
2002;1 003 008;751 534;3 696 355;3 687 134;9 138 031
2003;1 303 383;847 629;4 116 447;4 136 230;10 403 689
2004;1 381 161;903 993;4 256 862;4 395 232;10 937 248
2005;1 456 773;944 161;4 647 134;4 890 004;11 938 072
2006;1 517 806;993 978;4 991 153;5 232 300;12 735 237
2007;1 480 607;1 023 099;5 216 899;5 368 462;13 089 067
2008;1 379 396;1 038 650;5 775 707;5 762 985;13 956 738
2009;981 927;961 516;6 026 189;5 940 397;13 910 029
2010;892 077;987 251;5 974 142;6 414 285;14 267 755
2011;901 324;997 941;6 308 200;6 684 132;14 891 597
2012;916 027;974 095;6 447 029;6 683 665;15 020 816
2013;941 570;1 040 911;7 064 838;6 806 407;15 853 726
2014;991 419;1 211 383;7 285 105;7 144 547;16 632 454
2015;1 017 171;1 359 737;7 499 010;7 585 957;17 461 875
2016;1 161 496;1 439 338;7 612 002;8 132 972;18 345 808
2017;1 283 421;1 591 212;7 899 102;8 565 008;19 338 743
2018;1 485 519;1 753 346;8 340 443;9 389 204;20 968 512
2019;1 720 703;1 884 265;8 937 414;10 265 937;22 808 319
2020;1 779 955;1 868 006;9 249 773;9 940 575;22 838 309
2021;1 820 123;2 103 457;9 851 831;11 057 817;24 833 228
Volumenindex, elõzõ év=100,0%;;;;;
2001;111,6;106,5;101,6;104,3;104,1
2002;114,1;99,6;101,7;103,6;103,5
2003;128,9;105,3;104,3;104,1;106,9
2004;106,8;103,3;98,8;100,4;100,8
2005;104,9;100,5;101,6;103,9;102,9
2006;106,4;104,1;102,5;101,4;102,6
2007;101,7;102,9;99,8;97,9;99,4
2008;94,1;99,3;100,5;99,5;99,3
2009;71,6;91,4;95,8;98,0;94,1
2010;88,4;100,5;95,5;103,0;98,6
2011;101,6;101,7;100,5;100,8;100,8
2012;102,5;96,1;96,1;98,7;97,6
2013;103,5;104,0;100,1;98,7;99,9
2014;107,3;116,5;101,9;102,1;103,3
2015;102,3;112,2;103,6;103,0;103,9
2016;113,9;106,4;103,2;104,4;104,6
2017;109,9;109,9;104,5;102,7;104,4
2018;116,4;110,0;102,3;104,8;104,9
2019;116,9;108,0;103,2;104,7;105,2
2020;103,7;98,0;99,4;90,8;95,6
2021;101,2;112,5;102,3;107,6;105,4
