21.1.1.38. A háztartások egy fõre jutó fogyasztásának volumenindexei a javak rendeltetése szerint (COICOP) [elõzõ év = 100,0%];;;;;;;;;;;;;;;;;;;;;;;
Kód;Megnevezés;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
01;Élelmiszerek és alkoholmentes italok;99,8;98,7;101,5;107,1;100,0;99,4;100,5;98,8;97,3;92,4;100,0;99,7;97,2;102,0;105,6;105,6;102,5;107,2;103,1;103,5;101,3;102,2
02;Szeszes italok, dohányáruk és kábítószerek;100,4;102,7;101,3;100,7;92,3;103,8;108,4;102,5;103,7;93,3;90,6;103,9;97,5;94,4;95,9;98,3;101,2;106,2;103,7;104,0;96,6;101,6
03;Ruházat és lábbeli;102,6;106,7;99,3;103,9;99,2;98,4;101,6;109,8;99,8;88,4;97,1;104,3;94,7;109,5;121,3;116,4;105,7;110,6;109,0;103,8;88,4;116,3
04;Lakásszolgáltatás, víz, villamos energia, gáz és egyéb tüzelõanyag;102,7;102,2;104,4;109,5;100,6;102,0;101,7;97,5;101,4;98,4;107,0;100,7;98,8;98,8;98,9;102,1;101,9;101,5;102,4;103,2;103,8;103,6
05;Lakberendezés, lakásfelszerelés, rendszeres lakáskarbantartás;107,8;106,5;104,6;112,9;114,7;98,4;102,8;97,1;96,3;87,9;98,6;98,8;96,8;101,0;110,0;106,5;109,1;110,6;111,9;112,3;104,8;102,1
06;Egészségügy;101,6;108,9;99,4;103,8;98,5;103,6;99,6;82,7;111,1;105,0;105,1;103,6;98,2;100,7;101,5;97,8;103,7;100,5;103,0;104,3;103,4;105,1
07;Közlekedés és szállítás;105,3;107,9;106,9;110,7;102,2;105,8;105,4;102,2;95,3;89,1;84,0;103,9;95,9;102,3;111,0;103,3;108,6;103,6;106,6;106,2;90,0;102,8
08;Hírközlés;113,1;116,5;112,8;101,6;101,3;112,0;104,1;105,2;107,0;92,2;105,8;102,4;100,4;101,1;101,8;106,5;105,1;106,6;99,4;100,8;105,1;113,0
09;Szabadidõ és kultúra;108,6;107,0;105,4;110,7;101,8;107,9;103,8;100,9;96,1;93,7;98,6;99,8;99,8;97,2;106,3;104,8;105,9;107,0;110,1;109,7;93,2;113,2
10;Oktatás;100,9;109,3;100,2;111,7;88,7;90,7;101,9;93,7;88,8;98,0;104,0;99,2;105,0;106,7;111,4;105,9;110,1;101,4;109,6;109,3;91,3;104,3
11;Vendéglátás és szálláshely-szolgátatás;97,0;99,8;100,5;99,3;101,3;104,9;99,9;103,6;99,4;95,1;100,3;100,2;102,3;102,2;107,8;109,2;109,0;102,6;108,6;105,4;65,0;119,8
12;Egyéb termékek és szolgáltatások;108,9;105,8;105,0;104,7;102,6;105,3;102,7;98,6;102,6;99,0;98,7;99,2;97,0;98,3;93,4;103,3;107,1;104,0;103,7;107,6;100,5;107,3
13;A háztartásokat segítõ nonprofit intézmények egyéni célú fogyasztási kiadásai;109,0;104,3;109,1;107,2;108,3;106,4;93,6;101,8;95,2;100,4;99,3;101,3;101,7;102,5;99,4;106,7;103,1;114,9;113,1;101,9;103,6;102,1
14;A kormányzat egyéni célú fogyasztási kiadásai ;104,9;105,1;107,4;103,8;103,1;103,6;102,7;90,4;100,0;100,0;98,3;101,1;98,1;100,8;101,2;103,0;101,3;101,9;99,4;101,9;94,4;101,1
;Háztartások tényleges fogyasztása;103,6;104,8;108,1;107,9;102,4;103,2;101,9;99,2;99,1;94,5;98,9;101,1;98,2;100,2;102,5;103,9;104,4;104,7;104,3;104,5;98,3;104,6
