21.1.1.40. A háztartások fogyasztási kiadása rendeltetés szerinti (COICOP) bontásban elõzõ évi áron [millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;
COICOP-csoport;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Rezidens háztartások fogyasztási kiadása;3 010 361;3 778 154;4 652 199;5 648 305;6 352 279;7 382 244;8 729 746;10 046 758;10 683 903;11 580 013;12 210 733;12 727 879;13 423 464;13 213 218;13 604 463;14 182 775;14 308 413;15 085 605;15 712 939;16 489 487;17 348 212;18 327 708;19 848 977;21 558 167;22 245 122;24 103 995
Idegenforgalom egyenlege;304 988;409 177;476 005;484 624;562 187;639 311;408 285;356 931;253 345;358 059;524 504;361 188;533 274;696 811;663 292;708 822;712 403;768 121;919 515;972 388;997 596;1 011 035;1 119 535;1 250 152;593 187;729 233
01–12 A háztartások egyéni fogyasztási kiadásai – hazai;3 315 349;4 187 331;5 128 204;6 132 929;6 914 466;8 021 555;9 138 031;10 403 689;10 937 248;11 938 072;12 735 237;13 089 067;13 956 738;13 910 029;14 267 755;14 891 597;15 020 816;15 853 726;16 632 454;17 461 875;18 345 808;19 338 743;20 968 512;22 808 319;22 838 309;24 833 228
01. Élelmiszerek és alkoholmentes italok;772 792;905 396;1 097 869;1 304 440;1 299 117;1 435 333;1 676 751;1 887 640;1 899 614;1 967 346;2 036 540;2 141 967;2 319 437;2 352 627;2 424 315;2 429 197;2 508 174;2 787 363;3 002 112;3 162 650;3 232 818;3 451 577;3 657 702;3 913 886;4 151 507;4 517 024
01.1 Élelmiszerek;678 828;790 106;959 190;1 138 444;1 114 124;1 226 583;1 429 574;1 608 189;1 611 347;1 691 749;1 738 010;1 827 735;1 999 257;2 053 426;2 102 003;2 099 662;2 164 135;2 404 283;2 578 253;2 714 801;2 782 971;2 957 682;3 126 721;3 331 511;3 530 327;3 874 948
01.2 Alkoholmentes italok;93 964;115 290;138 679;165 996;184 993;208 750;247 177;279 451;288 267;275 597;298 530;314 232;320 180;299 201;322 312;329 535;344 039;383 080;423 859;447 849;449 847;493 895;530 981;582 375;621 180;642 076
02. Szeszes italok, dohányáruk és kábítószerek;204 200;276 634;363 580;393 348;449 962;524 941;595 202;672 400;695 973;810 021;899 790;930 685;1 043 123;1 022 287;998 382;1 097 744;1 074 441;1 139 363;1 204 142;1 249 551;1 304 283;1 403 625;1 506 318;1 643 456;1 710 978;1 857 229
02.1 Szeszes italok;99 887;136 421;182 741;191 193;220 867;252 139;294 911;335 075;337 029;355 160;384 478;420 164;445 784;449 922;436 647;451 312;443 389;463 935;522 240;509 838;549 474;595 280;633 343;678 805;687 509;714 126
02.2 Dohányáruk;85 974;114 424;145 135;169 673;197 399;231 128;251 705;270 781;276 234;359 072;386 013;399 067;472 713;451 946;433 712;507 376;482 793;525 015;538 627;614 556;626 834;661 209;707 115;771 320;835 114;944 830
02.3 Kábítószerek;18 339;25 789;35 704;32 482;31 696;41 674;48 586;66 544;82 710;95 789;129 299;111 454;124 626;120 419;128 023;139 056;148 259;150 413;143 275;125 157;127 975;147 136;165 860;193 331;188 355;198 273
03. Ruházat és lábbeli;137 712;178 194;223 385;257 311;290 436;332 909;353 674;392 262;402 590;412 934;425 331;462 318;466 724;413 379;405 162;416 674;405 490;455 293;548 624;637 361;669 899;742 404;811 894;843 395;752 614;873 584
03.1 Ruházat;101 065;130 570;165 802;192 214;216 204;248 268;263 727;295 721;300 437;309 087;320 416;343 344;353 760;313 125;311 025;310 829;295 417;333 770;394 717;464 244;479 015;526 614;594 216;613 624;564 596;658 432
03.2 Lábbeli;36 647;47 624;57 583;65 097;74 232;84 641;89 947;96 541;102 153;103 847;104 915;118 974;112 964;100 254;94 137;105 845;110 073;121 523;153 907;173 117;190 884;215 790;217 678;229 771;188 018;215 152
04. Lakásszolgáltatás, víz, villamosenergia, gáz és egyéb tüzelõanyag;580 997;756 403;919 932;1 114 490;1 260 450;1 421 255;1 636 457;1 908 564;1 994 840;2 200 415;2 363 827;2 453 803;2 743 242;2 930 776;3 397 276;3 511 571;3 492 377;3 531 454;3 410 396;3 425 319;3 593 742;3 789 441;4 104 923;4 527 754;5 109 129;5 402 493
04.1 Tényleges lakbér;24 471;30 706;36 064;41 475;43 678;48 882;59 944;73 673;73 641;83 143;87 572;92 123;100 213;110 075;117 386;122 604;143 643;150 367;153 416;154 191;157 630;170 496;182 958;196 195;216 015;226 801
04.2  Imputált lakbér;346 695;450 054;533 636;638 093;746 016;848 113;963 262;1 111 743;1 169 624;1 254 768;1 371 519;1 471 574;1 516 515;1 589 308;1 943 773;2 001 419;1 929 646;1 876 038;1 908 114;2 010 223;2 170 608;2 324 922;2 643 989;3 021 001;3 510 629;3 708 230
04.3  Lakáskarbantartás és -javítás;9 269;12 513;16 002;22 317;35 446;39 641;50 320;69 909;63 846;65 495;61 307;58 927;67 493;43 097;40 216;51 409;40 259;34 283;33 705;31 661;36 492;41 965;48 116;67 498;92 290;99 474
04.4 Vízellátás és egyéb lakásszolgáltatás;33 137;45 450;53 923;68 340;83 039;91 548;106 625;132 939;155 858;175 532;185 514;189 168;212 590;231 225;254 489;267 373;290 010;304 450;317 314;307 157;303 840;302 329;309 332;310 727;318 811;325 884
04.5  Villamos energia, gáz és egyéb tüzelõanyagok;167 425;217 680;280 307;344 265;352 271;393 071;456 306;520 300;531 871;621 477;657 915;642 011;846 431;957 071;1 041 412;1 068 766;1 088 819;1 166 316;997 847;922 087;925 172;949 729;920 528;932 333;971 384;1 042 104
05. Lakberendezés, lakásfelszerelés, rendszeres lakáskarbantartás;203 576;270 276;340 221;384 822;448 395;507 689;559 916;663 956;766 877;765 625;786 304;746 823;728 641;645 665;656 876;651 945;630 431;657 805;728 201;777 237;848 187;939 760;1 051 310;1 185 148;1 266 653;1 315 612
05.1 Bútorok és lakberendezési cikkek, szõnyegek és más padlóburkoló anyagok;52 005;74 481;101 972;117 862;137 156;155 226;169 808;202 743;271 327;257 202;262 664;262 692;247 694;219 088;202 113;192 087;171 141;160 950;171 675;171 830;198 481;231 374;273 197;324 265;346 139;347 994
05.2 Lakástextíliák;10 929;13 849;17 660;21 226;25 825;29 783;35 413;44 213;48 563;50 642;50 942;46 304;46 726;48 585;51 120;54 987;60 445;65 935;79 958;87 482;92 445;105 721;123 246;129 735;128 833;145 916
05.3 Háztartási gépek és készülékek;65 884;81 724;100 636;110 122;131 658;151 214;171 307;200 364;211 987;226 616;217 513;193 511;183 914;132 006;144 027;151 394;156 304;164 326;159 011;170 866;195 475;221 897;253 552;295 111;319 221;326 535
05.4 Háztartási üvegáruk, edények és konyhafelszerelés;20 546;28 069;32 981;36 336;44 485;52 908;55 363;64 448;71 648;70 287;79 364;73 843;81 231;79 573;75 313;72 278;65 058;66 884;89 317;102 819;102 383;102 721;106 853;117 658;119 483;128 372
05.5 Barkács- és kerti szerszámok, eszközök;14 732;18 211;21 908;26 096;28 948;33 196;35 556;47 116;52 493;51 385;55 177;47 988;50 464;42 440;43 894;41 204;43 856;50 116;49 311;54 244;56 152;60 355;67 028;78 071;80 991;84 100
05.6 Rendszeres lakáskarbantartáshoz igénybe vett termékek és szolgáltatások    ;39 480;53 942;65 064;73 180;80 323;85 362;92 469;105 072;110 859;109 493;120 644;122 485;118 612;123 973;140 409;139 995;133 627;149 594;178 929;189 996;203 251;217 692;227 434;240 308;271 986;282 695
06. Egészségügy;88 416;129 731;157 554;191 622;238 252;307 793;345 540;396 577;418 204;463 899;490 133;423 568;589 595;589 881;613 189;656 980;660 223;685 183;716 659;728 674;784 068;803 830;855 419;916 117;981 466;1 066 601
06.1 Gyógyszerek, egészségügyi termékek, gyógyászati segédeszközök;38 676;56 670;69 448;81 794;98 173;133 256;142 608;174 151;187 090;211 661;224 228;239 723;300 046;295 386;319 264;353 327;334 180;354 465;377 203;381 429;392 854;399 161;417 340;458 404;513 465;539 804
06.2 Járóbeteg-ellátás;37 615;55 915;66 574;84 489;110 682;142 543;165 468;170 065;178 324;196 002;212 784;147 491;236 208;230 636;235 780;247 566;263 886;267 894;274 235;281 372;323 205;329 347;345 539;366 126;392 160;424 514
06.3 Kórházi szolgáltatások;12 125;17 146;21 532;25 339;29 397;31 994;37 464;52 361;52 790;56 236;53 121;36 354;53 341;63 859;58 145;56 087;62 157;62 824;65 221;65 873;68 009;75 322;92 540;91 587;75 841;102 283
07. Közlekedés és szállítás;418 535;542 179;683 822;852 185;999 586;1 232 766;1 365 576;1 545 990;1 634 912;1 816 625;2 007 873;2 098 904;2 046 268;1 937 424;1 610 786;1 848 409;1 909 924;2 090 063;2 301 271;2 375 534;2 426 729;2 442 157;2 693 468;2 968 621;2 694 924;2 712 559
07.1 Jármûvásárlás;128 007;165 495;209 806;287 222;334 587;385 755;484 760;656 217;647 599;706 507;740 604;716 048;680 251;434 390;362 573;378 471;396 995;411 663;454 323;469 019;535 298;556 524;653 704;763 672;752 816;764 561
07.2 Személyszállító jármûvek üzemeltetése;203 161;269 758;340 728;402 685;487 668;662 438;688 820;680 030;759 342;858 313;992 013;1 100 168;1 101 160;1 252 716;1 026 398;1 191 508;1 252 140;1 413 896;1 550 041;1 590 381;1 565 202;1 534 895;1 680 004;1 834 886;1 719 534;1 718 686
07.3 Közlekedési és szállítási szolgáltatások;87 367;106 926;133 288;162 278;177 331;184 573;191 996;209 743;227 971;251 805;275 256;282 688;264 857;250 318;221 815;278 430;260 789;264 504;296 907;316 134;326 229;350 738;359 760;370 063;222 574;229 312
08. Hírközlés;74 005;114 114;153 253;199 433;280 742;347 253;416 200;444 639;458 979;517 830;539 120;544 051;556 761;510 338;547 224;560 266;565 311;597 441;618 187;666 214;697 935;746 105;716 055;677 815;706 496;790 635
08.1 Postai szolgáltatás ;2 346;2 931;3 240;3 421;3 851;4 107;4 376;4 936;5 495;6 673;5 905;7 073;8 136;9 491;9 898;9 507;9 613;9 844;9 816;10 052;10 188;9 707;9 809;9 600;11 797;10 683
08.2 Telefon- és egyéb hírközlõ berendezés;3 363;5 386;6 950;7 914;10 414;11 993;12 715;18 517;22 104;29 012;29 588;40 660;25 421;21 822;19 784;20 039;21 382;21 571;21 851;24 626;37 240;61 572;67 403;82 969;106 070;107 573
08.3 Telefonálás és egyéb hírközlési szolgáltatás;68 296;105 797;143 063;188 098;266 477;331 153;399 109;421 186;431 380;482 145;503 627;496 318;523 204;479 025;517 542;530 720;534 316;566 026;586 520;631 536;650 507;674 826;638 843;585 246;588 629;672 379
09. Szabadidõ és kultúra;274 143;357 987;422 515;482 427;580 213;665 542;763 312;888 182;924 499;1 051 345;1 104 066;1 133 815;1 110 694;1 074 778;1 090 566;1 115 035;1 118 476;1 105 911;1 178 877;1 240 457;1 315 296;1 424 277;1 593 815;1 752 069;1 655 933;1 899 129
09.1 Audiovizuális, fotooptikai és információfeldolgozó berendezések;62 791;83 214;100 144;108 891;132 565;154 934;165 442;221 544;231 181;238 373;249 608;236 107;214 739;158 940;147 995;144 088;149 385;151 312;155 996;158 012;167 878;179 290;202 043;217 463;218 575;225 382
09.2 Egyéb szabadidõs és kulturális tevékenységet szolgáló tartós javak;1 789;2 308;2 777;3 420;4 450;5 326;6 183;6 948;5 265;4 858;6 793;4 360;3 933;4 160;3 367;4 656;3 017;6 153;1 244;1 199;2 075;1 804;1 977;2 674;4 938;3 819
09.3 Játékok, hobbi- és sportcikkek, kertészkedés, hobbiállat;52 179;63 788;70 842;84 723;83 935;95 449;103 643;127 148;146 449;161 986;179 696;196 756;203 410;206 288;224 959;231 578;229 237;224 162;269 709;301 196;327 913;366 233;421 543;487 567;566 610;621 378
09.4 Szabadidõs és kulturális tevékenységekkel kapcsolatos szolgáltatások;82 661;115 305;133 690;152 891;203 222;240 571;299 070;329 711;317 881;394 685;398 458;431 075;446 668;463 911;464 374;487 318;490 407;481 733;503 038;534 963;559 985;591 129;657 821;740 851;660 236;781 098
09.5 Újság, könyv, papír és írószer;56 954;74 437;88 930;100 902;110 400;123 903;132 797;148 679;161 522;177 701;193 000;189 325;173 790;171 289;170 945;168 435;167 851;167 616;166 153;160 424;174 104;178 599;185 309;166 592;163 162;186 142
09.6 Szervezett társasutazás;17 769;18 935;26 132;31 600;45 641;45 359;56 177;54 152;62 201;73 742;76 511;76 192;68 154;70 190;78 926;78 960;78 579;74 935;82 737;84 663;83 341;107 222;125 122;136 922;42 412;81 310
10. Oktatás;72 253;85 613;91 525;97 856;109 977;133 410;145 563;182 488;183 996;188 598;206 860;208 378;196 464;200 797;214 469;213 802;225 186;245 805;280 571;300 519;328 290;333 833;374 115;418 333;397 431;433 029
10.1 Iskolaelõkészítõ és alapfokú oktatás;6 892;8 714;9 302;9 373;10 579;12 087;12 778;12 692;12 981;15 587;18 591;19 481;10 468;9 688;6 984;9 309;7 117;8 272;6 883;9 863;10 401;10 248;13 986;23 518;21 449;24 139
10.2 Középfokú oktatás;16 907;20 455;22 125;24 068;26 003;31 161;34 653;36 390;36 035;38 156;47 970;46 260;39 857;44 757;46 879;46 728;46 575;47 950;44 857;51 945;71 387;74 925;86 300;105 082;94 912;111 807
10.3 Középfokot meghaladó, de nem felsõfokú oktatás;9 040;9 539;9 744;10 952;13 305;16 037;21 916;31 649;31 044;28 829;30 333;25 192;27 948;29 009;32 921;30 764;31 056;27 936;32 060;38 907;31 746;32 837;34 549;38 798;24 580;23 181
10.4 Felsõfokú oktatás;15 020;19 039;19 839;21 937;24 381;28 023;29 773;31 473;37 511;37 827;43 888;42 734;49 979;53 500;61 881;61 915;63 353;67 866;83 121;82 673;80 546;82 321;93 796;97 143;98 418;105 379
10.5 Nem besorolható szintû oktatás;24 394;27 866;30 515;31 526;35 709;46 102;46 443;70 284;66 425;68 199;66 078;74 711;68 212;63 843;65 804;65 086;77 085;93 781;113 650;117 131;134 210;133 502;145 484;153 792;158 072;168 523
11. Vendéglátás és szálláshely-szolgáltatás;197 534;254 918;301 802;364 824;393 165;441 845;510 728;568 731;626 983;729 712;765 648;831 958;888 987;903 124;959 858;988 483;1 030 293;1 099 398;1 217 084;1 368 139;1 526 227;1 604 658;1 833 718;2 011 588;1 389 668;1 759 451
11.1 Vendéglátás;149 077;194 398;225 348;278 722;291 367;329 143;398 158;449 517;496 256;576 181;591 936;646 908;705 626;729 248;785 119;803 691;837 393;890 223;985 268;1 107 881;1 235 574;1 284 126;1 495 111;1 639 250;1 206 621;1 502 885
11.2 Szálláshely-szolgáltatás;48 457;60 520;76 454;86 102;101 798;112 702;112 570;119 214;130 727;153 531;173 712;185 050;183 361;173 876;174 739;184 792;192 900;209 175;231 816;260 258;290 653;320 532;338 607;372 338;183 047;256 566
12. Egyéb termékek és szolgáltatások;291 186;315 886;372 746;490 171;564 171;670 819;769 112;852 260;929 781;1 013 722;1 109 745;1 112 797;1 266 802;1 328 953;1 349 652;1 401 491;1 400 490;1 458 647;1 426 330;1 530 220;1 618 334;1 657 076;1 769 774;1 950 137;2 021 510;2 205 882
12.1 Testápolás;51 655;72 705;91 612;107 077;130 848;149 658;172 800;211 260;217 609;231 250;243 053;257 775;270 249;254 539;259 402;264 895;254 047;276 257;291 222;316 275;364 114;387 689;428 335;436 478;430 283;443 330
12.2 Prostitúció;57 903;64 980;70 254;73 673;81 117;92 912;106 029;106 969;117 215;118 090;128 267;145 895;146 741;155 906;168 211;167 154;167 720;169 894;175 275;170 152;171 353;172 621;171 417;181 103;114 814;124 101
12.3 Máshova nem sorolt személyes ingóság;16 081;22 833;28 248;31 875;38 645;42 688;45 681;50 513;46 868;57 363;71 055;77 791;80 210;67 037;72 160;68 013;69 692;81 605;79 718;76 414;82 470;86 827;83 973;100 000;102 374;112 046
12.4 Szociális ellátás;19 498;24 254;20 653;26 960;38 552;46 005;56 215;66 376;75 350;88 837;95 390;103 200;81 661;83 373;84 778;88 923;94 558;96 941;95 239;103 093;106 069;108 041;114 211;121 967;116 581;123 759
12.5 Biztosítás;25 573;34 496;50 534;73 133;95 793;102 019;103 175;101 882;141 793;163 242;173 474;154 749;170 752;229 404;226 282;249 844;203 121;245 595;196 328;186 153;213 276;252 517;256 726;284 587;290 071;310 833
