21.1.1.43. Külföld szektor számlái [folyó áron, millió forint];;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESA-kód;Megnevezés;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Termékek és szolgáltatások külföld számlája;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P.6;Termékek és szolgáltatások exportja;2 287 229;2 983 020;4 232 233;5 527 403;6 475 556;8 908 180;9 990 264;10 135 518;10 778 680;12 573 628;14 125 287;17 962 186;20 032 233;21 576 756;19 684 848;22 292 418;24 565 027;24 902 133;25 923 810;28 580 598;30 603 810;31 284 275;33 744 700;36 338 676;38 868 641;38 113 728;44 953 309
P.61;Termékek exportja;1 430 422;1 815 704;2 811 083;3 924 833;4 760 027;6 799 098;7 526 443;7 875 649;8 673 639;10 509 632;12 009 964;15 002 651;16 782 800;18 034 545;15 909 027;18 205 574;20 042 117;20 232 169;20 862 346;22 786 269;24 316 507;24 471 247;26 379 844;28 233 865;30 103 765;31 144 711;37 028 682
P.62;Szolgáltatások exportja;856 807;1 167 316;1 421 150;1 602 570;1 715 529;2 109 082;2 463 821;2 259 869;2 105 041;2 063 996;2 115 323;2 959 535;3 249 433;3 542 211;3 775 821;4 086 844;4 522 910;4 669 964;5 061 464;5 794 329;6 287 303;6 813 028;7 364 856;8 104 811;8 764 876;6 969 017;7 924 627
P.7;Termékek és szolgáltatások importja;2 287 681;2 949 305;4 147 234;5 691 306;6 794 246;9 399 947;10 188 973;10 492 243;11 532 525;13 485 960;14 754 037;18 314 576;19 995 968;21 566 799;18 770 250;20 986 960;22 932 011;23 130 400;23 958 362;26 660 756;27 900 140;28 240 906;31 148 398;34 494 689;37 768 255;37 179 964;44 786 617
P.71;Termékek importja;1 744 269;2 257 768;3 288 727;4 669 633;5 635 156;8 009 707;8 555 367;8 683 618;9 627 741;11 584 840;12 688 913;15 711 471;17 014 621;18 360 723;15 341 771;17 650 470;19 350 685;19 570 563;20 023 132;22 283 510;23 132 608;23 335 642;25 930 493;28 969 434;31 310 027;31 609 833;38 660 739
P.72;Szolgáltatások importja;543 412;691 537;858 507;1 021 673;1 159 090;1 390 240;1 633 606;1 808 625;1 904 784;1 901 120;2 065 124;2 603 105;2 981 347;3 206 076;3 428 479;3 336 490;3 581 326;3 559 837;3 935 230;4 377 246;4 767 532;4 905 264;5 217 905;5 525 255;6 458 228;5 570 131;6 125 878
B.11;Termékek és szolgáltatások külkereskedelmi egyenlege;452;-33 715;-84 999;163 903;318 690;491 767;198 709;356 725;753 845;912 332;628 750;352 390;-36 265;-9 957;-914 598;-1 305 458;-1 633 016;-1 771 733;-1 965 448;-1 919 842;-2 703 670;-3 043 369;-2 596 302;-1 843 987;-1 100 386;-933 764;-166 692
Elsõdleges jövedelmek és folyó transzferek;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.1;Munkavállalói jövedelmek;21 417;19 832;17 662;14 142;6 225;-2 826;-7 148;-200;7 856;-10 510;-5 919;-18 008;-984;-43 081;-126 996;-197 686;-283 083;-488 462;-680 149;-719 895;-854 939;-879 229;-812 388;-777 362;-864 987;-707 599;-561 382
D.11;Bérek és keresetek;16 898;15 630;14 284;11 510;5 763;-2 178;-5 262;2 389;10 429;-4 787;-922;-11 441;3 127;-34 193;-104 461;-163 398;-237 090;-413 020;-578 431;-614 319;-732 603;-752 461;-690 478;-655 715;-720 224;-579 854;-452 143
D.2– D.3;Termelési és importadók és -támogatások egyenlege;–;–;–;–;–;–;–;–;–;-61 346;-117 273;-180 707;-164 010;-178 739;-292 009;-276 076;-360 144;-370 872;-417 082;-406 907;-397 155;-376 452;-375 688;-381 943;-372 864;-418 133;-385 108
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
D.21;termékadók;–;–;–;–;–;–;–;–;–;19 186;37 477;36 444;36 772;39 028;34 280;34 079;37 886;37 009;36 188;43 738;53 117;55 412;61 405;78 264;80 506;80 791;98 915
D.29;egyéb termelési adók;–;–;–;–;–;–;–;–;–;0;0;0;15 659;16 552;7 017;0;0;0;0;0;0;0;0;0;0;0;0
D.31;terméktámogatások;–;–;–;–;–;–;–;–;–;845;30 654;51 779;45 352;28 135;29 751;34 444;38 755;39 195;46 539;38 485;48 140;75 573;66 243;81 424;76 629;76 961;81 007
D.39;egyéb termelési támogatások;–;–;–;–;–;–;–;–;–;79 687;124 096;165 372;171 089;206 184;303 555;275 711;359 275;368 686;406 731;412 160;402 132;356 291;370 850;378 783;376 741;421 963;403 016
D.4;Tulajdonból származó jövedelem összesen;223 536;302 000;512 348;642 009;748 448;776 731;900 862;991 472;1 062 858;1 361 640;1 540 301;1 704 671;2 116 455;2 014 645;1 573 395;1 767 409;2 025 217;2 086 980;1 980 085;2 607 397;2 925 753;2 232 204;2 777 100;2 858 672;2 495 505;2 273 521;2 679 772
D.41;Kamat, nettó;207 531;167 225;162 331;179 906;219 298;227 952;242 683;221 596;315 302;384 042;475 294;467 880;567 541;784 020;1 044 944;1 021 426;905 689;967 891;751 414;745 571;620 995;301 184;258 242;346 673;7 949;-232 197;-481 468
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott kamat;311 182;315 976;332 423;367 862;409 275;495 172;517 108;463 205;516 832;580 834;700 611;964 874;1 174 741;1 662 798;1 799 276;1 697 410;1 597 123;1 693 888;1 413 432;1 322 897;1 186 203;994 830;900 111;1 068 012;1 138 363;1 340 858;1 314 934
;fizetett kamat;103 651;148 751;170 092;187 956;189 977;267 220;274 425;241 609;201 530;196 792;225 317;496 994;607 200;878 778;754 332;675 984;691 434;725 997;662 018;577 326;565 208;693 646;641 869;721 339;1 130 414;1 573 055;1 796 402
D.42;Vállalatok felosztott jövedelme, nettó;42 721;56 131;104 008;208 453;258 610;268 816;274 307;321 517;312 255;461 015;559 047;848 498;1 022 580;1 102 272;1 525 427;1 341 087;1 143 210;1 042 593;1 022 450;567 673;1 411 334;768 705;653 347;925 289;1 364 366;605 922;887 666
;ebbõl:;;;;;;;;;;;;;;;;;;;;;;;;;;;
;kapott osztalék, részesedés;45 454;59 813;109 580;214 062;262 589;279 062;297 865;332 857;328 095;503 217;667 181;1 428 194;1 694 952;1 665 560;2 004 510;2 010 232;2 009 887;1 563 324;1 379 920;1 049 184;1 744 459;1 367 019;1 227 679;1 345 680;1 932 557;1 742 197;2 422 018
;fizetett osztalék, részesedés;2 733;3 682;5 572;5 609;3 979;10 246;23 558;11 340;15 840;42 202;108 134;579 696;672 372;563 288;479 083;669 145;866 677;520 731;357 470;481 511;333 125;598 314;574 332;420 391;568 191;1 136 275;1 534 352
