21.1.1.44. A bruttó állóeszköz-felhalmozás értéke [folyó áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
A;Mezõgazdaság, erdõgazdálkodás, halászat;69 801;81 877;93 893;117 106;151 127;157 671;207 767;212 610;248 470;179 108;168 887;161 973;200 231;227 443;278 094;225 564;240 760;260 722;275 349;337 828;291 919;266 102;313 191;386 098;514 972;454 556;525 670
B;Bányászat, kõfejtés;3 933;3 733;4 780;8 584;12 349;8 552;5 517;8 603;7 900;10 587;8 920;33 197;56 582;37 858;32 539;18 538;24 614;16 129;13 312;16 759;23 946;16 955;28 984;63 070;56 848;33 455;33 289
C;Feldolgozóipar;252 033;337 070;430 139;574 463;757 356;853 838;912 016;844 966;982 119;1 137 772;1 149 462;1 216 441;1 482 379;1 466 796;1 181 090;1 219 055;1 594 011;1 725 926;1 915 535;2 017 648;1 835 141;2 235 600;2 412 991;2 818 454;3 357 491;3 156 666;3 638 734
D ;Villamosenergia-, gáz-, gõzellátás, légkondicionálás;78 040;80 350;110 729;142 601;157 485;180 939;155 980;172 800;220 797;207 306;188 581;199 944;181 235;196 397;229 128;242 458;271 317;165 200;155 600;147 514;174 960;207 677;199 999;314 308;436 250;343 605;373 626
E;"Vízellátás; szennyvíz gyûjtése, kezelése, hulladékgazdálkodás, szennyezõdésmentesítés";20 139;26 494;32 447;37 380;42 297;43 778;48 263;50 829;52 608;59 712;68 017;71 192;70 838;95 210;83 742;100 856;95 915;109 536;139 802;153 644;212 309;74 868;70 990;87 863;142 780;131 333;148 401
F;Építõipar;29 570;33 714;44 054;57 382;57 141;67 401;106 058;89 999;99 250;172 478;240 924;180 590;124 679;159 414;116 016;109 126;93 933;74 069;113 729;141 162;133 708;120 180;238 967;245 375;315 869;372 449;476 565
G;Kereskedelem, gépjármûjavítás;71 106;123 526;120 684;166 667;225 583;254 506;272 444;307 113;348 141;393 212;408 671;436 029;437 449;502 088;414 320;375 976;376 498;367 670;417 986;415 034;404 153;474 336;481 871;558 627;770 285;674 299;864 327
H;Szállítás, raktározás;109 305;118 511;197 730;209 326;198 289;222 787;201 249;238 040;268 758;355 827;394 821;460 723;524 698;633 058;742 945;591 697;517 024;502 025;630 000;819 603;769 811;760 796;852 250;921 983;882 389;936 523;1 582 512
I;Szálláshely-szolgáltatás, vendéglátás;11 837;14 990;18 920;36 539;37 973;37 068;38 382;45 124;40 248;52 718;54 006;54 795;80 792;88 366;50 687;48 587;42 855;37 895;49 167;54 989;62 790;56 497;67 150;82 827;136 571;103 296;148 192
J;Információ, kommunikáció;128 779;147 442;191 936;221 494;261 058;344 157;338 287;322 645;284 921;291 722;335 315;361 169;326 842;357 915;444 477;317 276;286 936;319 246;339 660;361 532;497 127;377 196;394 242;404 652;481 322;495 495;577 871
K;Pénzügyi, biztosítási tevékenység;34 251;50 931;52 449;79 528;80 050;81 935;62 334;73 009;66 367;94 752;98 015;97 701;120 731;121 724;106 646;103 767;124 255;96 569;104 117;71 800;90 847;113 729;113 531;154 817;201 529;198 315;193 529
L;Ingatlanügyletek;251 775;366 684;436 433;424 654;417 279;510 477;658 978;890 624;1 020 252;1 154 565;1 089 207;1 000 536;1 187 546;1 367 960;1 220 212;1 005 859;751 907;681 395;705 979;819 698;925 637;991 572;1 302 000;1 682 059;1 942 021;2 524 058;2 702 303
M;Szakmai, tudományos, mûszaki tevékenység;40 562;41 775;53 388;72 073;76 215;86 537;118 520;123 213;122 465;123 896;139 482;156 476;157 307;162 972;163 564;165 347;190 121;171 112;203 559;210 679;272 539;184 631;301 066;377 647;517 999;434 188;513 654
N;Adminisztratív és szolgáltatást támogató tevékenység;25 896;21 963;24 153;47 603;49 671;64 605;85 761;85 510;101 153;89 644;158 489;110 073;132 945;112 717;103 622;96 286;109 795;108 176;166 921;181 857;151 518;178 757;265 839;294 184;369 732;257 521;354 602
O;"Közigazgatás, védelem; kötelezõ társadalombiztosítás";43 044;65 770;86 251;115 946;223 412;276 076;404 607;565 058;393 140;474 517;593 760;849 848;618 928;542 754;540 033;484 316;452 790;639 652;723 082;995 539;1 293 911;582 018;1 071 871;1 530 498;1 725 482;1 619 648;1 438 941
P;Oktatás;28 439;31 542;38 267;51 047;59 325;75 407;70 007;88 479;96 054;90 853;102 438;119 569;107 522;103 671;119 879;199 795;161 361;105 337;119 018;136 716;180 957;110 953;163 666;225 953;223 174;297 638;429 652
Q;Humán egészségügyi, szociális ellátás;34 524;33 279;43 007;60 470;46 570;62 332;63 351;102 797;75 203;80 492;79 554;90 470;84 202;91 532;67 708;98 181;106 663;68 053;92 703;139 608;225 640;66 019;92 915;130 661;233 500;306 015;260 268
R;Mûvészet, szórakoztatás, szabadidõ;30 664;38 409;62 919;83 600;46 129;47 821;53 139;57 197;65 586;72 277;77 021;88 959;166 402;45 992;54 556;69 211;75 092;60 725;91 159;139 576;125 291;166 066;278 373;347 366;406 831;377 713;459 040
S;Egyéb szolgáltatás;7 239;11 158;11 634;15 374;19 511;22 067;24 285;30 060;26 068;33 521;29 699;29 595;37 628;47 382;54 955;44 215;59 746;43 330;55 352;59 067;80 356;74 466;48 679;103 488;158 276;124 510;266 747
;Összesen ;1 270 937;1 629 218;2 053 813;2 521 837;2 918 820;3 397 954;3 826 945;4 308 676;4 519 500;5 074 959;5 385 269;5 719 280;6 098 936;6 361 249;6 004 213;5 516 110;5 575 593;5 552 767;6 312 030;7 220 253;7 752 560;7 058 418;8 698 575;10 729 930;12 873 321;12 841 283;14 987 923
