21.1.1.45. Az állóeszközök állományának összefoglaló adatai szektoros bontásban, év végén;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Szektorok ;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Folyó áron, milliárd forint;;;;;;;;;;;;;;;;;;;;;;;;;;;
S.1;Nemzetgazdaság összesen;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;47 514;60 485;74 084;84 667;99 442;111 185;121 922;128 675;136 923;144 912;152 752;166 484;178 826;191 556;200 370;206 319;213 589;219 788;227 826;235 258;244 181;253 294;274 911;304 561;337 304;368 102
;Nettó állományérték;26 589;33 823;41 530;47 406;55 852;62 442;68 500;72 222;76 934;81 570;86 016;93 774;100 692;107 826;112 232;114 583;117 646;119 406;123 514;127 048;131 473;135 658;146 887;162 925;181 012;197 772
S.11;Nem pénzügyi vállalatok;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték ;18 404;23 350;28 418;32 939;38 138;42 527;46 398;48 451;51 433;54 588;57 735;62 859;67 147;71 922;75 811;78 256;81 607;84 709;87 794;91 007;94 085;97 884;107 985;119 205;132 174;145 728
;Nettó állományérték ;10 553;13 259;16 045;18 473;21 487;24 162;26 523;27 774;29 597;31 524;33 468;36 557;39 206;42 310;44 535;45 651;47 325;48 745;50 320;52 146;53 715;55 866;61 597;68 201;76 056;83 700
S.12;Pénzügyi vállalatok;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;443;564;696;821;956;1 054;1 117;1 125;1 130;1 161;1 183;1 287;1 395;1 524;1 640;1 699;1 764;1 723;1 840;1 821;1 874;1 929;2 046;2 256;2 555;2 820
;Nettó állományérték;322;398;476;553;632;683;710;718;732;778;806;884;973;1 063;1 127;1 141;1 176;1 096;1 201;1 168;1 192;1 221;1 300;1 436;1 623;1 766
S.13;Kormányzat;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;12 453;15 757;19 328;21 980;26 149;29 047;31 541;33 243;35 374;37 217;39 093;42 811;46 098;49 195;51 070;52 552;54 148;54 907;57 613;59 657;62 732;64 890;69 796;77 935;86 814;94 733
;Nettó állományérték;7 588;9 720;12 094;13 879;16 661;18 390;19 856;20 867;22 049;23 055;24 104;26 391;28 304;29 968;30 844;31 450;32 128;31 930;33 765;34 902;36 817;37 678;40 283;44 996;50 163;54 686
S.14;Háztartások;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;15 238;19 572;24 122;27 227;32 207;36 320;40 415;43 285;46 257;49 076;51 735;56 276;60 679;65 147;67 945;69 820;71 957;74 256;76 222;78 277;80 815;83 725;89 830;99 287;109 196;117 673
;Nettó állományérték;7 428;9 572;11 862;13 347;15 747;17 744;19 835;21 238;22 856;24 451;25 817;28 000;30 141;32 292;33 479;34 085;34 722;35 351;35 857;36 402;37 229;38 285;40 897;45 128;49 618;53 744
S.15;Háztartásokat segítõ nonprofit intézmények;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;976;1 242;1 520;1 700;1 992;2 237;2 451;2 571;2 729;2 870;3 006;3 251;3 507;3 768;3 904;3 992;4 113;4 193;4 357;4 496;4 675;4 866;5 254;5 878;6 565;7 148
;Nettó állományérték;698;874;1 053;1 154;1 325;1 463;1 576;1 625;1 700;1 762;1 821;1 942;2 068;2 193;2 247;2 256;2 295;2 284;2 371;2 430;2 520;2 608;2 810;3 164;3 552;3 876
Elõzõ évi áron;;;;;;;;;;;;;;;;;;;;;;;;;;;
S.1;Nemzetgazdaság összesen;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;..;48 022;61 389;75 232;86 294;100 855;113 297;124 495;130 569;139 387;147 611;155 583;169 560;182 324;194 489;202 792;208 497;214 367;223 554;230 855;238 635;246 830;257 163;280 088;311 188;343 062
;Nettó állományérték;..;26 835;34 361;42 171;48 398;56 537;63 561;69 834;73 327;78 430;83 118;87 604;95 458;102 623;108 917;112 643;114 854;116 438;121 188;124 665;128 476;132 195;137 571;150 007;167 206;184 263
S.11;Nem pénzügyi vállalatok;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;..;18 770;23 830;29 069;33 732;39 113;43 515;47 405;49 575;52 837;56 189;59 261;64 697;69 436;73 632;77 039;79 621;82 638;86 151;89 485;92 398;95 915;100 374;111 018;123 327;135 458
;Nettó állományérték;..;10 630;13 405;16 359;18 907;22 110;24 773;27 109;28 478;30 480;32 555;34 420;37 730;40 802;43 238;44 939;46 187;47 518;49 370;51 256;52 732;54 719;57 448;63 578;71 054;77 763
S.12;Pénzügyi vállalatok;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;..;465;595;739;852;968;1 051;1 122;1 111;1 144;1 165;1 208;1 351;1 466;1 561;1 668;1 738;1 669;1 814;1 793;1 813;1 884;1 957;2 104;2 356;2 646
;Nettó állományérték;..;323;401;499;559;622;659;710;713;762;789;827;934;1 021;1 074;1 123;1 154;1 062;1 181;1 145;1 151;1 189;1 241;1 340;1 500;1 654
S.13;Kormányzat;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;..;12 436;15 938;19 609;22 515;26 180;29 199;32 013;33 563;35 743;37 740;39 858;43 416;46 474;49 581;51 501;52 902;53 643;56 573;58 567;61 103;63 046;65 640;71 192;79 589;88 466
;Nettó állományérték;..;7 670;9 969;12 385;14 344;16 563;18 376;20 087;20 913;22 123;23 257;24 557;26 637;28 294;29 940;30 840;31 387;31 192;33 146;34 245;35 860;36 595;37 876;41 096;45 982;51 069
S.14;Háztartások;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;..;15 376;19 782;24 296;27 498;32 591;37 286;41 494;43 738;46 918;49 630;52 237;56 828;61 418;65 916;68 672;70 223;72 336;74 742;76 606;78 764;81 265;84 264;90 409;99 912;109 816
;Nettó állományérték;..;7 526;9 726;11 898;13 459;15 932;18 310;20 372;21 615;23 379;24 766;25 994;28 229;30 450;32 480;33 530;33 887;34 444;35 165;35 635;36 278;37 165;38 369;41 104;45 420;50 159
S.15;Háztartásokat segítõ nonprofit intézmények;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bruttó állományérték;..;975;1 244;1 519;1 697;2 003;2 246;2 461;2 582;2 745;2 887;3 019;3 268;3 530;3 799;3 912;4 013;4 081;4 274;4 404;4 557;4 720;4 928;5 365;6 004;6 676
;Nettó állományérték;..;686;860;1 030;1 129;1 310;1 443;1 556;1 608;1 686;1 751;1 806;1 928;2 056;2 185;2 211;2 239;2 222;2 326;2 384;2 455;2 527;2 637;2 889;3 250;3 618
