21.1.1.47. A nettó állóeszköz-állomány értéke [folyó áron, milliárd Ft];;;;;;;;;;;;;;;;;;;;;;;;;;;
Kód;Nemzetgazdasági ág;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
A;Mezõgazdaság, erdõgazdálkodás, halászat;1 874;2 340;2 816;3 217;3 674;4 003;4 319;4 484;4 705;4 849;4 948;5 189;5 402;5 684;5 837;5 863;5 946;6 040;6 125;6 286;6 408;6 435;6 726;7 283;7 932;8 542
B;Bányászat, kõfejtés;162;197;232;258;290;311;326;322;323;326;325;347;366;377;405;392;405;405;397;378;367;366;380;422;462;491
C;Feldolgozóipar;2 681;3 463;4 329;5 153;6 224;7 213;8 151;8 616;9 344;10 108;10 789;11 828;12 727;13 603;14 247;14 576;15 346;16 163;16 934;17 704;18 419;19 474;20 983;23 387;26 274;29 319
D;Villamosenergia-, gáz-, gõzellátás, légkondicionálás;1 023;1 285;1 539;1 767;2 035;2 287;2 480;2 612;2 808;2 981;3 086;3 274;3 427;3 569;3 660;3 757;3 959;4 020;4 018;4 012;4 077;4 091;4 239;4 659;5 181;5 620
E;"Vízellátás; szennyvíz gyûjtése, kezelése, hulladékgazdálkodás, szennyezõdésmentesítés";560;712;872;980;1 162;1 300;1 415;1 475;1 555;1 635;1 711;1 861;2 030;2 162;2 217;2 279;2 348;2 379;2 551;2 644;2 800;2 832;4 708;5 059;5 447;5 730
F;Építõipar;347;458;567;638;770;859;955;1 006;1 081;1 214;1 380;1 575;1 670;1 782;1 829;1 840;1 858;1 840;1 879;1 918;1 953;1 981;2 165;2 393;2 692;3 030
G;Kereskedelem, gépjármûjavítás;789;980;1 175;1 366;1 616;1 888;2 148;2 348;2 615;2 883;3 151;3 539;3 870;4 296;4 521;4 643;4 742;4 843;4 995;5 099;5 202;5 410;5 728;6 316;7 040;7 702
H;Szállítás, raktározás;2 022;2 438;2 889;3 221;3 606;3 846;4 020;4 081;4 266;4 520;4 826;5 316;5 766;6 396;7 043;7 452;7 850;8 101;8 640;9 242;9 510;10 009;10 746;11 934;12 981;14 211
I;Szálláshely-szolgáltatás, vendéglátás;181;231;282;318;381;481;551;621;690;752;816;919;1 028;1 125;1 170;997;1 012;1 025;1 045;1 064;1 105;1 139;1 219;1 347;1 543;1 686
J;Információ, kommunikáció;1 269;1 589;1 911;2 185;2 489;2 870;3 116;3 207;3 281;3 388;3 487;3 733;3 965;4 281;4 557;4 598;4 610;4 627;4 726;4 745;4 849;4 918;5 089;5 411;5 855;6 199
K;Pénzügyi, biztosítási tevékenység;322;398;477;554;634;705;744;750;762;806;832;908;998;1 087;1 151;1 164;1 199;1 120;1 227;1 194;1 218;1 249;1 330;1 468;1 658;1 804
L;Ingatlanügyletek;7 177;9 272;11 482;12 920;15 259;17 096;19 061;20 398;21 963;23 488;24 899;27 147;29 349;31 609;32 844;33 688;34 353;34 982;35 454;36 042;36 953;38 108;40 917;45 491;50 397;54 965
M;Szakmai, tudományos, mûszaki tevékenység;386;480;594;680;786;861;964;1 053;1 150;1 214;1 280;1 395;1 509;1 619;1 664;1 755;1 839;1 820;1 901;2 011;2 204;2 303;2 479;2 717;3 137;3 424
N;Adminisztratív és szolgáltatást támogató tevékenység;197;236;271;301;351;402;461;502;559;615;726;811;879;936;976;971;981;986;1 048;1 132;1 176;1 265;1 444;1 690;1 929;2 073
O;"Közigazgatás, védelem; kötelezõ társadalombiztosítás";5 300;6 853;8 587;9 926;11 995;13 247;14 298;15 009;15 760;16 454;17 169;18 848;20 179;21 357;21 958;22 236;22 564;22 480;23 580;24 302;25 480;26 012;27 872;31 141;34 758;37 792
P;Oktatás;972;1 217;1 473;1 644;1 917;2 107;2 269;2 346;2 460;2 546;2 630;2 824;2 986;3 133;3 217;3 344;3 448;3 410;3 564;3 609;3 732;3 807;4 060;4 507;4 947;5 378
Q;Humán egészségügyi, szociális ellátás;483;608;743;839;982;1 089;1 182;1 244;1 345;1 417;1 480;1 577;1 653;1 740;1 785;1 821;1 890;1 874;1 986;2 082;2 257;2 291;2 407;2 651;2 988;3 365
R;Mûvészet, szórakoztatás, szabadidõ;229;295;362;416;496;563;621;666;714;758;809;889;977;1 047;1 084;1 128;1 183;1 174;1 282;1 397;1 518;1 662;1 974;2 386;2 824;3 250
S;Egyéb szolgáltatás;615;771;929;1 023;1 185;1 314;1 419;1 482;1 553;1 616;1 672;1 794;1 911;2 023;2 067;2 079;2 113;2 117;2 162;2 187;2 245;2 306;2 421;2 663;2 967;3 191
A–S;Összesen ;26 589;33 823;41 530;47 406;55 852;62 442;68 500;72 222;76 934;81 570;86 016;93 774;100 692;107 826;112 232;114 583;117 646;119 406;123 514;127 048;131 473;135 658;146 887;162 925;181 012;197 772
