21.1.2.1. Bruttó hazai termék (GDP) megye és régió szerint [piaci beszerzési áron, millió Ft];;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Budapest;fõváros, régió;4 552 591;5 217 217;6 106 626;6 546 448;7 333 400;8 040 359;8 857 769;9 353 027;10 146 674;10 296 540;10 407 941;10 785 238;11 038 249;11 277 499;12 135 873;12 506 821;13 033 374;14 303 267;15 745 845;17 678 086;17 713 819
Pest;megye, régió;1 147 170;1 436 016;1 666 916;1 876 295;2 102 228;2 323 825;2 472 118;2 853 414;2 874 222;2 783 745;2 973 668;3 006 682;2 961 376;3 175 107;3 406 213;3 649 634;3 728 389;3 979 657;4 447 526;4 981 964;5 128 614
Közép-Magyarország;nagyrégió;5 699 761;6 653 233;7 773 542;8 422 743;9 435 628;10 364 184;11 329 887;12 206 441;13 020 896;13 080 285;13 381 609;13 791 920;13 999 625;14 452 606;15 542 086;16 156 455;16 761 763;18 282 924;20 193 371;22 660 050;22 842 433
Fejér;megye;646 326;660 718;688 238;755 238;867 906;905 187;998 084;1 039 195;1 102 104;963 933;1 027 534;1 139 484;1 155 288;1 249 285;1 375 165;1 538 641;1 617 160;1 742 987;1 901 566;2 017 766;2 036 257
Komárom-Esztergom;megye;338 773;439 724;500 430;625 460;728 098;809 832;791 528;874 072;899 358;818 523;864 775;896 861;868 630;937 020;979 992;1 086 618;1 133 039;1 194 451;1 329 622;1 477 829;1 423 585
Veszprém;megye;421 237;483 194;512 417;555 498;599 570;616 473;650 344;698 791;726 337;666 522;717 674;723 545;728 335;772 558;846 619;912 189;965 578;1 018 311;1 131 285;1 270 079;1 269 436
Közép-Dunántúl;régió;1 406 336;1 583 636;1 701 085;1 936 196;2 195 574;2 331 492;2 439 956;2 612 058;2 727 799;2 448 978;2 609 983;2 759 890;2 752 253;2 958 863;3 201 776;3 537 448;3 715 777;3 955 749;4 362 473;4 765 674;4 729 278
Gyõr-Moson-Sopron;megye;764 223;806 038;898 062;1 012 046;1 065 653;1 114 863;1 275 439;1 349 510;1 432 244;1 326 003;1 497 827;1 588 800;1 522 660;1 663 023;1 894 927;2 103 274;2 250 758;2 334 386;2 543 820;2 600 809;2 646 255
Vas;megye;394 866;409 616;447 884;534 922;557 779;562 556;638 788;616 656;617 037;579 429;614 897;659 639;703 688;764 484;836 109;879 323;919 503;967 735;1 033 770;1 102 450;1 078 201
Zala;megye;340 199;402 097;446 177;527 989;566 924;566 940;576 543;605 490;653 153;623 325;682 437;659 436;703 161;660 813;732 625;802 016;775 205;841 662;901 940;970 405;940 537
Nyugat-Dunántúl;régió;1 499 288;1 617 751;1 792 123;2 074 957;2 190 356;2 244 359;2 490 770;2 571 656;2 702 434;2 528 757;2 795 161;2 907 875;2 929 509;3 088 320;3 463 661;3 784 613;3 945 466;4 143 783;4 479 530;4 673 664;4 664 993
Baranya;megye;391 795;450 041;515 865;565 001;609 701;628 034;671 116;709 573;741 296;710 665;719 194;717 565;732 478;750 092;797 992;844 485;880 839;964 768;1 086 923;1 185 308;1 206 593
Somogy;megye;307 507;356 010;391 989;438 838;468 443;482 839;502 602;518 794;547 442;538 071;558 433;579 948;588 124;628 745;637 451;689 982;713 522;795 548;881 255;922 458;960 123
Tolna;megye;270 465;300 841;340 206;334 458;360 204;371 194;389 089;427 934;469 268;468 435;472 327;494 001;523 302;561 668;570 353;601 655;623 047;651 976;746 596;799 323;797 334
Dél-Dunántúl;régió;969 767;1 106 892;1 248 060;1 338 297;1 438 348;1 482 067;1 562 807;1 656 301;1 758 006;1 717 171;1 749 954;1 791 514;1 843 904;1 940 505;2 005 796;2 136 122;2 217 408;2 412 292;2 714 774;2 907 089;2 964 050
Dunántúl;nagyrégió;3 875 391;4 308 279;4 741 268;5 349 450;5 824 278;6 057 918;6 493 533;6 840 015;7 188 239;6 694 906;7 155 098;7 459 279;7 525 666;7 987 688;8 671 233;9 458 183;9 878 651;10 511 824;11 556 777;12 346 427;12 358 321
Borsod-Abaúj-Zemplén;megye;620 045;720 871;798 523;877 887;995 856;1 106 855;1 147 657;1 180 991;1 186 671;1 097 160;1 134 039;1 180 283;1 214 641;1 302 000;1 448 420;1 676 696;1 698 166;1 939 649;2 106 859;2 149 876;2 203 518
