21.1.2.2. Egy fõre jutó bruttó hazai termék megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Egy fõre jutó bruttó hazai termék, ezer Ft;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;2 565;2 982;3 531;3 823;4 310;4 736;5 219;5 504;5 943;5 997;6 024;6 210;6 375;6 481;6 930;7 112;7 422;8 168;8 992;10 095;10 198
Pest;megye, régió;1 079;1 329;1 519;1 683;1 854;2 020;2 118;2 406;2 387;2 279;2 410;2 422;2 436;2 604;2 784;2 966;3 004;3 172;3 501;3 868;3 935
Közép-Magyarország;nagyrégió;2 008;2 351;2 750;2 979;3 328;3 639;3 956;4 231;4 472;4 451;4 519;4 631;4 750;4 883;5 225;5 406;5 593;6 082;6 683;7 456;7 513
Fejér;megye;1 513;1 542;1 606;1 763;2 025;2 112;2 329;2 424;2 572;2 253;2 408;2 676;2 741;2 972;3 285;3 680;3 875;4 185;4 558;4 825;4 864
Komárom-Esztergom;megye;1 069;1 387;1 582;1 981;2 306;2 570;2 514;2 776;2 859;2 611;2 772;2 886;2 865;3 107;3 268;3 640;3 807;4 016;4 457;4 924;4 739
Veszprém;megye;1 120;1 288;1 370;1 505;1 631;1 685;1 785;1 927;2 012;1 854;2 006;2 035;2 063;2 207;2 434;2 640;2 812;2 978;3 314;3 722;3 721
Közép-Dunántúl;régió;1 256;1 413;1 520;1 739;1 975;2 101;2 203;2 361;2 471;2 225;2 381;2 527;2 554;2 760;3 003;3 331;3 511;3 747;4 128;4 498;4 461
Gyõr-Moson-Sopron;megye;1 761;1 854;2 064;2 302;2 422;2 529;2 885;3 043;3 213;2 962;3 334;3 524;3 409;3 701;4 197;4 634;4 933;5 081;5 478;5 532;5 563
Vas;megye;1 465;1 523;1 671;2 004;2 099;2 124;2 421;2 349;2 360;2 227;2 378;2 566;2 751;2 999;3 288;3 464;3 629;3 822;4 079;4 343;4 248
Zala;megye;1 131;1 341;1 495;1 776;1 916;1 924;1 962;2 070;2 245;2 154;2 371;2 305;2 489;2 355;2 631;2 904;2 830;3 098;3 345;3 621;3 533
Nyugat-Dunántúl;régió;1 493;1 612;1 789;2 067;2 186;2 244;2 491;2 575;2 708;2 536;2 808;2 925;2 975;3 136;3 519;3 846;4 011;4 210;4 537;4 712;4 685
Baranya;megye;958;1 105;1 272;1 400;1 519;1 573;1 685;1 785;1 873;1 802;1 832;1 839;1 933;1 997;2 142;2 285;2 401;2 645;3 001;3 293;3 371
Somogy;megye;909;1 055;1 166;1 310;1 407;1 460;1 528;1 588;1 692;1 674;1 749;1 830;1 850;1 985;2 031;2 221;2 317;2 606;2 912;3 068;3 196
Tolna;megye;1 074;1 199;1 363;1 348;1 462;1 520;1 608;1 785;1 979;1 995;2 032;2 146;2 268;2 453;2 513;2 677;2 798;2 956;3 419;3 692;3 718
Dél-Dunántúl;régió;971;1 112;1 259;1 357;1 467;1 522;1 612;1 718;1 838;1 807;1 853;1 912;1 988;2 106;2 196;2 360;2 471;2 709;3 074;3 314;3 396
Dunántúl;nagyrégió;1 241;1 381;1 523;1 724;1 882;1 964;2 111;2 229;2 350;2 196;2 357;2 467;2 517;2 682;2 926;3 205;3 361;3 587;3 948;4 216;4 220
Borsod-Abaúj-Zemplén;megye;822;959;1 069;1 184;1 355;1 519;1 589;1 653;1 682;1 574;1 646;1 732;1 772;1 918;2 158;2 525;2 583;2 978;3 265;3 360;3 471
Heves;megye;922;1 117;1 258;1 366;1 459;1 535;1 653;1 807;1 889;1 790;1 886;1 930;1 917;2 166;2 323;2 544;2 707;2 931;3 293;3 670;3 714
Nógrád;megye;682;821;919;1 012;1 059;1 100;1 183;1 133;1 217;1 161;1 220;1 278;1 246;1 340;1 458;1 574;1 613;1 779;1 976;2 140;2 223
Észak-Magyarország;régió;823;976;1 091;1 201;1 331;1 451;1 536;1 604;1 656;1 560;1 636;1 706;1 720;1 885;2 083;2 370;2 452;2 764;3 056;3 236;3 324
Hajdú-Bihar;megye;998;1 212;1 339;1 516;1 653;1 724;1 804;1 835;1 953;1 938;2 056;2 152;2 185;2 199;2 396;2 531;2 549;2 877;3 206;3 480;3 537
Jász-Nagykun-Szolnok;megye;834;1 022;1 132;1 241;1 339;1 399;1 570;1 600;1 735;1 733;1 681;1 865;1 857;1 982;2 125;2 320;2 405;2 630;2 845;3 096;3 355
Szabolcs-Szatmár-Bereg;megye;765;921;1 009;1 104;1 183;1 251;1 307;1 345;1 415;1 393;1 488;1 584;1 624;1 707;1 875;1 984;2 071;2 231;2 530;2 827;2 852
Észak-Alföld;régió;866;1 051;1 159;1 287;1 392;1 459;1 554;1 588;1 693;1 679;1 745;1 864;1 888;1 957;2 128;2 269;2 329;2 567;2 856;3 133;3 230
Bács-Kiskun;megye;927;1 082;1 232;1 323;1 471;1 564;1 668;1 729;1 884;1 794;1 831;1 959;2 076;2 309;2 498;2 780;2 851;3 097;3 615;3 947;3 950
Békés;megye;871;1 013;1 116;1 197;1 322;1 349;1 428;1 523;1 602;1 497;1 586;1 695;1 705;1 822;1 953;2 158;2 243;2 396;2 682;2 814;2 930
Csongrád-Csanád;megye;1 071;1 235;1 379;1 485;1 631;1 722;1 837;1 866;2 022;1 985;2 028;2 093;2 206;2 284;2 537;2 675;2 738;2 980;3 264;3 605;3 754
Dél-Alföld;régió;955;1 110;1 244;1 337;1 478;1 552;1 653;1 714;1 849;1 773;1 827;1 929;2 013;2 166;2 360;2 575;2 648;2 868;3 249;3 531;3 613
Alföld és Észak;nagyrégió;882;1 047;1 166;1 277;1 401;1 487;1 581;1 634;1 733;1 674;1 739;1 838;1 878;2 003;2 190;2 398;2 469;2 723;3 042;3 293;3 382
Ország összesen;ország;1 305;1 512;1 716;1 889;2 089;2 240;2 418;2 561;2 715;2 647;2 750;2 863;2 924;3 069;3 326;3 553;3 690;4 013;4 439;4 864;4 922
Egy fõre jutó bruttó hazai termék az országos átlag százalékában;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;196,5;197,3;205,7;202,4;206,3;211,4;215,8;215,0;218,9;226,6;219,1;216,9;218,0;211,2;208,4;200,2;201,1;203,5;202,6;207,5;207,2
Pest;megye, régió;82,7;87,9;88,5;89,1;88,7;90,1;87,6;94,0;87,9;86,1;87,7;84,6;83,3;84,8;83,7;83,5;81,4;79,0;78,9;79,5;79,9
Közép-Magyarország;nagyrégió;153,9;155,5;160,2;157,7;159,3;162,4;163,6;165,2;164,7;168,2;164,3;161,7;162,4;159,1;157,1;152,1;151,6;151,6;150,6;153,3;152,6
Fejér;megye;116,0;102,0;93,6;93,3;96,9;94,3;96,3;94,7;94,7;85,1;87,6;93,5;93,7;96,8;98,8;103,6;105,0;104,3;102,7;99,2;98,8
Komárom-Esztergom;megye;82,0;91,8;92,2;104,9;110,4;114,7;103,9;108,4;105,3;98,7;100,8;100,8;98,0;101,2;98,3;102,4;103,2;100,1;100,4;101,2;96,3
Veszprém;megye;85,8;85,2;79,8;79,7;78,1;75,2;73,8;75,2;74,1;70,0;73,0;71,1;70,5;71,9;73,2;74,3;76,2;74,2;74,7;76,5;75,6
