21.1.3.2. Egy fõre jutó GDP, vásárlóerõ-paritás alapján [USD];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;30 875;31 849;32 717;33 527;35 147;36 811;39 055;41 469;42 746;41 301;42 466;44 469;46 478;47 937;48 814;49 955;52 660;54 394;56 637;58 680;55 125;59 692
Belgium;29 110;30 022;30 871;31 665;33 545;35 233;37 015;39 140;39 760;38 892;40 162;41 082;42 409;43 755;45 043;46 365;48 680;50 727;52 666;54 488;51 722;57 036
Bulgária;7 063;7 744;8 374;9 038;9 936;11 031;12 207;13 432;14 591;14 284;14 794;15 792;16 376;16 692;17 670;18 459;20 146;21 617;22 890;24 409;23 739;25 914
Ciprus;23 392;24 613;25 633;26 517;28 235;30 110;32 024;33 932;34 994;33 616;33 764;33 755;31 906;30 237;29 888;31 848;35 852;38 516;41 226;43 592;41 347;45 034
Csehország;16 895;17 881;18 501;19 558;21 045;23 129;25 395;27 452;28 482;27 114;28 010;29 027;29 270;30 813;32 542;33 933;36 137;39 031;41 120;42 963;40 791;43 837
Dánia;33 713;34 631;35 209;35 942;37 792;39 789;42 495;43 881;44 261;42 085;43 204;44 483;44 893;46 829;48 040;49 265;52 160;55 673;57 812;59 833;59 136;63 946
Észtország;12 389;13 514;14 747;16 283;17 965;20 410;23 231;25 784;24 997;21 519;22 360;24 557;25 996;27 465;28 928;29 184;31 310;33 903;36 022;38 029;37 277;42 050
Finnország;27 735;29 045;29 921;31 055;33 076;34 949;37 343;40 221;41 130;37 867;39 357;41 016;40 969;41 587;41 836;42 570;44 995;47 622;49 228;50 676;50 041;53 757
Franciaország;28 576;29 601;30 185;30 826;32 255;33 585;35 278;36 871;37 416;36 413;37 349;38 790;39 037;40 952;41 576;42 289;44 422;46 370;48 198;49 769;46 213;51 364
Görögország;19 663;20 820;21 868;23 532;25 330;26 210;28 456;30 096;30 501;29 287;27 954;25 629;24 818;25 896;26 541;26 676;27 489;28 518;29 761;30 888;28 457;32 218
Hollandia;33 528;34 811;35 170;35 727;37 263;39 104;41 633;44 307;46 004;44 383;45 274;46 703;47 342;49 314;49 338;50 419;52 441;55 509;57 840;59 675;57 665;62 841
Horvátország;12 735;13 670;14 670;15 783;16 871;18 129;19 607;21 131;21 945;20 501;20 536;21 013;21 395;22 080;22 327;23 305;25 211;27 129;28 842;30 552;28 535;32 943
Írország;32 072;34 000;35 941;37 142;39 948;42 525;44 733;47 029;45 061;42 742;43 812;45 036;46 308;47 761;50 992;68 872;71 252;77 782;85 759;90 405;96 021;112 463
Lengyelország;11 814;12 229;12 603;13 310;14 358;15 335;16 784;18 470;19 620;20 295;21 370;22 828;23 745;24 553;25 471;26 856;28 321;30 162;32 532;34 689;34 226;37 786
Lettország;8 933;9 830;10 840;12 097;13 586;15 698;18 296;20 837;20 708;18 110;17 858;19 110;21 181;22 514;23 724;24 872;26 591;28 571;30 669;32 233;31 594;34 707
Litvánia;9 699;10 652;11 642;13 233;14 644;16 539;18 608;21 487;22 704;19 676;20 670;22 885;24 704;26 722;28 184;28 842;30 922;33 827;36 363;38 809;39 214;42 944
Luxemburg;66 404;69 127;71 644;74 261;78 317;81 653;87 743;95 959;95 970;91 619;94 565;95 676;97 758;102 113;106 568;109 162;114 488;116 621;119 506;123 205;120 086;131 875
Magyarország;14 192;15 135;16 140;17 186;18 544;19 975;21 466;22 124;22 834;21 471;22 010;22 967;23 179;24 459;25 615;26 749;27 899;29 838;32 254;34 344;33 144;37 128
Málta;19 314;19 384;20 027;21 112;21 569;22 838;23 995;25 781;27 133;26 794;28 405;29 063;30 424;32 560;34 755;37 922;40 137;44 936;47 206;49 026;43 618;49 560
Németország;29 444;30 592;30 983;31 384;32 645;33 963;36 419;38 605;39 835;37 939;40 101;42 541;43 359;44 994;47 011;47 622;50 575;53 374;55 077;56 523;54 551;58 378
Olaszország;29 209;30 430;30 965;31 513;32 577;33 621;35 131;36 478;36 514;34 562;35 416;36 251;36 143;36 289;36 461;37 176;40 231;42 112;43 610;44 703;41 279;46 161
Portugália;20 651;21 376;21 757;21 897;22 832;23 689;24 772;26 028;26 573;25 884;26 638;26 769;26 438;27 936;28 742;29 669;31 604;33 086;34 898;36 466;33 754;36 844
Románia;8 287;8 927;9 853;10 362;11 808;12 830;14 372;15 923;18 164;17 437;17 079;17 851;18 834;19 746;20 612;21 547;24 197;27 220;29 282;31 244;30 571;33 715
Spanyolország;23 877;25 245;25 919;26 721;27 856;29 232;30 877;32 218;32 590;31 301;31 597;31 872;31 725;32 453;33 544;34 939;37 310;39 626;41 328;42 600;38 244;41 839
Svédország;29 393;30 401;31 441;32 675;34 868;36 841;39 463;41 605;41 877;39 953;42 499;44 450;45 259;46 099;46 937;48 858;50 062;52 413;54 124;55 656;54 396;58 962
Szlovákia;12 413;13 154;13 961;15 031;16 258;17 876;19 992;22 755;24 471;23 257;24 881;26 111;26 983;28 016;29 011;29 941;29 668;30 901;32 793;34 203;33 061;35 463
Szlovénia;18 012;18 988;19 920;20 904;22 385;23 950;26 033;28 503;30 070;27 675;28 181;28 969;29 066;29 990;30 883;31 647;33 947;36 680;39 199;40 919;39 378;44 067
EU27_2020;23 980;25 039;25 694;26 406;27 761;29 121;31 031;32 823;33 646;32 343;33 370;34 623;35 093;36 294;37 331;38 491;40 856;43 183;45 124;46 749;44 418;48 750
Egyesült Királyság;27 253;28 335;29 263;30 605;31 999;33 598;35 288;36 767;37 077;35 479;36 379;37 364;38 511;40 233;41 584;42 928;44 606;46 553;48 164;49 576;45 329;50 388
Észak-Macedónia;6 938;6 854;7 046;7 327;7 852;8 463;9 149;9 989;10 720;10 728;11 197;11 683;11 909;12 717;13 424;13 885;15 128;15 640;16 461;17 418;16 610;17 986
Norvégia;45 989;47 804;48 949;50 087;53 167;55 878;58 479;61 206;61 820;60 439;60 774;61 828;65 101;66 742;65 647;60 190;58 736;62 782;64 590;65 830;65 804;70 825
Oroszország;10 512;11 346;12 127;13 333;14 728;16 222;18 133;20 229;21 700;20 118;21 272;22 784;24 279;26 045;25 731;24 062;24 104;25 999;27 386;28 495;28 171;30 850
Svájc;41 397;42 822;43 155;43 624;45 660;48 102;51 337;54 500;56 387;54 796;56 612;58 268;60 270;62 653;64 508;66 395;68 458;69 847;73 063;74 756;73 231;78 530
Szerbia;6 309;6 785;7 384;7 883;8 847;10 082;10 967;12 037;13 017;12 794;13 095;13 742;13 929;14 624;14 657;14 932;15 856;16 621;17 881;19 041;19 190;21 637
Törökország;10 819;10 288;10 988;11 713;13 045;14 483;15 768;16 805;17 042;16 089;17 376;19 460;20 504;22 221;23 946;25 691;26 514;28 242;29 346;29 719;30 449;34 755
India;1 916;2 021;2 097;2 271;2 474;2 745;3 044;3 382;3 529;3 798;4 182;4 494;4 861;5 057;5 234;5 465;5 840;6 183;6 670;6 966;6 532;7 341
Izrael;20 796;20 789;20 654;20 920;22 143;23 372;25 035;26 807;27 761;27 596;28 978;30 647;31 860;34 339;34 381;35 482;37 864;39 206;40 944;42 429;41 271;45 750
Japán;27 409;28 068;28 458;29 411;30 836;32 373;33 831;35 258;35 512;33 742;35 535;36 215;37 629;39 437;39 604;40 959;40 641;41 409;42 730;43 485;42 154;44 739
Kína;2 886;3 174;3 495;3 897;4 381;5 003;5 783;6 750;7 501;8 222;9 160;10 181;11 137;11 905;12 496;12 926;13 432;14 152;15 410;16 564;17 115;19 260
Koreai Köztársaság;16 787;17 860;19 427;20 328;21 872;23 480;25 345;27 401;28 550;28 813;30 988;32 547;33 557;34 244;35 325;37 908;39 567;41 001;42 996;44 659;44 750;48 578
Dél-afrikai Köztársaság;8 502;8 767;9 107;9 469;10 058;10 795;11 610;12 398;12 854;12 548;12 885;13 362;13 191;13 591;13 595;13 697;13 738;13 839;14 171;14 236;13 289;14 396
Egyiptom;6 495;6 739;6 924;7 136;7 484;7 904;8 525;9 198;9 831;10 128;10 531;10 694;11 620;11 726;11 351;11 958;11 616;11 158;11 796;12 444;12 823;13 530
Brazília;9 104;9 307;9 616;9 797;10 514;11 062;11 724;12 638;13 397;13 328;14 361;15 110;15 120;15 669;15 800;14 816;14 326;14 597;15 089;15 424;14 890;16 161
Egyesült Államok;36 313;37 101;37 946;39 405;41 642;44 034;46 217;47 943;48 471;47 102;48 586;50 008;51 737;53 246;55 084;56 730;57 840;59 886;62 770;65 052;63 078;69 231
Kanada;29 915;30 811;31 888;32 794;34 390;36 261;37 981;39 428;40 159;38 788;40 018;41 716;42 351;44 360;45 812;44 703;46 554;48 688;50 532;51 653;48 947;52 985
Mexikó;12 836;12 899;12 916;13 180;13 878;14 450;15 350;15 890;16 134;15 147;15 879;16 567;17 213;17 429;18 120;18 382;19 422;19 934;20 644;20 767;19 117;20 676
Ausztrália;28 954;30 010;31 394;32 610;34 481;36 149;37 650;39 608;40 516;40 814;41 727;43 118;42 903;46 523;46 990;46 343;48 049;49 633;51 401;52 557;51 777;56 403
Új-Zéland;22 210;23 135;24 203;25 238;26 746;28 133;29 493;31 035;31 307;30 817;31 388;32 376;32 732;35 470;36 995;36 979;39 238;40 926;42 572;43 832;42 583;46 585
