21.1.3.4. A bruttó hazai termék (GDP) volumenének alakulása – ESA2010 [az elõzõ évhez képest, százalék];;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ausztria;3,4;1,3;1,7;0,9;2,7;2,2;3,5;3,7;1,5;-3,8;1,8;2,9;0,7;0,0;0,7;1,0;2,0;2,3;2,5;1,5;-6,7;4,8
Belgium;3,7;1,1;1,7;1,0;3,6;2,3;2,6;3,7;0,4;-2,0;2,9;1,7;0,7;0,5;1,6;2,0;1,3;1,6;1,8;2,1;-5,7;6,2
Bulgária;4,6;3,8;5,9;5,2;6,5;7,1;6,8;6,6;6,1;-3,3;1,5;2,1;0,8;-0,6;1,0;3,4;3,0;2,8;2,7;4,0;-4,4;4,2
Ciprus;6,0;4,0;3,7;2,6;5,0;4,9;4,7;5,1;3,6;-2,0;2,0;0,4;-3,4;-6,6;-1,8;3,4;6,5;5,9;5,7;5,3;-5,0;5,5
Csehország;4,0;3,0;1,6;3,6;4,8;6,6;6,8;5,6;2,7;-4,7;2,4;1,8;-0,8;0,0;2,3;5,4;2,5;5,2;3,2;3,0;-5,8;3,3
Dánia;3,7;0,8;0,5;0,4;2,7;2,3;3,9;0,9;-0,5;-4,9;1,9;1,3;0,2;0,9;1,6;2,3;3,2;2,8;2,0;2,1;-2,1;4,7
Észtország;10,1;6,0;6,8;7,6;6,8;9,5;9,8;7,6;-5,1;-14,6;2,4;7,3;3,2;1,5;3,0;1,9;3,2;5,8;4,1;4,1;-3,0;8,3
Finnország;5,8;2,6;1,7;2,0;4,0;2,8;4,0;5,3;0,8;-8,1;3,2;2,5;-1,4;-0,9;-0,4;0,5;2,8;3,2;1,1;1,2;-2,2;3,0
Franciaország;3,9;2,0;1,1;0,8;2,8;1,7;2,4;2,4;0,3;-2,9;1,9;2,2;0,3;0,6;1,0;1,1;1,1;2,3;1,9;1,8;-7,8;6,8
Görögország;3,9;4,1;3,9;5,8;5,1;0,6;5,7;3,3;-0,3;-4,3;-5,5;-10,1;-7,1;-2,5;0,5;-0,2;-0,5;1,1;1,7;1,8;-9,0;8,3
Hollandia;4,2;2,3;0,2;0,2;2,0;2,1;3,5;3,8;2,2;-3,7;1,3;1,6;-1,0;-0,1;1,4;2,0;2,2;2,9;2,4;2,0;-3,9;4,9
Horvátország;2,9;3,0;5,7;5,5;4,1;4,3;4,9;4,9;1,9;-7,3;-1,3;-0,1;-2,3;-0,4;-0,3;2,5;3,5;3,4;2,9;3,5;-8,1;10,2
Írország;9,4;5,3;5,9;3,0;6,8;5,7;5,0;5,3;-4,5;-5,1;1,8;1,1;-0,1;1,3;8,7;25,2;2,0;8,9;9,0;4,9;5,9;13,5
Lengyelország;4,6;1,3;2,0;3,5;5,0;3,5;6,1;7,1;4,2;2,8;3,7;4,8;1,3;1,1;3,4;4,2;3,1;4,8;5,4;4,7;-2,2;5,9
Lettország;5,7;6,3;7,1;8,4;8,3;10,7;12,0;9,9;-3,2;-14,2;-4,5;2,6;7,0;2,0;1,9;3,9;2,4;3,3;4,0;2,5;-3,8;4,5
Litvánia;3,7;6,5;6,8;10,6;6,6;7,7;7,4;11,1;2,6;-14,8;1,7;6,0;3,8;3,6;3,5;2,0;2,5;4,3;4,0;4,6;-0,1;5,0
Luxemburg;6,9;3,1;3,2;2,6;4,2;2,5;6,0;8,1;-0,3;-3,2;3,8;1,0;1,6;3,2;2,6;2,3;5,0;1,3;2,0;3,3;-1,8;6,9
Magyarország;4,5;4,1;4,7;4,1;5,0;4,3;3,9;0,3;1,0;-6,6;1,1;1,9;-1,3;1,8;4,2;3,7;2,2;4,3;5,4;4,6;-4,5;7,1
Málta;..;-1,2;2,6;4,1;0,1;3,4;2,5;4,8;3,8;-1,1;5,5;0,5;4,1;5,5;7,6;9,6;3,4;10,9;6,2;5,9;-8,3;10,4
Németország;2,9;1,7;-0,2;-0,7;1,2;0,7;3,8;3,0;1,0;-5,7;4,2;3,9;0,4;0,4;2,2;1,5;2,2;2,7;1,1;1,1;-4,6;2,9
Olaszország;3,8;2,0;0,3;0,1;1,4;0,8;1,8;1,5;-1,0;-5,3;1,7;0,7;-3,0;-1,8;0,0;0,8;1,3;1,7;0,9;0,5;-9,0;6,6
Portugália;3,8;1,9;0,8;-0,9;1,8;0,8;1,6;2,5;0,3;-3,1;1,7;-1,7;-4,1;-0,9;0,8;1,8;2,0;3,5;2,8;2,7;-8,4;4,9
Románia;2,5;5,2;5,7;2,3;10,4;4,7;8,0;7,2;9,3;-5,5;-3,9;1,9;2,0;3,8;3,6;3,0;4,7;7,3;4,5;4,2;-3,7;5,9
Spanyolország;5,2;3,9;2,7;3,0;3,1;3,7;4,1;3,6;0,9;-3,8;0,2;-0,8;-3,0;-1,4;1,4;3,8;3,0;3,0;2,3;2,1;-10,8;5,1
Svédország;4,8;1,4;2,2;2,3;4,3;2,9;4,7;3,4;-0,5;-4,3;6,0;3,2;-0,6;1,2;2,7;4,5;2,1;2,6;2,0;2,0;-2,2;5,1
Szlovákia;1,2;3,3;4,5;5,5;5,3;6,6;8,5;10,8;5,6;-5,5;6,3;2,6;1,4;0,7;2,7;5,2;1,9;3,0;3,8;2,6;-4,4;3,0
Szlovénia;3,7;3,2;3,5;3,0;4,4;3,8;5,7;7,0;3,5;-7,5;1,3;0,9;-2,6;-1,0;2,8;2,2;3,2;4,8;4,4;3,3;-4,2;8,1
EU27_2020;3,9;2,1;1,1;0,9;2,5;1,9;3,5;3,1;0,6;-4,3;2,2;1,8;-0,7;0,0;1,6;2,3;2,0;2,8;2,1;1,8;-5,9;5,4
Egyesült Királyság;3,7;2,1;2,1;3,0;2,4;2,6;2,6;2,3;-0,2;-4,2;2,1;1,5;1,5;1,9;3,0;2,6;2,3;2,1;1,7;1,7;-9,3;7,4
Észak-Macedónia;..;-3,1;1,5;2,2;4,7;4,7;5,1;6,5;5,5;-0,4;3,4;2,3;-0,5;2,9;3,6;3,9;2,8;1,1;2,9;3,9;-6,1;4,0
Norvégia;3,2;2,1;1,4;0,9;4,0;2,6;2,4;3,0;0,5;-1,7;0,7;1,0;2,7;1,0;2,0;2,0;1,1;2,3;1,1;0,7;-0,7;3,9
Oroszország;10,0;5,1;4,7;7,3;7,2;6,4;8,2;8,5;5,2;-7,8;4,5;5,1;4,0;1,8;0,7;-2,0;0,2;1,8;2,8;2,2;-2,7;4,7
Svájc;4,0;1,6;0,0;0,0;2,8;2,9;4,0;4,0;2,8;-2,1;3,3;1,9;1,2;1,8;2,4;1,7;2,0;1,6;2,9;1,2;-2,4;3,7
Szerbia;6,1;6,9;6,4;4,4;9,0;5,5;5,1;6,4;5,7;-2,7;0,7;2,0;-0,7;2,9;-1,6;1,8;3,3;2,1;4,5;4,3;-0,9;7,4
Törökország;6,9;-5,8;6,4;5,8;9,8;9,0;6,9;5,0;0,8;-4,8;8,4;11,2;4,8;8,5;4,9;6,1;3,3;7,5;3,0;0,9;1,8;11,0
India;4,0;4,9;3,9;7,9;7,8;9,3;9,3;9,8;3,9;8,5;10,3;6,6;5,5;6,4;7,4;8,0;8,3;6,8;6,5;3,7;-6,6;8,9
Izrael;8,9;0,1;-0,2;1,1;4,9;4,2;5,8;6,1;3,5;1,1;5,7;5,5;2,8;4,8;4,1;2,3;4,5;4,4;4,0;3,8;-2,2;8,2
Japán;2,8;0,4;0,0;1,5;2,2;1,8;1,4;1,5;-1,2;-5,7;4,1;0,0;1,4;2,0;0,3;1,6;0,8;1,7;0,6;-0,2;-4,5;1,6
Kína;8,5;8,3;9,1;10,0;10,1;11,4;12,7;14,2;9,6;9,4;10,6;9,6;7,8;7,8;7,4;7,0;6,9;6,9;6,8;6,0;2,2;8,1
Koreai Köztársaság;9,1;4,9;7,7;3,1;5,2;4,3;5,3;5,8;3,0;0,8;6,8;3,7;2,4;3,2;3,2;2,8;2,9;3,2;2,9;2,2;-0,9;4,0
Dél-afrikai Köztársaság;4,2;2,7;3,7;2,9;4,6;5,3;5,6;5,4;3,2;-1,5;3,0;3,3;2,2;2,5;1,8;1,2;0,4;1,4;0,8;0,2;-7,0;..
Egyiptom;5,4;3,5;3,2;3,2;4,1;4,5;6,8;7,1;7,2;4,7;5,1;1,8;2,2;3,3;2,9;4,4;4,3;4,1;5,3;5,6;3,6;3,3
Brazília;4,4;1,4;3,1;1,1;5,8;3,2;4,0;6,1;5,1;-0,1;7,5;4,0;1,9;3,0;0,5;-3,5;-3,3;1,3;1,8;1,2;-3,9;4,6
Egyesült Államok;4,1;1,0;1,7;2,8;3,9;3,5;2,8;2,0;0,1;-2,6;2,7;1,5;2,3;1,8;2,3;2,7;1,7;2,3;2,9;2,3;-3,4;5,7
Kanada;5,2;1,8;3,0;1,8;3,1;3,2;2,6;2,1;1,0;-2,9;3,1;3,1;1,8;2,3;2,9;0,7;1,0;3,0;2,4;1,9;-4,9;4,5
Mexikó;4,9;-0,4;0,0;1,4;3,9;2,3;4,5;2,3;1,1;-5,3;5,1;3,7;3,6;1,4;2,8;3,3;2,6;2,1;2,2;-0,2;-8,2;4,8
Ausztrália;2,0;4,0;3,1;4,2;3,2;2,7;3,8;3,6;1,9;2,2;2,5;3,9;2,6;2,6;2,2;2,7;2,3;2,9;2,1;0,0;1,5;4,7
