21.1.3.5. A háztartások végsõ fogyasztási kiadása – ESA2010;;;;;;;;;;;;;;;;;;;;;;;
Ország, országcsoport;2000 volumenváltozás (az elözõ évhez képest, százalék);2001 volumenváltozás (az elözõ évhez képest, százalék);2002 volumenváltozás (az elözõ évhez képest, százalék);2003 volumenváltozás (az elözõ évhez képest, százalék);2004 volumenváltozás (az elözõ évhez képest, százalék);2005 volumenváltozás (az elözõ évhez képest, százalék);2006 volumenváltozás (az elözõ évhez képest, százalék);2007 volumenváltozás (az elözõ évhez képest, százalék);2008 volumenváltozás (az elözõ évhez képest, százalék);2009 volumenváltozás (az elözõ évhez képest, százalék);2010 volumenváltozás (az elözõ évhez képest, százalék);2011 volumenváltozás (az elözõ évhez képest, százalék);2012 volumenváltozás (az elözõ évhez képest, százalék);2013 volumenváltozás (az elözõ évhez képest, százalék);2014 volumenváltozás (az elözõ évhez képest, százalék);2015 volumenváltozás (az elözõ évhez képest, százalék);2016 volumenváltozás (az elözõ évhez képest, százalék);2017 volumenváltozás (az elözõ évhez képest, százalék);2018 volumenváltozás (az elözõ évhez képest, százalék);2019 volumenváltozás (az elözõ évhez képest, százalék);2020 volumenváltozás (az elözõ évhez képest, százalék);2021 volumenváltozás (az elözõ évhez képest, százalék);2021 a GDP %-ában
Ausztria;3,1;1,3;0,7;1,7;2,3;2,2;2,1;1,1;0,9;0,9;1,0;1,3;0,5;-0,1;0,3;0,5;1,5;2,0;1,1;0,7;-8,5;3,5;50,0
Belgium;2,8;0,9;0,6;0,7;1,1;1,4;1,8;2,1;1,4;0,6;3,0;0,9;1,5;1,7;0,6;1,6;1,6;1,9;1,9;1,8;-8,2;6,4;48,8
Bulgária;9,0;7,7;5,7;6,5;9,5;7,3;8,5;11,4;3,5;-4,2;2,4;2,0;3,7;-3,9;1,4;2,8;2,2;2,5;3,7;6,0;-0,4;8,0;59,4
Ciprus;8,0;5,5;3,1;4,4;7,2;3,9;3,9;9,7;8,2;-6,5;4,6;-0,9;-2,8;-7,0;-0,1;3,1;5,1;4,8;5,1;3,0;-5,0;3,7;62,0
Csehország;1,5;3,0;3,1;5,1;2,9;3,6;3,8;4,1;3,0;-0,5;1,4;0,4;-1,1;0,9;1,4;3,9;3,8;4,0;3,5;2,7;-6,8;4,4;45,7
Dánia;0,4;0,2;1,4;1,3;4,6;3,7;2,9;1,8;0,5;-3,4;0,8;0,3;0,5;0,3;0,9;2,3;2,4;2,3;3,5;1,2;-1,3;4,2;45,6
Észtország;7,0;6,9;9,7;9,7;8,1;9,7;12,9;8,4;-4,5;-13,9;-1,3;3,1;4,4;3,7;3,6;4,9;4,5;2,5;4,3;4,1;-2,5;6,4;48,4
Finnország;2,1;2,7;2,5;4,1;3,8;3,2;3,9;3,5;2,0;-2,9;3,0;2,9;0,4;-0,5;0,6;1,6;2,4;0,8;1,7;0,7;-4,1;3,6;51,0
Franciaország;3,7;2,5;2,1;1,5;2,0;2,4;2,1;2,6;0,5;0,3;1,9;0,6;-0,4;0,5;0,8;1,5;1,8;1,5;1,0;1,8;-6,7;5,3;52,7
Görögország;2,5;3,6;5,1;4,5;3,6;3,2;2,8;4,1;3,6;-1,7;-6,5;-8,7;-7,6;-3,4;-0,1;-0,3;-0,6;2,5;1,7;1,8;-7,9;7,8;68,8
Hollandia;3,7;2,0;1,2;-0,1;0,8;0,9;-0,2;1,9;0,9;-1,9;0,1;0,1;-1,1;-1,0;0,4;2,0;1,1;2,1;2,2;0,9;-6,4;3,6;42,0
Horvátország;4,5;5,2;9,5;4,6;4,6;4,6;1,3;5,0;3,0;-8,8;-1,5;1,1;-2,4;-1,6;-2,5;0,4;3,1;3,1;3,3;4,1;-5,3;10,0;58,4
Írország;10,4;4,7;3,6;2,8;3,8;7,0;6,4;6,7;0,2;-5,3;0,3;-1,2;-0,7;0,4;2,7;3,1;5,1;2,0;3,7;3,2;-11,1;5,7;24,3
