21.2.1.3. A bruttó hazai termék (GDP) termelése folyó áron nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1995.;I.;80 445;277 874;232 308;40 064;695 900;112 416;90 376;22 040;76 371;38 147;58 352;79 893;63 431;216 298;100 714;64 215;51 370;50 992;163 527;1 257 810
;II.;106 099;300 100;261 886;59 727;726 772;127 305;99 473;27 832;79 034;41 079;58 359;83 942;67 324;219 468;102 049;65 141;52 278;50 261;242 152;1 434 850
;III.;127 333;311 032;258 280;68 581;724 499;122 222;92 566;29 656;69 357;41 174;58 361;86 891;70 630;227 575;105 991;67 517;54 067;48 290;232 032;1 463 478
;IV.;105 067;370 700;309 122;78 058;870 470;166 444;134 580;31 864;88 703;47 997;58 385;100 653;87 989;265 670;118 089;80 270;67 312;54 628;256 050;1 680 346
1996.;I.;99 223;345 986;279 842;43 229;873 025;149 411;121 843;27 568;87 446;56 156;77 728;107 993;89 517;248 807;114 218;71 169;63 420;55 966;246 643;1 608 107
;II.;132 109;377 069;318 283;66 962;940 546;174 546;138 927;35 619;93 100;59 628;73 940;115 121;97 051;270 049;123 990;77 559;68 501;57 110;232 455;1 749 141
;III.;158 285;370 308;310 274;75 656;889 940;158 346;122 381;35 965;79 256;57 961;74 270;114 059;96 264;256 366;120 752;72 798;62 816;53 418;279 424;1 773 613
;IV.;127 639;437 904;378 531;92 814;1 045 543;195 640;159 795;35 845;94 701;66 419;77 143;125 486;112 778;314 902;144 322;91 082;79 498;58 474;287 545;1 991 445
1997.;I.;107 151;471 048;375 366;54 214;1 084 342;197 680;162 299;35 382;115 183;80 120;78 965;139 732;110 929;301 326;143 958;85 973;71 395;60 407;259 549;1 976 304
;II.;142 136;506 037;422 774;84 444;1 134 238;223 164;178 910;44 254;121 086;80 501;75 426;146 974;116 981;308 599;145 954;88 341;74 304;61 508;306 542;2 173 397
;III.;176 037;526 706;434 195;103 722;1 118 260;213 373;166 707;46 667;105 754;79 806;75 695;150 729;124 290;307 993;145 291;88 030;74 671;60 620;296 745;2 221 471
