21.2.1.5. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron nemzetgazdasági áganként, negyedévente – ESA2010 [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1995.;I.;193 842;1 052 360;786 132;165 283;2 952 170;477 274;380 408;99 592;312 649;83 460;481 811;432 274;299 509;864 793;412 797;268 221;191 708;175 859;941 528;5 180 310
;II.;267 820;1 050 333;800 609;216 198;3 136 032;584 800;455 625;133 196;348 620;91 970;463 866;433 556;312 094;875 062;416 989;273 934;192 611;189 443;949 796;5 519 363
;III.;336 426;1 059 128;814 079;247 008;3 079 248;568 274;430 328;142 645;325 114;97 278;470 920;452 230;285 135;850 257;408 083;264 729;185 874;196 279;982 571;5 644 068
;IV.;245 579;1 119 116;824 640;245 363;3 278 341;608 498;488 142;123 697;350 596;103 181;378 672;450 644;278 982;1 018 153;480 965;327 211;220 784;200 279;1 040 022;5 801 957
1996.;I.;207 387;1 065 159;782 064;135 061;2 979 526;470 128;376 690;95 995;306 439;99 977;424 034;442 594;349 231;859 519;403 947;266 273;196 335;164 400;892 444;5 165 473
;II.;273 142;1 108 385;856 496;188 996;3 138 717;582 464;456 447;129 849;325 307;105 118;399 410;451 696;349 553;884 623;414 939;276 613;200 752;166 669;871 793;5 498 036
;III.;331 671;1 101 764;846 495;230 752;3 089 826;570 554;434 855;140 235;301 752;111 962;408 795;463 915;323 623;855 291;404 150;266 020;192 753;180 943;919 558;5 622 257
;IV.;279 445;1 173 255;887 161;257 234;3 306 118;610 955;492 674;121 470;325 331;125 982;325 297;466 366;308 262;1 031 305;479 560;331 074;230 599;182 025;954 584;5 878 182
1997.;I.;187 392;1 141 624;852 640;135 119;2 946 527;473 585;380 437;95 307;322 805;115 847;308 884;445 849;352 782;846 806;399 936;266 670;187 993;161 780;916 443;5 211 831
;II.;275 126;1 236 137;964 291;193 134;3 144 766;603 100;474 991;131 938;355 002;125 098;292 883;465 000;362 877;852 652;401 990;270 998;188 048;161 764;911 659;5 682 713
;III.;338 784;1 263 356;986 893;242 607;3 111 173;604 466;464 642;144 943;333 290;131 794;298 728;469 835;333 256;839 393;398 747;265 241;183 758;169 957;947 914;5 861 306
;IV.;244 829;1 345 807;1 040 263;296 350;3 319 774;652 118;528 463;126 184;356 950;144 043;239 522;472 916;324 553;1 007 630;471 469;328 594;218 841;163 782;997 216;6 104 739
