21.2.1.6. A bruttó hazai termék (GDP) termelésének negyedéves volumenindexei nemzetgazdasági áganként [elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1996.;I.;107,0;101,2;99,5;81,7;100,9;98,5;99,0;96,4;98,0;119,8;88,0;102,4;116,6;99,4;97,9;99,3;102,4;93,5;x;99,7
;II.;102,0;105,5;107,0;87,4;100,1;99,6;100,2;97,5;93,3;114,3;86,1;104,2;112,0;101,1;99,5;101,0;104,2;88,0;x;99,6
;III.;98,6;104,0;104,0;93,4;100,3;100,4;101,1;98,3;92,8;115,1;86,8;102,6;113,5;100,6;99,0;100,5;103,7;92,2;x;99,6
;IV.;113,8;104,8;107,6;104,8;100,8;100,4;100,9;98,2;92,8;122,1;85,9;103,5;110,5;101,3;99,7;101,2;104,4;90,9;x;101,3
1997.;I.;90,4;107,2;109,0;100,0;98,9;100,7;101,0;99,3;105,3;115,9;72,8;100,7;101,0;98,5;99,0;100,1;95,8;98,4;x;100,9
;II.;100,7;111,5;112,6;102,2;100,2;103,5;104,1;101,6;109,1;119,0;73,3;102,9;103,8;96,4;96,9;98,0;93,7;97,1;x;103,4
;III.;102,1;114,7;116,6;105,1;100,7;105,9;106,8;103,4;110,5;117,7;73,1;101,3;103,0;98,1;98,7;99,7;95,3;93,9;x;104,3
;IV.;87,6;114,7;117,3;115,2;100,4;106,7;107,3;103,9;109,7;114,3;73,6;101,4;105,3;97,7;98,3;99,3;94,9;90,0;x;103,9
1998.;I.;96,9;111,3;114,1;116,3;99,8;98,3;98,3;98,1;95,3;112,9;99,8;95,7;103,4;100,1;99,5;101,1;100,2;96,3;x;103,4
;II.;100,6;109,1;111,1;118,5;100,7;101,0;101,1;100,4;97,3;112,8;100,7;94,0;100,3;102,4;101,8;103,3;102,4;98,1;x;103,9
;III.;108,4;106,5;108,0;110,2;102,5;106,9;107,4;105,4;102,7;112,7;98,6;94,0;103,5;102,1;101,4;103,0;102,1;96,6;x;104,4
;IV.;109,6;105,2;106,3;102,3;102,6;105,0;105,3;103,7;101,9;116,5;99,7;94,4;104,2;102,4;101,8;103,4;102,4;97,3;x;103,7
1999.;I.;104,3;101,5;101,6;106,0;101,4;102,4;102,2;102,6;105,1;108,3;81,3;102,8;100,0;103,2;103,2;102,7;104,0;101,3;x;102,1
;II.;91,9;102,6;102,4;106,1;102,6;104,5;104,5;105,1;105,7;108,8;81,6;103,4;101,9;103,0;103,1;102,4;103,8;104,9;x;102,2
;III.;105,6;104,2;106,9;105,9;101,9;101,6;101,7;102,7;105,2;110,4;80,9;103,4;104,7;101,2;101,2;100,5;101,9;105,4;x;103,1
;IV.;108,9;110,7;112,9;105,3;101,3;98,6;98,1;99,5;103,8;110,4;82,2;104,6;108,8;99,0;99,2;98,3;99,7;104,8;x;104,7
2000.;I.;97,2;105,2;109,0;110,8;105,4;112,9;116,0;98,8;102,9;113,0;104,3;102,4;103,1;102,7;98,9;104,7;108,2;101,2;x;105,4
;II.;97,2;103,6;105,0;110,3;105,3;106,2;109,1;93,5;106,9;109,8;107,4;102,3;104,9;104,9;101,0;107,1;110,7;100,7;x;104,8
;III.;86,2;105,9;105,0;110,7;105,5;107,4;110,5;94,5;102,8;109,9;107,4;101,0;109,3;105,5;101,5;107,7;111,2;100,8;x;103,9
;IV.;83,5;100,7;100,3;110,2;106,4;109,8;112,7;96,3;96,8;98,5;111,9;98,8;113,2;110,4;106,2;112,8;116,5;105,2;x;103,9
2001.;I.;104,9;109,4;111,9;105,5;103,3;100,5;100,3;101,7;110,5;106,8;100,9;96,3;113,0;101,1;100,3;102,6;101,0;106,5;x;104,5
;II.;114,3;106,0;108,4;108,4;103,1;99,3;99,2;99,6;100,3;109,0;100,0;98,8;112,7;102,3;101,5;104,4;101,3;112,2;x;104,5
;III.;115,9;99,9;100,6;109,9;103,8;99,5;100,2;95,6;106,5;104,4;100,2;96,7;112,1;105,3;104,5;107,6;104,2;112,4;x;104,1
;IV.;113,9;98,4;98,6;105,4;104,4;100,2;101,4;94,7;112,9;107,9;100,8;101,7;109,5;102,5;101,5;104,2;102,7;111,3;x;103,3
2002.;I.;98,6;101,5;102,6;122,1;105,3;112,2;114,8;98,5;100,6;118,3;109,2;100,0;106,5;100,4;99,1;100,9;102,5;106,4;x;104,5
;II.;83,4;104,8;105,8;118,5;105,8;109,7;113,2;93,4;103,4;115,3;108,3;98,0;109,4;102,4;101,0;101,7;106,2;106,3;x;104,6
;III.;78,3;109,0;111,1;111,6;105,7;110,0;113,3;95,3;104,4;111,4;106,4;100,1;108,6;102,4;100,9;102,5;105,4;104,8;x;104,8
;IV.;83,0;108,7;109,5;106,6;105,2;107,1;108,8;96,0;100,3;115,5;104,3;93,8;109,8;105,2;103,9;105,8;107,1;109,9;x;105,0
2003.;I.;96,6;102,3;103,6;81,5;105,8;103,1;106,3;87,3;95,9;108,3;105,3;101,0;105,0;114,4;113,3;113,2;118,2;96,6;x;103,4
;II.;103,2;103,6;105,8;102,4;104,8;105,5;108,6;89,7;95,8;110,4;106,7;106,4;103,2;106,6;105,3;104,6;111,6;97,4;x;104,1
;III.;105,5;107,0;108,9;100,5;103,8;104,4;107,0;91,4;97,0;110,7;106,0;104,3;104,2;104,6;103,6;102,1;109,7;94,8;x;104,4
;IV.;102,8;109,3;114,8;107,4;102,9;105,8;107,3;99,6;102,7;112,9;107,9;112,8;105,4;94,4;94,2;90,4;99,7;93,8;x;104,3
2004.;I.;125,0;105,8;107,0;109,1;102,3;102,7;102,2;106,6;104,9;101,2;103,3;101,5;99,9;102,1;101,8;100,3;104,8;101,4;x;104,6
;II.;151,3;108,5;108,8;98,2;101,6;102,8;103,2;101,1;110,0;104,1;104,7;98,3;99,0;100,5;100,1;99,5;102,6;97,9;x;105,4
;III.;160,6;103,0;103,0;99,1;102,0;104,0;103,5;104,8;103,8;101,1;107,8;100,2;98,8;102,2;101,7;101,3;104,4;98,4;x;105,2
;IV.;154,2;106,2;105,6;102,6;101,4;106,9;107,5;104,4;104,4;104,2;107,4;99,6;99,7;97,8;97,4;96,0;100,7;96,9;x;104,9
2005.;I.;109,9;101,0;101,9;104,2;103,8;109,0;110,7;100,2;105,1;106,6;104,8;103,2;104,5;99,5;96,9;98,4;105,6;105,4;x;103,3
;II.;92,1;104,2;105,7;109,4;105,4;107,7;108,1;105,5;106,5;102,5;102,0;105,0;106,8;105,5;103,8;103,6;111,1;100,8;x;104,8
;III.;86,2;104,0;105,9;116,0;105,6;105,5;107,2;98,5;104,0;108,6;102,6;107,0;106,0;104,4;102,0;103,0;110,6;109,3;x;104,3
;IV.;97,8;103,8;107,2;111,3;104,5;108,7;110,6;98,5;105,1;110,1;104,3;108,4;105,0;98,5;96,0;98,0;103,6;100,5;x;104,6
2006.;I.;90,7;108,9;109,1;104,5;104,1;108,4;109,3;103,7;102,5;104,1;100,7;104,2;106,3;102,5;103,2;101,3;102,7;96,2;x;104,9
;II.;95,2;105,6;105,6;91,1;104,1;109,1;109,9;104,6;100,7;108,4;100,9;105,1;106,5;100,1;100,0;99,1;101,5;104,2;x;103,6
;III.;99,1;106,5;107,7;95,5;103,8;107,9;109,2;101,6;109,2;105,7;102,1;108,8;106,1;97,4;97,5;96,6;98,4;95,7;x;103,8
;IV.;87,5;104,0;105,1;96,6;105,5;107,4;108,5;101,2;106,5;103,4;103,3;109,0;105,8;104,0;102,9;101,9;108,4;104,3;x;103,6
2007.;I.;88,7;106,5;107,8;100,6;100,5;98,3;96,0;111,9;102,1;104,9;95,7;100,9;99,0;101,5;104,0;103,1;94,5;100,9;x;101,6
;II.;78,7;105,5;105,9;97,2;99,4;99,0;97,9;104,7;103,9;104,6;99,1;98,0;97,2;98,3;99,9;99,5;93,9;100,9;x;100,1
