21.2.1.7. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron, szezonálisan kiigazítva, nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1995.;I.;269 218;1 060 279;812 349;244 794;3 121 073;564 079;335 299;88 186;467 865;439 315;277 768;899 525;193 730;961 034;5 555 143
;II.;268 041;1 061 150;797 960;226 878;3 119 030;561 589;338 209;92 386;456 127;439 431;290 314;897 979;193 906;975 130;5 545 245
;III.;265 609;1 080 165;816 152;221 401;3 103 905;559 650;334 216;96 087;440 817;444 253;299 227;900 131;188 450;983 703;5 545 377
;IV.;255 017;1 092 040;813 222;202 913;3 104 046;559 390;332 353;99 272;429 488;445 886;310 007;899 298;186 027;998 386;5 522 068
1996.;I.;289 326;1 095 024;823 150;205 193;3 152 952;559 450;328 423;104 166;407 111;451 957;325 115;901 907;179 035;893 214;5 555 128
;II.;273 437;1 112 237;843 479;200 514;3 121 752;558 238;316 125;107 474;393 948;454 021;327 443;907 567;174 301;900 502;5 521 200
;III.;260 486;1 112 940;843 725;204 145;3 110 787;557 826;309 549;112 196;385 337;456 782;335 534;901 695;174 325;915 330;5 512 890
;IV.;288 959;1 139 260;872 151;205 621;3 128 049;560 432;308 920;118 124;375 553;460 500;337 197;901 659;172 227;919 981;5 580 569
1997.;I.;264 361;1 187 636;906 407;205 647;3 125 775;574 215;347 304;122 254;289 737;458 402;335 938;891 031;170 297;931 112;5 633 735
;II.;276 217;1 222 027;940 113;209 868;3 128 211;578 689;344 879;127 219;285 955;464 957;343 738;882 261;166 932;938 954;5 691 008
;III.;262 754;1 273 961;980 332;218 008;3 125 497;579 507;338 765;131 456;284 926;464 555;343 281;884 991;164 763;946 947;5 741 095
;IV.;252 270;1 303 061;1 012 403;234 341;3 138 388;587 012;339 692;134 744;283 086;466 266;347 008;884 384;161 311;961 180;5 789 805
1998.;I.;259 131;1 321 972;1 028 878;235 326;3 129 890;584 262;333 625;140 002;283 496;436 809;351 227;889 683;161 344;970 352;5 840 238
;II.;280 439;1 349 332;1 057 382;242 605;3 149 612;590 965;336 200;144 132;283 938;436 552;349 803;897 370;160 187;980 981;5 927 156
;III.;280 539;1 349 087;1 052 964;242 624;3 196 768;606 199;344 515;147 878;284 146;439 305;353 061;904 010;159 653;988 485;5 980 342
;IV.;274 696;1 344 722;1 061 472;245 863;3 218 232;611 690;347 501;152 318;285 306;440 943;353 497;912 806;160 436;992 666;5 984 355
1999.;I.;271 909;1 369 219;1 070 163;250 739;3 179 612;604 731;352 084;154 324;228 578;447 656;357 914;913 053;163 723;1 006 026;5 988 996
;II.;261 165;1 381 147;1 090 274;252 704;3 229 567;617 488;354 692;158 806;229 508;450 955;362 210;914 760;165 841;1 014 352;6 051 319
;III.;294 050;1 403 318;1 118 876;258 597;3 253 370;614 930;359 693;163 187;232 344;454 681;366 134;918 571;167 245;1 029 917;6 163 029
;IV.;297 539;1 441 817;1 149 272;260 938;3 261 639;608 903;363 089;168 133;234 714;459 832;372 939;914 614;167 007;1 040 987;6 234 211
2000.;I.;263 715;1 420 715;1 142 909;277 751;3 354 412;669 329;362 984;171 285;238 605;461 205;376 251;944 570;167 287;1 052 526;6 287 509
;II.;255 262;1 454 469;1 166 130;275 725;3 398 589;663 609;379 426;174 460;245 722;458 503;386 527;955 815;167 424;1 066 107;6 355 924
;III.;253 734;1 494 617;1 198 348;284 695;3 430 053;664 742;367 038;179 583;251 167;459 779;399 638;961 678;169 928;1 071 036;6 412 262
;IV.;249 336;1 523 856;1 217 625;287 306;3 469 190;667 012;351 736;171 756;259 638;451 574;414 619;984 727;174 735;1 085 427;6 532 690
2001.;I.;275 684;1 537 596;1 247 793;299 867;3 466 096;662 344;400 538;177 956;240 729;449 423;427 640;980 983;180 044;1 090 486;6 579 628
;II.;291 423;1 529 228;1 231 729;297 108;3 504 871;663 959;384 288;184 789;246 704;453 286;435 491;987 173;185 639;1 102 700;6 633 461
;III.;294 289;1 512 793;1 241 523;306 318;3 559 320;666 344;389 862;190 139;253 510;447 278;446 360;997 492;190 256;1 109 182;6 693 304
;IV.;284 094;1 507 466;1 222 102;301 573;3 620 995;673 676;395 439;194 251;260 255;451 071;452 766;1 005 678;190 905;1 122 104;6 742 050
2002.;I.;271 277;1 580 675;1 301 972;377 282;3 648 482;730 087;402 819;204 437;262 758;450 916;463 243;991 198;197 423;1 133 041;6 893 734
;II.;243 272;1 593 600;1 286 866;347 021;3 706 651;727 256;399 508;209 579;266 124;445 096;475 954;1 012 198;198 324;1 144 184;6 931 000
;III.;231 164;1 612 165;1 336 543;336 543;3 760 274;733 510;405 669;214 478;270 003;451 846;481 538;1 017 091;199 344;1 160 164;6 994 979
;IV.;235 670;1 629 378;1 322 894;327 724;3 814 902;733 320;394 338;220 596;271 585;420 471;487 980;1 086 716;202 770;1 170 823;7 079 859
2003.;I.;263 446;1 630 501;1 368 418;316 762;3 856 501;750 398;388 440;227 188;279 010;459 255;494 237;1 088 603;192 854;1 176 431;7 132 842
;II.;250 346;1 657 880;1 387 731;348 056;3 881 870;761 189;382 778;231 755;283 034;471 076;497 091;1 077 606;194 789;1 180 413;7 206 498
;III.;242 521;1 716 298;1 440 424;335 527;3 900 127;766 185;395 621;236 579;284 840;468 345;500 891;1 070 605;191 831;1 194 846;7 293 058
;IV.;241 103;1 736 022;1 470 334;346 468;3 933 546;771 391;402 945;239 157;290 573;472 059;503 707;1 069 889;191 301;1 200 643;7 368 645
2004.;I.;334 345;1 758 256;1 476 868;341 883;3 941 757;773 944;408 493;237 629;292 730;468 019;495 283;1 082 403;190 294;1 223 047;7 481 858
;II.;379 638;1 774 993;1 498 625;346 224;3 941 507;786 704;417 580;241 718;298 914;465 897;494 884;1 069 131;191 143;1 233 542;7 567 661
;III.;386 291;1 777 264;1 493 864;340 013;3 973 823;803 887;413 313;241 739;303 831;469 581;498 706;1 078 007;188 162;1 242 145;7 659 011
;IV.;367 227;1 791 169;1 519 478;353 700;3 998 108;817 086;419 514;245 376;305 546;470 884;504 746;1 084 689;191 287;1 262 202;7 691 007
2005.;I.;371 690;1 792 043;1 517 020;359 915;4 089 688;835 805;431 581;251 506;309 628;483 698;513 765;1 083 646;197 766;1 272 561;7 766 022
;II.;352 632;1 822 148;1 570 803;380 172;4 152 317;847 139;443 050;253 235;310 089;490 519;522 485;1 103 170;191 909;1 296 602;7 912 771
;III.;331 143;1 839 738;1 563 963;385 221;4 191 074;860 619;429 318;260 166;311 756;496 240;529 205;1 110 443;201 177;1 314 859;7 971 888
;IV.;355 012;1 892 182;1 647 397;380 007;4 180 944;881 597;437 450;265 562;314 119;504 793;534 759;1 088 992;193 695;1 331 258;8 061 700
2006.;I.;340 437;1 913 163;1 623 843;379 239;4 260 883;910 773;446 844;267 107;313 248;514 961;549 657;1 104 514;194 190;1 347 279;8 131 071
;II.;338 928;1 960 582;1 700 423;358 855;4 326 429;921 214;448 815;271 997;313 403;524 139;556 087;1 107 296;198 382;1 358 165;8 240 740
;III.;324 250;1 976 581;1 700 729;377 219;4 345 690;927 564;466 050;274 810;319 230;531 800;556 720;1 097 259;193 674;1 365 296;8 287 924
;IV.;307 514;2 016 516;1 765 409;361 376;4 405 672;929 077;459 422;276 697;323 363;535 244;559 607;1 115 776;198 835;1 363 355;8 366 713
2007.;I.;306 585;2 055 032;1 772 608;373 872;4 285 803;914 004;460 570;279 903;301 425;521 077;549 069;1 110 836;197 523;1 361 974;8 270 387
;II.;269 229;2 071 566;1 794 893;340 874;4 307 276;913 164;470 528;283 466;307 648;526 795;546 711;1 102 719;198 901;1 363 029;8 259 443
;III.;247 973;2 128 543;1 852 921;331 035;4 339 255;917 093;478 427;284 862;308 017;528 383;547 020;1 102 414;202 817;1 374 974;8 303 965
;IV.;237 311;2 093 692;1 823 596;314 847;4 399 539;920 305;486 979;288 415;308 139;534 471;545 261;1 103 101;202 414;1 385 488;8 330 825
2008.;I.;375 783;2 093 218;1 842 110;298 874;4 374 567;920 254;469 075;287 881;307 054;536 226;583 560;1 108 030;208 003;1 391 074;8 409 653
;II.;409 559;2 077 299;1 799 345;307 160;4 357 429;916 104;467 407;290 248;306 678;532 133;569 456;1 100 051;205 999;1 401 502;8 460 588
;III.;409 630;1 989 134;1 751 725;293 790;4 352 742;911 280;450 234;291 786;305 889;533 212;558 473;1 111 392;204 324;1 395 576;8 443 811
;IV.;393 954;1 791 371;1 576 594;303 203;4 331 888;898 709;446 048;294 391;307 512;536 153;547 127;1 103 210;207 396;1 389 315;8 147 273
2009.;I.;352 564;1 727 060;1 419 710;290 938;4 178 652;764 604;432 594;303 430;310 436;538 112;550 897;1 093 519;197 166;1 318 575;7 810 005
;II.;347 847;1 680 182;1 393 232;302 362;4 203 665;771 378;421 611;304 932;307 974;542 123;542 214;1 107 937;198 090;1 310 819;7 810 517
;III.;363 583;1 703 975;1 447 364;280 011;4 178 754;749 570;421 682;307 585;308 033;552 348;541 881;1 103 888;197 696;1 304 746;7 808 989
;IV.;355 466;1 706 651;1 442 455;279 831;4 192 218;755 671;426 466;306 814;308 360;555 290;548 178;1 105 433;193 559;1 304 491;7 806 356
2010.;I.;277 366;1 764 046;1 501 892;263 170;4 206 602;742 804;440 501;305 144;291 825;580 306;543 762;1 111 620;198 822;1 300 736;7 806 920
;II.;269 613;1 811 436;1 532 595;258 094;4 239 072;735 962;444 613;306 184;291 307;593 710;555 311;1 113 150;198 442;1 303 682;7 870 325
;III.;279 139;1 842 463;1 582 911;264 427;4 265 083;751 418;442 673;309 379;289 639;596 754;566 041;1 113 296;195 295;1 310 909;7 933 130
;IV.;276 832;1 814 673;1 560 872;251 955;4 277 261;746 233;442 281;313 268;284 348;618 927;563 937;1 118 776;195 780;1 316 089;7 932 598
2011.;I.;317 350;1 817 121;1 571 867;264 858;4 315 768;751 160;452 884;316 636;283 468;616 701;573 979;1 126 612;197 338;1 324 951;8 003 600
;II.;312 445;1 801 209;1 557 371;263 720;4 323 146;755 560;449 212;320 277;282 331;621 204;575 306;1 129 289;197 161;1 327 344;8 000 558
;III.;324 688;1 778 373;1 551 854;250 869;4 337 557;758 662;438 289;322 599;280 139;631 825;570 103;1 136 863;198 142;1 325 906;8 018 482
;IV.;327 476;1 823 411;1 580 035;267 202;4 362 688;766 416;446 437;325 183;279 532;620 431;578 764;1 151 347;197 333;1 321 011;8 118 504
2012.;I.;292 408;1 813 100;1 569 647;245 753;4 349 842;776 301;433 146;325 948;276 097;619 355;576 872;1 151 960;193 533;1 310 923;7 976 581
;II.;249 776;1 797 256;1 564 184;248 229;4 359 470;776 860;445 974;326 071;272 787;619 471;574 112;1 155 825;193 609;1 304 682;7 926 430
;III.;239 741;1 789 568;1 550 977;247 407;4 387 870;774 305;456 997;326 618;270 677;623 244;575 368;1 163 497;192 597;1 303 289;7 950 221
;IV.;247 345;1 758 011;1 534 283;253 069;4 359 691;775 312;453 978;327 751;268 372;616 644;579 704;1 156 703;192 918;1 298 416;7 938 453
2013.;I.;281 954;1 724 971;1 499 891;243 974;4 449 286;785 906;458 541;330 816;264 687;627 652;583 611;1 213 373;194 889;1 287 637;7 951 749
;II.;287 736;1 733 375;1 513 873;258 683;4 481 993;802 309;453 032;333 958;263 839;625 853;594 631;1 216 326;194 347;1 292 785;8 029 336
;III.;291 390;1 759 202;1 537 472;267 535;4 523 972;818 110;460 529;338 176;261 036;620 339;608 898;1 217 300;198 456;1 290 351;8 151 273
;IV.;288 817;1 793 939;1 568 459;280 977;4 553 379;829 774;455 204;342 297;258 977;629 820;612 174;1 227 228;197 653;1 298 716;8 223 299
2014.;I.;306 926;1 808 312;1 591 399;284 828;4 569 456;848 012;465 359;346 571;259 493;626 550;619 058;1 222 214;199 237;1 315 274;8 289 813
;II.;337 180;1 850 313;1 617 339;289 589;4 613 164;855 006;467 700;350 417;257 643;624 359;628 113;1 229 780;203 514;1 319 337;8 400 455
;III.;337 947;1 877 553;1 657 843;295 938;4 631 601;866 021;471 540;353 392;257 021;625 026;635 436;1 221 924;200 470;1 333 003;8 479 925
;IV.;329 500;1 880 875;1 654 243;295 123;4 693 747;882 227;474 737;355 982;257 187;623 010;644 628;1 225 843;204 862;1 343 739;8 528 998
2015.;I.;341 149;1 971 672;1 743 396;314 966;4 656 501;879 709;464 364;354 628;257 916;616 727;660 362;1 233 025;206 551;1 359 348;8 670 944
;II.;326 857;1 971 059;1 739 212;311 881;4 692 141;883 256;473 822;355 779;259 950;620 924;669 867;1 232 099;206 477;1 370 565;8 680 696
;III.;323 573;1 998 976;1 761 475;301 157;4 766 494;893 565;487 097;358 839;260 657;620 172;677 725;1 248 194;207 316;1 382 180;8 746 673
;IV.;332 267;2 022 428;1 784 086;310 135;4 783 578;904 774;477 700;361 556;262 988;622 713;691 766;1 234 891;208 959;1 398 493;8 837 984
2016.;I.;354 217;2 007 338;1 744 475;241 040;4 793 679;895 516;498 681;365 710;261 643;630 600;696 806;1 248 321;206 995;1 349 314;8 790 105
;II.;376 240;2 024 065;1 780 160;251 353;4 829 015;903 179;496 695;371 494;262 400;631 245;709 644;1 257 386;208 475;1 405 445;8 908 535
;III.;371 522;2 022 543;1 748 864;267 250;4 880 135;910 741;494 487;377 278;266 070;634 217;720 790;1 259 135;213 643;1 414 286;8 955 648
;IV.;371 053;2 044 489;1 797 877;270 419;4 951 014;915 148;509 636;386 482;268 320;635 710;737 126;1 274 034;217 144;1 418 057;9 032 290
2017.;I.;338 612;2 050 966;1 791 191;289 322;5 006 519;939 221;496 388;396 554;274 316;635 972;768 130;1 262 254;221 484;1 438 079;9 158 322
;II.;343 913;2 093 038;1 847 676;303 320;5 042 571;958 216;501 070;412 170;278 062;641 129;786 427;1 255 801;225 382;1 456 947;9 266 646
;III.;353 187;2 083 986;1 825 367;312 945;5 132 958;980 454;513 047;426 633;281 302;644 249;812 190;1 251 817;232 212;1 473 542;9 354 912
;IV.;337 403;2 106 893;1 866 970;334 762;5 208 899;1 002 622;528 997;435 023;285 980;649 871;831 662;1 253 930;235 552;1 491 105;9 487 252
2018.;I.;355 611;2 123 557;1 865 492;326 281;5 337 698;1 041 251;544 137;448 487;285 882;662 030;844 800;1 261 519;239 401;1 498 575;9 652 076
;II.;359 301;2 127 805;1 887 945;351 947;5 366 246;1 059 286;542 342;456 069;291 387;665 023;865 059;1 261 978;244 575;1 521 576;9 742 795
;III.;367 522;2 145 963;1 882 603;380 465;5 431 747;1 070 604;544 495;463 879;297 838;675 857;882 796;1 268 768;246 304;1 541 292;9 889 341
;IV.;362 689;2 170 681;1 914 321;381 022;5 501 966;1 087 644;555 179;478 212;303 535;681 630;899 451;1 261 461;249 484;1 558 813;9 986 620
2019.;I.;356 858;2 210 208;1 924 525;422 149;5 579 101;1 092 389;572 703;489 556;321 839;680 421;910 627;1 271 296;260 531;1 595 207;10 177 283
;II.;352 197;2 193 118;1 914 775;410 142;5 631 254;1 116 510;571 697;501 650;329 545;689 064;921 921;1 270 713;264 417;1 609 174;10 216 107
;III.;357 345;2 231 741;1 930 790;433 182;5 704 991;1 130 638;586 946;514 396;337 022;690 953;935 377;1 264 172;261 877;1 623 949;10 364 900
;IV.;356 231;2 193 812;1 907 247;391 122;5 803 799;1 165 939;586 020;530 312;344 377;708 750;949 147;1 264 468;269 725;1 642 270;10 419 599
2020.;I.;326 630;2 150 652;1 871 872;416 981;5 796 907;1 175 110;599 329;546 856;340 765;721 209;965 775;1 249 857;263 655;1 639 151;10 371 660
;II.;323 134;1 678 481;1 445 162;369 072;5 074 979;965 826;480 559;502 512;346 588;664 153;799 783;1 136 498;207 551;1 424 049;8 885 765
;III.;328 575;2 134 451;1 864 720;365 110;5 529 983;1 056 463;511 161;541 227;350 415;687 945;880 098;1 247 043;229 361;1 596 417;9 946 773
;IV.;332 201;2 151 706;1 888 915;381 132;5 588 756;1 092 051;510 051;574 914;356 273;692 749;921 170;1 244 177;235 364;1 611 198;10 081 537
2021.;I.;325 193;2 131 726;1 889 226;364 272;5 709 137;1 125 852;499 217;614 454;371 579;702 171;967 838;1 239 869;250 399;1 627 959;10 186 479
;II.;326 281;2 162 958;1 921 022;412 251;5 840 939;1 170 032;524 134;640 827;378 616;714 401;1 006 326;1 238 428;253 122;1 641 956;10 421 298
;III.;323 586;2 129 220;1 897 690;403 748;6 049 524;1 208 060;546 537;673 233;389 347;725 920;1 041 793;1 251 155;269 446;1 663 218;10 594 770
