21.2.1.8. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1995.;I.;266 049;1 059 422;810 496;237 656;3 120 372;562 580;334 631;88 114;468 467;439 164;277 002;901 751;194 026;960 815;5 552 298
;II.;264 703;1 060 266;796 148;220 706;3 118 383;560 107;337 492;92 335;456 573;439 322;289 668;900 444;194 055;974 898;5 542 462
;III.;261 940;1 079 211;814 315;216 211;3 103 368;558 194;333 421;96 086;440 976;444 228;298 885;903 088;188 309;983 449;5 542 706
;IV.;250 976;1 090 993;811 415;199 279;3 103 668;557 966;331 434;99 354;429 253;445 989;310 165;902 981;185 469;998 097;5 519 577
1996.;I.;283 966;1 093 863;821 354;202 986;3 152 784;558 067;327 346;104 371;406 402;452 235;326 010;906 575;177 965;892 917;5 552 847
;II.;268 091;1 111 229;842 006;199 453;3 121 803;557 242;315 020;107 755;392 901;454 390;328 811;912 578;172 886;900 158;5 519 507
;III.;255 534;1 112 390;842 960;203 845;3 111 057;557 557;308 490;112 507;384 064;457 155;337 133;906 319;172 678;914 928;5 512 121
;IV.;284 054;1 139 463;872 447;205 759;3 128 544;561 235;307 973;118 406;374 170;460 790;338 716;905 266;170 509;919 519;5 581 073
1997.;I.;260 847;1 188 961;908 224;205 879;3 126 497;576 489;346 461;122 433;288 633;458 516;337 075;892 937;168 646;930 576;5 635 899
;II.;273 438;1 224 211;943 038;209 995;3 129 173;582 030;344 204;127 390;284 920;464 898;344 633;883 117;165 375;938 437;5 694 444
;III.;260 835;1 276 746;983 898;217 809;3 126 706;583 487;338 204;131 726;284 036;464 323;344 027;885 425;163 300;946 541;5 745 395
;IV.;251 010;1 306 056;1 016 008;233 528;3 139 864;591 262;339 177;135 232;282 428;465 863;347 732;885 002;159 962;960 979;5 794 546
