21.2.1.10. A bruttó hazai termék (GDP) végsõ felhasználása folyó áron, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1995.;I.;731 593;180 882;16 193;928 668;155 355;1 084 023;178 539;81 094;1 529;261 162;1 345 185;272 890;147 000;419 890;391 611;115 654;507 265;-118 721;31 346;-87 375;1 257 810
;II.;731 331;176 650;15 815;923 796;155 925;1 079 721;290 395;90 571;1 529;382 495;1 462 216;327 320;199 386;526 706;429 782;124 290;554 072;-102 462;75 096;-27 366;1 434 850
;III.;779 995;159 699;14 297;953 991;152 991;1 106 982;307 864;-21 604;1 529;287 789;1 394 771;375 865;264 818;640 683;427 283;144 694;571 977;-51 418;120 124;68 706;1 463 478
;IV.;845 603;183 279;16 409;1 045 291;169 998;1 215 289;494 139;-76 195;1 530;419 474;1 634 763;454 347;245 603;699 950;495 593;158 774;654 367;-41 246;86 829;45 583;1 680 346
1996.;I.;865 043;184 343;18 146;1 067 532;168 103;1 235 635;223 883;163 281;1 933;389 097;1 624 732;385 313;222 701;608 014;488 388;136 252;624 640;-103 075;86 449;-16 626;1 608 107
;II.;876 454;215 220;20 967;1 112 641;180 906;1 293 547;350 183;73 818;1 933;425 934;1 719 481;438 502;287 591;726 093;530 321;166 112;696 433;-91 819;121 479;29 660;1 749 141
;III.;941 934;187 805;18 495;1 148 234;182 545;1 330 779;390 581;-2 169;1 933;390 345;1 721 124;443 872;357 167;801 039;569 497;179 053;748 550;-125 625;178 114;52 489;1 773 613
;IV.;1 017 486;225 152;22 301;1 264 939;196 715;1 461 654;664 571;-104 906;1 934;561 599;2 023 253;548 017;299 857;847 874;669 562;210 120;879 682;-121 545;89 737;-31 808;1 991 445
1997.;I.;1 062 831;238 401;23 214;1 324 446;203 912;1 528 358;291 226;212 797;2 168;506 191;2 034 549;539 755;270 646;810 401;681 176;187 470;868 646;-141 421;83 176;-58 245;1 976 304
;II.;1 053 555;250 529;24 263;1 328 347;224 206;1 552 553;443 236;147 414;2 168;592 818;2 145 371;656 346;358 019;1 014 365;769 417;216 923;986 340;-113 071;141 096;28 025;2 173 397
;III.;1 112 390;223 843;21 581;1 357 814;226 323;1 584 137;520 364;26 500;2 168;549 032;2 133 169;721 770;435 128;1 156 898;841 760;226 835;1 068 595;-119 990;208 293;88 303;2 221 471
;IV.;1 226 329;265 877;25 706;1 517 912;244 727;1 762 639;798 987;-127 320;2 166;673 833;2 436 472;893 212;357 357;1 250 569;996 374;227 279;1 223 653;-103 162;130 078;26 916;2 463 388
1998.;I.;1 255 180;280 196;32 313;1 567 689;241 551;1 809 240;358 749;249 558;2 501;610 808;2 420 048;862 283;317 547;1 179 830;1 025 347;221 407;1 246 754;-163 064;96 140;-66 924;2 353 125
;II.;1 256 200;292 961;33 652;1 582 813;255 572;1 838 385;563 072;193 412;2 501;758 985;2 597 370;945 941;407 583;1 353 524;1 138 206;247 019;1 385 225;-192 265;160 564;-31 701;2 565 669
;III.;1 331 029;265 883;29 898;1 626 810;258 851;1 885 661;670 650;80 707;2 501;753 858;2 639 519;983 626;482 591;1 466 217;1 184 196;280 273;1 464 469;-200 570;202 318;1 748;2 641 267
;IV.;1 450 252;309 592;35 309;1 795 153;279 589;2 074 742;929 366;-56 826;2 502;875 042;2 949 784;1 132 983;394 849;1 527 832;1 321 884;272 974;1 594 858;-188 901;121 875;-67 026;2 882 758
1999.;I.;1 442 967;293 529;37 588;1 774 084;276 794;2 050 878;430 478;193 186;2 521;626 185;2 677 063;1 011 453;330 969;1 342 422;1 196 581;260 452;1 457 033;-185 128;70 517;-114 611;2 562 452
;II.;1 487 341;305 297;39 010;1 831 648;288 279;2 119 927;665 105;163 699;2 521;831 325;2 951 252;1 101 870;421 722;1 523 592;1 335 221;285 066;1 620 287;-233 351;136 656;-96 695;2 854 557
;III.;1 579 473;293 485;34 980;1 907 938;281 888;2 189 826;758 825;32 815;2 521;794 161;2 983 987;1 180 689;513 319;1 694 008;1 409 323;306 415;1 715 738;-228 634;206 904;-21 730;2 962 257
;IV.;1 659 701;386 315;40 114;2 086 130;348 236;2 434 366;1 064 412;-157 364;2 520;909 568;3 343 934;1 466 015;449 519;1 915 534;1 694 031;307 157;2 001 188;-228 016;142 362;-85 654;3 258 280
2000.;I.;1 678 691;324 018;46 648;2 049 357;314 669;2 364 026;485 697;228 385;3 477;717 559;3 081 585;1 417 247;402 126;1 819 373;1 678 555;291 878;1 970 433;-261 308;110 248;-151 060;2 930 525
;II.;1 711 999;336 909;46 873;2 095 781;326 315;2 422 096;757 663;120 894;3 477;882 034;3 304 130;1 612 981;514 093;2 127 074;1 843 221;324 818;2 168 039;-230 240;189 275;-40 965;3 263 165
;III.;1 782 572;338 915;45 428;2 166 915;326 940;2 493 855;851 172;166 661;3 477;1 021 310;3 515 165;1 703 878;625 377;2 329 255;2 041 414;360 986;2 402 400;-337 536;264 391;-73 145;3 442 020
;IV.;1 887 559;451 363;52 329;2 391 251;405 209;2 796 460;1 303 422;-188 419;3 476;1 118 479;3 914 939;2 064 992;567 486;2 632 478;2 446 517;412 558;2 859 075;-381 525;154 928;-226 597;3 688 342
2001.;I.;1 910 879;367 879;52 677;2 331 435;349 351;2 680 786;565 466;306 823;4 266;876 555;3 557 341;1 831 402;521 523;2 352 925;2 129 415;385 242;2 514 657;-298 013;136 281;-161 732;3 395 609
;II.;1 982 778;398 413;54 055;2 435 246;380 014;2 815 260;863 339;260 150;4 266;1 127 755;3 943 015;1 927 627;601 509;2 529 136;2 189 616;389 555;2 579 171;-261 989;211 954;-50 035;3 892 980
;III.;2 042 156;391 227;50 338;2 483 721;375 181;2 858 902;953 621;66 059;4 266;1 023 946;3 882 848;1 775 612;735 342;2 510 954;2 001 821;418 475;2 420 296;-226 209;316 867;90 658;3 973 506
;IV.;2 157 839;502 141;60 258;2 720 238;482 341;3 202 579;1 444 519;-437 159;4 266;1 011 626;4 214 205;1 991 802;605 447;2 597 249;2 234 515;440 334;2 674 849;-242 713;165 113;-77 600;4 136 606
2002.;I.;2 201 827;459 690;60 758;2 722 275;420 857;3 143 132;659 284;251 891;4 705;915 880;4 059 012;1 926 963;488 219;2 415 182;2 111 859;422 448;2 534 307;-184 896;65 771;-119 125;3 939 887
;II.;2 226 764;472 604;63 109;2 762 477;424 913;3 187 390;964 888;126 572;4 705;1 096 165;4 283 555;2 051 641;573 397;2 625 038;2 157 603;448 779;2 606 382;-105 962;124 618;18 656;4 302 211
;III.;2 377 974;457 802;62 945;2 898 721;418 021;3 316 742;1 070 444;60 342;4 705;1 135 491;4 452 233;1 898 917;649 826;2 548 743;2 115 103;441 587;2 556 690;-216 186;208 239;-7 947;4 444 286
;IV.;2 459 106;605 933;62 620;3 127 659;551 997;3 679 656;1 614 060;-302 635;4 703;1 316 128;4 995 784;1 998 128;548 427;2 546 555;2 299 053;495 811;2 794 864;-300 925;52 616;-248 309;4 747 475
2003.;I.;2 474 224;566 172;68 966;3 109 362;503 298;3 612 660;646 437;100 112;4 595;751 144;4 363 804;1 949 806;425 061;2 374 867;2 136 840;429 000;2 565 840;-187 034;-3 939;-190 973;4 172 831
;II.;2 535 597;549 406;71 634;3 156 637;485 730;3 642 367;989 557;265 256;4 191;1 259 004;4 901 371;2 056 499;527 115;2 583 614;2 350 566;429 988;2 780 554;-294 067;97 127;-196 940;4 704 431
;III.;2 726 228;549 056;71 448;3 346 732;483 718;3 830 450;1 130 753;85 178;5 431;1 221 362;5 051 812;2 202 845;602 335;2 805 180;2 466 363;516 182;2 982 545;-263 518;86 153;-177 365;4 874 447
;IV.;2 753 708;670 741;71 081;3 495 530;594 450;4 089 980;1 752 753;-282 347;6 483;1 476 889;5 566 869;2 464 489;550 530;3 015 019;2 673 972;529 614;3 203 586;-209 483;20 916;-188 567;5 378 302
2004.;I.;2 601 845;594 662;84 641;3 281 148;497 418;3 778 566;808 796;289 071;5 366;1 103 233;4 881 799;2 391 981;508 882;2 900 863;2 584 213;444 501;3 028 714;-192 232;64 381;-127 851;4 753 947
;II.;2 788 224;630 996;86 569;3 505 789;549 891;4 055 680;1 137 550;483 781;5 487;1 626 818;5 682 498;2 644 722;518 192;3 162 914;3 036 400;452 694;3 489 094;-391 678;65 498;-326 180;5 356 318
;III.;2 964 571;619 008;77 774;3 661 353;536 446;4 197 799;1 315 172;76 590;5 511;1 397 273;5 595 072;2 613 598;571 389;3 184 987;2 906 069;524 675;3 430 744;-292 471;46 714;-245 757;5 349 315
;IV.;2 914 511;653 362;74 445;3 642 318;567 046;4 209 364;1 813 441;-166 433;6 650;1 653 658;5 863 022;2 859 331;465 533;3 324 864;3 058 158;479 250;3 537 408;-198 827;-13 717;-212 544;5 650 478
2005.;I.;2 799 836;672 324;89 867;3 562 027;555 963;4 117 990;852 275;41 740;5 809;899 824;5 017 814;2 669 918;446 449;3 116 367;2 781 429;468 360;3 249 789;-111 511;-21 911;-133 422;4 884 392
;II.;2 953 756;668 357;92 039;3 714 152;561 120;4 275 272;1 241 617;253 524;6 176;1 501 317;5 776 589;3 036 090;530 257;3 566 347;3 173 006;512 846;3 685 852;-136 916;17 411;-119 505;5 657 084
;III.;3 102 335;635 415;92 097;3 829 847;538 309;4 368 156;1 407 017;212 686;5 323;1 625 026;5 993 182;2 989 485;590 470;3 579 955;3 229 433;540 642;3 770 075;-239 948;49 828;-190 120;5 803 062
;IV.;3 141 834;733 887;85 074;3 960 795;633 221;4 594 016;1 884 360;-48 388;6 143;1 842 115;6 436 131;3 314 471;548 147;3 862 618;3 505 045;543 276;4 048 321;-190 574;4 871;-185 703;6 250 428
2006.;I.;2 975 856;756 124;91 069;3 823 049;637 903;4 460 952;999 997;37 960;5 920;1 043 877;5 504 829;3 318 322;610 986;3 929 308;3 539 399;578 904;4 118 303;-221 077;32 082;-188 995;5 315 834
;II.;3 066 901;718 546;90 312;3 875 759;591 105;4 466 864;1 287 808;361 773;5 781;1 655 362;6 122 226;3 686 177;736 915;4 423 092;3 838 514;619 645;4 458 159;-152 337;117 270;-35 067;6 087 158
;III.;3 287 207;640 509;82 984;4 010 700;553 348;4 564 048;1 484 861;332 003;5 537;1 822 401;6 386 449;3 837 397;845 018;4 682 415;4 073 576;700 861;4 774 437;-236 179;144 157;-92 022;6 294 427
;IV.;3 268 897;779 805;95 372;4 144 074;676 477;4 820 551;1 946 614;-88 994;6 124;1 863 744;6 684 295;4 160 755;766 616;4 927 371;4 259 982;703 695;4 963 677;-99 227;62 921;-36 306;6 647 989
