21.2.1.11. A bruttó hazai termék (GDP) végsõ felhasználása elõzõ évi átlagáron, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1996.;I.;762 801;170 995;16 223;950 019;145 456;1 095 475;194 819;82 828;1 510;279 157;1 374 632;343 273;185 735;529 008;422 119;120 164;542 283;-78 846;65 571;-13 275;1 361 357
;II.;730 152;174 833;16 179;921 164;150 888;1 072 052;295 502;54 073;1 510;351 085;1 423 137;376 942;237 133;614 075;446 444;141 765;588 209;-69 502;95 368;25 866;1 449 004
;III.;739 906;165 703;15 777;921 386;163 827;1 085 213;319 734;29 463;1 510;350 707;1 435 920;375 135;292 199;667 334;473 069;148 443;621 512;-97 934;143 756;45 822;1 481 742
;IV.;777 502;178 165;15 707;971 374;147 628;1 119 002;519 203;-80 128;1 511;440 586;1 559 588;443 708;242 755;686 463;529 037;167 823;696 860;-85 329;74 932;-10 397;1 549 191
1997.;I.;971 792;197 983;20 805;1 190 580;179 878;1 370 458;266 286;94 727;2 095;363 108;1 733 566;498 463;245 304;743 767;628 505;174 025;802 530;-130 042;71 279;-58 763;1 674 803
;II.;912 950;195 267;19 751;1 127 968;188 059;1 316 027;394 479;110 266;2 095;506 840;1 822 867;576 513;309 069;885 582;688 397;193 932;882 329;-111 884;115 137;3 253;1 826 119
;III.;914 945;189 656;19 427;1 124 028;190 381;1 314 409;449 947;60 456;2 095;512 498;1 826 907;621 478;365 712;987 190;732 861;197 726;930 587;-111 383;167 986;56 603;1 883 509
;IV.;978 467;200 902;19 578;1 198 947;182 784;1 381 731;660 323;-85 018;2 092;577 397;1 959 128;751 692;293 347;1 045 039;851 246;191 186;1 042 432;-99 554;102 161;2 607;1 961 736
1998.;I.;1 164 314;233 486;29 443;1 427 243;214 323;1 641 566;339 638;156 558;2 373;498 569;2 140 135;791 676;290 301;1 081 977;936 399;202 209;1 138 608;-144 723;88 092;-56 631;2 083 504
;II.;1 124 896;236 988;29 507;1 391 391;220 288;1 611 679;519 948;191 559;2 373;713 880;2 325 559;848 271;360 633;1 208 904;1 031 963;219 932;1 251 895;-183 692;140 701;-42 991;2 282 569
