21.2.1.12. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1995.;I.;2 931 475;773 154;78 130;3 775 715;589 593;4 356 065;611 035;x;x;1 260 362;5 594 546;494 429;419 027;854 767;781 000;247 744;1 028 340;x;x;x;5 180 310
;II.;2 882 273;744 314;75 221;3 696 433;581 403;4 268 929;941 383;x;x;1 547 042;5 765 570;619 077;524 666;1 070 259;889 069;282 024;1 170 634;x;x;x;5 519 363
;III.;2 775 330;735 957;74 374;3 578 602;590 419;4 161 321;926 132;x;x;1 309 774;5 440 373;746 810;632 920;1 291 084;901 294;285 902;1 186 730;x;x;x;5 644 068
;IV.;3 022 410;739 975;74 778;3 835 494;590 454;4 416 275;1 461 484;x;x;1 306 043;5 697 511;822 535;697 098;1 421 998;1 037 277;329 038;1 365 780;x;x;x;5 801 957
1996.;I.;2 867 797;730 691;78 252;3 671 637;539 351;4 200 835;603 959;x;x;1 120 666;5 298 409;643 831;492 885;1 072 737;873 303;253 128;1 126 315;x;x;x;5 165 473
;II.;2 745 051;747 092;78 040;3 560 118;559 493;4 111 014;916 086;x;x;1 409 418;5 485 368;706 980;629 280;1 245 239;923 628;298 631;1 221 703;x;x;x;5 498 036
;III.;2 781 722;708 077;76 101;3 560 976;607 470;4 161 483;991 208;x;x;1 407 901;5 534 639;703 590;775 409;1 353 239;978 711;312 698;1 290 873;x;x;x;5 622 257
;IV.;2 923 066;761 330;75 763;3 754 171;547 404;4 291 054;1 609 582;x;x;1 768 717;6 011 308;832 204;644 200;1 392 029;1 094 501;353 523;1 447 368;x;x;x;5 878 182
1997.;I.;2 971 801;718 128;80 231;3 770 509;556 655;4 317 277;673 526;x;x;1 172 710;5 460 896;792 456;534 138;1 262 437;1 077 349;306 504;1 384 013;x;x;x;5 211 831
;II.;2 791 858;708 277;76 167;3 572 220;581 972;4 145 806;997 769;x;x;1 636 913;5 742 202;916 540;672 983;1 503 147;1 180 013;341 566;1 521 631;x;x;x;5 682 713
;III.;2 797 959;687 924;74 917;3 559 742;589 157;4 140 709;1 138 066;x;x;1 655 187;5 754 929;988 025;796 320;1 675 612;1 256 231;348 248;1 604 855;x;x;x;5 861 306
;IV.;2 992 214;728 716;75 499;3 797 006;565 647;4 352 790;1 670 176;x;x;1 864 787;6 171 436;1 195 040;638 749;1 773 802;1 459 159;336 729;1 797 739;x;x;x;6 104 739
1998.;I.;3 019 522;678 293;95 327;3 794 818;546 655;4 330 539;740 779;x;x;1 359 135;5 657 447;1 096 108;539 725;1 588 874;1 415 891;313 980;1 731 904;x;x;x;5 391 340
;II.;2 917 296;688 466;95 534;3 699 493;561 870;4 251 695;1 134 050;x;x;1 946 089;6 147 615;1 174 466;670 486;1 775 265;1 560 390;341 499;1 904 221;x;x;x;5 906 447
;III.;2 958 715;678 002;94 449;3 731 490;576 569;4 298 645;1 320 984;x;x;2 073 285;6 318 004;1 188 274;782 878;1 878 684;1 605 997;375 239;1 983 151;x;x;x;6 121 193
