21.2.1.13. A bruttó hazai termék (GDP) végsõ felhasználásának negyedéves volumenindexei, 2015. évi átlagáron [elõzõ év azonos idõszaka = 100,0%];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1996.;I.;97,8;94,5;100,2;97,2;91,5;96,4;98,8;x;x;88,9;94,7;130,2;117,6;125,5;111,8;102,2;109,5;x;x;x;99,7
;II.;95,2;100,4;103,7;96,3;96,2;96,3;97,3;x;x;91,1;95,1;114,2;119,9;116,3;103,9;105,9;104,4;x;x;x;99,6
;III.;100,2;96,2;102,3;99,5;102,9;100,0;107,0;x;x;107,5;101,7;94,2;122,5;104,8;108,6;109,4;108,8;x;x;x;99,6
;IV.;96,7;102,9;101,3;97,9;92,7;97,2;110,1;x;x;135,4;105,5;101,2;92,4;97,9;105,5;107,4;106,0;x;x;x;101,3
1997.;I.;103,6;98,3;102,5;102,7;103,2;102,8;111,5;x;x;104,6;103,1;123,1;108,4;117,7;123,4;121,1;122,9;x;x;x;100,9
;II.;101,7;94,8;97,6;100,3;104,0;100,8;108,9;x;x;116,1;104,7;129,6;106,9;120,7;127,8;114,4;124,6;x;x;x;103,4
;III.;100,6;97,2;98,4;100,0;97,0;99,5;114,8;x;x;117,6;104,0;140,4;102,7;123,8;128,4;111,4;124,3;x;x;x;104,3
;IV.;102,4;95,7;99,7;101,1;103,3;101,4;103,8;x;x;105,4;102,7;143,6;99,2;127,4;133,3;95,2;124,2;x;x;x;103,9
1998.;I.;101,6;94,5;118,8;100,6;98,2;100,3;110,0;x;x;115,9;103,6;138,3;101,0;125,9;131,4;102,4;125,1;x;x;x;103,4
;II.;104,5;97,2;125,4;103,6;96,5;102,6;113,7;x;x;118,9;107,1;128,1;99,6;118,1;132,2;100,0;125,1;x;x;x;103,9
;III.;105,7;98,6;126,1;104,8;97,9;103,8;116,1;x;x;125,3;109,8;120,3;98,3;112,1;127,8;107,8;123,6;x;x;x;104,4
;IV.;105,9;96,2;126,4;104,5;101,5;104,1;107,4;x;x;117,2;107,9;113,2;99,1;109,0;120,1;106,3;117,5;x;x;x;103,7
1999.;I.;104,4;104,0;105,5;104,4;101,1;103,9;108,0;x;x;101,7;103,8;113,6;95,5;108,7;112,0;110,5;111,8;x;x;x;102,1
;II.;107,0;100,7;104,3;105,8;103,3;105,5;109,3;x;x;102,1;104,4;112,3;96,5;107,6;112,1;109,5;111,6;x;x;x;102,2
;III.;108,2;100,9;104,0;106,9;103,2;106,4;105,2;x;x;97,6;103,6;117,0;99,1;111,1;113,4;105,4;111,9;x;x;x;103,1
;IV.;107,3;97,8;102,2;105,6;102,4;105,1;109,2;x;x;102,4;104,2;123,3;106,2;118,9;119,2;107,4;117,2;x;x;x;104,7
2000.;I.;102,8;93,7;108,1;101,4;100,2;101,2;106,4;x;x;117,6;104,9;129,3;110,8;124,7;126,5;104,2;122,5;x;x;x;105,4
;II.;103,0;98,2;108,4;102,2;98,8;101,8;105,0;x;x;99,9;101,2;132,3;110,0;126,2;121,2;104,4;118,3;x;x;x;104,8
;III.;103,3;97,5;108,7;102,5;93,8;101,3;102,5;x;x;110,2;103,7;129,5;110,0;123,8;126,0;108,0;122,8;x;x;x;103,9
;IV.;102,7;129,3;109,8;107,1;122,1;109,1;108,9;x;x;99,1;106,1;129,1;113,9;125,4;129,0;123,8;128,2;x;x;x;103,9
