21.2.1.14. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan kiigazítva, negyedévente [millió Ft];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1995.;I.;2 933 804;758 132;76 017;3 750 172;592 215;4 343 638;969 624;x;x;1 492 718;5 824 006;541 372;507 005;952 205;822 176;265 974;1 075 588;x;x;x;5 555 143
;II.;2 921 721;747 862;75 387;3 748 061;587 279;4 330 969;983 894;x;x;1 444 325;5 749 855;625 845;518 104;1 073 283;893 199;288 880;1 171 040;x;x;x;5 545 245
;III.;2 883 961;745 672;75 611;3 695 234;580 025;4 257 105;950 912;x;x;1 330 917;5 522 562;739 812;531 199;1 223 870;913 010;276 322;1 199 385;x;x;x;5 545 377
;IV.;2 877 294;735 946;75 979;3 694 265;581 395;4 275 204;962 514;x;x;1 221 097;5 436 922;750 165;706 495;1 345 100;968 313;311 152;1 292 201;x;x;x;5 522 068
1996.;I.;2 838 314;734 028;76 272;3 633 517;566 029;4 183 091;960 777;x;x;1 363 713;5 536 916;698 792;597 160;1 188 811;918 084;271 732;1 177 647;x;x;x;5 555 128
;II.;2 828 704;739 004;77 557;3 633 200;566 015;4 186 680;974 459;x;x;1 333 827;5 483 442;715 488;620 793;1 247 903;928 830;305 918;1 223 178;x;x;x;5 521 200
;III.;2 852 852;731 041;77 376;3 660 820;572 966;4 236 442;999 717;x;x;1 403 069;5 592 842;705 604;649 090;1 289 188;992 120;302 198;1 303 920;x;x;x;5 512 890
;IV.;2 840 866;732 948;77 144;3 640 603;564 247;4 182 207;1 063 322;x;x;1 599 386;5 715 253;762 023;653 138;1 319 846;1 023 431;334 365;1 369 600;x;x;x;5 580 569
1997.;I.;2 880 043;724 401;77 634;3 697 849;573 900;4 272 738;1 069 265;x;x;1 474 363;5 739 591;848 854;648 317;1 391 323;1 129 861;328 950;1 446 553;x;x;x;5 633 735
;II.;2 876 784;712 220;76 194;3 654 216;575 861;4 225 467;1 072 092;x;x;1 567 016;5 749 809;925 662;664 061;1 506 436;1 186 102;349 951;1 524 659;x;x;x;5 691 008
;III.;2 881 614;705 901;76 269;3 656 762;570 280;4 216 074;1 117 881;x;x;1 616 273;5 784 907;999 525;666 434;1 604 946;1 274 063;336 507;1 620 024;x;x;x;5 741 095
;IV.;2 914 269;700 181;76 642;3 690 418;569 968;4 242 554;1 132 346;x;x;1 668 751;5 853 571;1 098 292;647 064;1 681 455;1 366 979;318 563;1 701 529;x;x;x;5 789 805
1998.;I.;2 949 237;688 720;93 169;3 737 004;565 769;4 301 577;1 179 582;x;x;1 754 634;5 994 221;1 160 117;654 609;1 736 915;1 482 499;336 877;1 809 681;x;x;x;5 840 238
;II.;2 986 493;690 530;94 904;3 774 397;562 977;4 327 892;1 212 307;x;x;1 869 313;6 160 638;1 185 708;662 710;1 781 373;1 567 335;349 966;1 909 186;x;x;x;5 927 156
;III.;3 026 839;690 892;95 872;3 810 922;564 936;4 364 237;1 270 187;x;x;1 979 212;6 312 785;1 210 470;656 940;1 813 147;1 629 464;362 537;2 001 118;x;x;x;5 980 342
;IV.;3 076 041;691 979;97 203;3 853 319;570 145;4 398 627;1 236 554;x;x;1 950 503;6 291 541;1 249 019;638 614;1 833 637;1 642 907;338 649;1 999 457;x;x;x;5 984 355
1999.;I.;3 135 853;700 703;97 749;3 943 911;574 519;4 513 791;1 280 976;x;x;1 785 669;6 264 302;1 305 677;622 366;1 871 661;1 658 714;372 254;2 021 260;x;x;x;5 988 996
;II.;3 191 972;692 889;98 698;3 993 606;579 429;4 568 361;1 319 698;x;x;1 939 015;6 451 614;1 330 546;643 177;1 919 246;1 757 310;383 224;2 133 625;x;x;x;6 051 319
;III.;3 236 865;689 376;99 935;4 040 396;583 430;4 623 825;1 339 793;x;x;1 933 857;6 522 875;1 423 872;655 146;2 031 381;1 850 870;382 067;2 241 551;x;x;x;6 163 029
;IV.;3 268 631;673 598;101 003;4 027 136;569 375;4 565 109;1 339 693;x;x;2 009 978;6 516 592;1 548 689;674 375;2 180 797;1 959 778;363 828;2 341 942;x;x;x;6 234 211
2000.;I.;3 277 337;676 606;105 030;4 060 046;582 895;4 632 482;1 362 469;x;x;2 033 417;6 589 478;1 675 382;683 053;2 312 716;2 094 137;387 726;2 473 157;x;x;x;6 287 509
;II.;3 292 738;681 891;106 585;4 093 287;583 702;4 663 852;1 391 342;x;x;1 951 982;6 548 080;1 753 687;712 219;2 419 163;2 129 304;400 071;2 525 282;x;x;x;6 355 924
;III.;3 321 761;689 827;108 077;4 133 645;585 748;4 695 129;1 392 248;x;x;2 169 062;6 772 822;1 849 444;726 117;2 531 906;2 336 297;412 788;2 756 499;x;x;x;6 412 262
;IV.;3 356 015;810 687;109 666;4 253 902;607 253;4 883 132;1 435 984;x;x;2 020 969;6 880 618;2 015 343;765 114;2 744 708;2 532 715;450 433;3 003 657;x;x;x;6 532 690
2001.;I.;3 383 911;722 567;109 702;4 218 168;601 588;4 789 865;1 410 757;x;x;2 153 213;6 844 271;1 969 804;810 922;2 720 606;2 416 173;473 034;2 878 544;x;x;x;6 579 628
;II.;3 446 714;740 335;111 227;4 316 774;610 612;4 909 311;1 432 055;x;x;2 018 260;6 863 826;1 994 201;779 998;2 725 006;2 404 280;461 152;2 863 490;x;x;x;6 633 461
;III.;3 487 674;758 299;112 682;4 365 140;618 305;4 964 860;1 442 754;x;x;1 855 731;6 744 661;1 963 621;819 675;2 740 668;2 289 652;479 913;2 776 828;x;x;x;6 693 304
;IV.;3 547 152;779 533;114 285;4 443 635;624 722;5 084 376;1 467 469;x;x;1 877 624;6 950 647;1 995 510;786 140;2 739 098;2 391 013;493 944;2 898 182;x;x;x;6 742 050
2002.;I.;3 618 701;783 813;117 790;4 520 233;623 899;5 121 498;1 544 019;x;x;2 145 277;7 195 061;2 165 354;754 228;2 880 040;2 543 406;550 062;3 078 838;x;x;x;6 893 734
;II.;3 685 730;806 051;120 169;4 606 972;638 594;5 216 480;1 530 850;x;x;1 960 415;7 125 327;2 223 072;747 208;2 933 596;2 507 822;559 604;3 064 299;x;x;x;6 931 000
;III.;3 781 596;819 350;122 801;4 727 090;652 133;5 349 858;1 543 999;x;x;1 963 514;7 250 996;2 189 927;734 886;2 893 064;2 515 018;521 164;3 044 493;x;x;x;6 994 979
;IV.;3 871 052;838 990;125 627;4 845 611;671 476;5 511 566;1 573 474;x;x;2 144 918;7 622 837;2 142 369;725 090;2 841 292;2 620 083;584 391;3 213 716;x;x;x;7 079 859
2003.;I.;3 968 832;844 829;126 379;4 957 388;689 344;5 671 395;1 479 586;x;x;1 920 707;7 612 239;2 271 300;648 534;2 902 422;2 651 491;568 074;3 203 618;x;x;x;7 132 842
;II.;4 025 579;842 703;129 024;4 987 098;688 922;5 636 926;1 545 628;x;x;2 135 005;7 728 306;2 287 523;682 480;2 942 881;2 766 018;534 700;3 305 406;x;x;x;7 206 498
;III.;4 075 457;848 107;132 034;5 063 263;690 294;5 718 779;1 566 746;x;x;2 147 502;7 828 548;2 469 769;671 824;3 118 647;2 885 147;585 753;3 481 351;x;x;x;7 293 058
;IV.;4 119 699;853 764;135 930;5 107 402;690 274;5 758 058;1 661 021;x;x;2 074 092;7 787 838;2 600 624;698 543;3 290 460;2 969 831;595 132;3 574 847;x;x;x;7 368 645
2004.;I.;3 965 304;860 195;138 906;4 962 092;685 477;5 685 719;1 700 496;x;x;2 310 399;7 892 623;2 730 316;727 649;3 440 950;3 122 807;573 399;3 680 569;x;x;x;7 481 858
;II.;4 156 967;867 707;141 028;5 169 279;682 389;5 810 564;1 699 016;x;x;2 500 786;8 272 518;2 948 876;650 373;3 591 832;3 539 567;561 479;4 114 117;x;x;x;7 567 661
;III.;4 187 129;878 250;142 316;5 235 541;680 975;5 893 009;1 746 306;x;x;2 429 453;8 293 598;3 024 872;637 072;3 646 334;3 497 470;614 149;4 125 089;x;x;x;7 659 011
;IV.;4 164 200;880 978;141 963;5 174 583;677 837;5 801 189;1 724 512;x;x;2 483 313;8 193 597;3 151 061;599 946;3 772 004;3 522 666;555 078;4 089 734;x;x;x;7 691 007
2005.;I.;4 176 217;885 667;146 269;5 188 909;676 299;5 860 054;1 715 344;x;x;2 382 482;8 155 788;3 173 113;637 441;3 817 564;3 455 590;613 932;4 051 198;x;x;x;7 766 022
;II.;4 230 310;904 452;147 999;5 303 359;687 403;5 971 522;1 798 651;x;x;2 376 269;8 308 475;3 413 024;656 099;4 068 337;3 686 145;638 275;4 334 735;x;x;x;7 912 771
;III.;4 246 584;914 465;150 773;5 311 175;692 406;5 982 040;1 819 236;x;x;2 445 079;8 390 326;3 499 213;655 853;4 146 699;3 808 754;633 558;4 459 446;x;x;x;7 971 888
;IV.;4 300 602;911 522;150 378;5 354 278;684 242;5 986 168;1 809 438;x;x;2 458 066;8 367 425;3 578 867;676 738;4 277 349;3 831 147;613 529;4 456 151;x;x;x;8 061 700
2006.;I.;4 308 656;932 400;138 930;5 418 161;697 065;6 122 646;1 862 750;x;x;2 395 849;8 497 979;3 767 863;831 394;4 588 616;4 097 355;724 312;4 799 039;x;x;x;8 131 071
;II.;4 317 547;915 337;138 693;5 380 257;681 758;6 034 717;1 807 862;x;x;2 411 981;8 386 572;3 897 502;858 708;4 747 088;4 104 351;712 190;4 827 381;x;x;x;8 240 740
;III.;4 334 137;900 185;137 762;5 355 853;672 457;5 986 213;1 821 013;x;x;2 517 875;8 444 766;4 036 842;867 553;4 902 612;4 271 672;733 313;5 028 770;x;x;x;8 287 924
;IV.;4 330 677;904 919;140 810;5 360 168;678 657;6 014 613;1 783 220;x;x;2 478 119;8 437 500;4 339 674;895 753;5 251 778;4 492 568;758 655;5 260 656;x;x;x;8 366 713
2007.;I.;4 353 370;810 300;140 088;5 328 000;674 940;5 974 041;1 915 550;x;x;2 543 270;8 411 580;4 539 065;919 783;5 455 903;4 711 276;812 252;5 497 034;x;x;x;8 270 387
;II.;4 350 495;818 364;141 909;5 302 763;693 133;5 971 875;1 875 963;x;x;2 395 574;8 312 770;4 618 270;941 278;5 557 790;4 704 258;851 702;5 567 472;x;x;x;8 259 443
;III.;4 364 398;827 415;141 373;5 322 861;708 472;6 004 895;1 860 105;x;x;2 345 877;8 309 452;4 776 410;974 455;5 746 118;4 843 119;917 795;5 795 668;x;x;x;8 303 965
;IV.;4 388 010;841 861;143 633;5 369 129;728 441;6 082 833;1 893 912;x;x;2 364 981;8 408 782;4 863 802;993 322;5 872 966;4 965 495;908 385;5 877 851;x;x;x;8 330 825
2008.;I.;4 383 273;833 237;129 110;5 346 597;743 270;6 076 382;1 917 138;x;x;2 519 578;8 492 862;5 325 819;988 660;6 323 684;5 421 904;888 155;6 275 536;x;x;x;8 409 653
;II.;4 357 330;832 699;138 425;5 332 178;745 880;6 064 877;1 892 891;x;x;2 632 567;8 625 081;5 168 427;995 009;6 165 365;5 356 942;874 594;6 251 889;x;x;x;8 460 588
