21.2.1.15. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1995.;I.;2 935 401;759 262;75 880;3 751 288;596 941;4 344 074;984 688;x;x;1 470 283;5 812 559;547 799;508 900;962 796;825 241;266 399;1 078 737;x;x;x;5 552 298
;II.;2 922 132;749 112;75 257;3 748 576;591 182;4 330 789;1 000 509;x;x;1 424 541;5 739 498;632 812;520 238;1 084 638;896 395;289 394;1 174 415;x;x;x;5 542 462
;III.;2 882 040;747 187;75 491;3 694 557;582 337;4 255 721;969 557;x;x;1 316 175;5 514 418;746 870;533 796;1 235 400;915 992;276 917;1 202 725;x;x;x;5 542 706
;IV.;2 871 915;737 838;75 875;3 691 823;581 408;4 272 007;985 280;x;x;1 212 222;5 431 526;755 370;710 776;1 355 274;971 012;311 999;1 295 608;x;x;x;5 519 577
1996.;I.;2 828 468;736 440;76 190;3 628 803;563 055;4 177 611;988 676;x;x;1 360 482;5 534 941;701 107;601 793;1 194 680;920 041;272 683;1 180 512;x;x;x;5 552 847
;II.;2 816 715;741 696;77 497;3 627 329;561 486;4 180 049;1 005 508;x;x;1 335 116;5 483 780;716 333;626 238;1 252 005;930 508;307 048;1 226 011;x;x;x;5 519 507
;III.;2 840 927;733 701;77 338;3 654 898;568 254;4 229 795;1 031 798;x;x;1 406 961;5 594 325;706 012;654 977;1 292 622;993 924;303 175;1 306 905;x;x;x;5 512 121
;IV.;2 831 527;735 352;77 130;3 635 873;560 924;4 176 930;1 094 853;x;x;1 604 143;5 716 678;763 153;658 766;1 323 937;1 025 670;335 073;1 372 832;x;x;x;5 581 073
1997.;I.;2 875 539;726 259;77 643;3 695 397;573 306;4 269 891;1 095 337;x;x;1 476 342;5 739 645;852 265;653 123;1 397 750;1 133 166;329 044;1 450 214;x;x;x;5 635 899
;II.;2 876 175;713 136;76 216;3 653 714;576 966;4 224 759;1 094 123;x;x;1 567 555;5 749 443;930 752;668 344;1 514 577;1 190 051;349 652;1 528 587;x;x;x;5 694 444
;III.;2 883 831;705 516;76 294;3 657 783;571 974;4 217 069;1 138 179;x;x;1 616 303;5 785 086;1 005 351;670 254;1 613 599;1 278 373;336 086;1 624 057;x;x;x;5 745 395
;IV.;2 918 287;698 134;76 662;3 692 582;571 185;4 244 863;1 151 899;x;x;1 669 397;5 855 290;1 103 693;650 469;1 689 071;1 371 161;318 264;1 705 379;x;x;x;5 794 546
1998.;I.;2 953 992;684 694;93 176;3 739 932;565 438;4 304 831;1 200 697;x;x;1 757 219;5 998 577;1 163 182;657 901;1 741 740;1 485 955;336 894;1 813 096;x;x;x;5 844 984
;II.;2 992 266;685 666;94 861;3 778 409;561 727;4 332 300;1 234 670;x;x;1 872 778;6 166 803;1 187 075;665 992;1 784 278;1 570 258;350 177;1 912 328;x;x;x;5 931 919
;III.;3 033 931;686 392;95 746;3 816 351;563 367;4 370 042;1 294 199;x;x;1 982 144;6 319 800;1 211 035;660 242;1 815 148;1 632 192;362 793;2 004 209;x;x;x;5 985 076
;IV.;3 084 785;689 037;96 958;3 860 524;568 864;4 406 070;1 260 382;x;x;1 951 114;6 298 176;1 249 771;641 969;1 835 851;1 645 818;338 765;2 002 638;x;x;x;5 989 004
1999.;I.;3 146 621;700 522;97 351;3 953 375;574 159;4 523 292;1 306 012;x;x;1 782 742;6 269 507;1 307 745;625 870;1 875 308;1 662 294;372 082;2 024 868;x;x;x;5 993 543
;II.;3 203 534;695 142;98 256;4 004 882;580 612;4 579 950;1 346 168;x;x;1 931 729;6 455 935;1 333 631;646 942;1 924 053;1 761 727;382 946;2 137 948;x;x;x;6 055 647
;III.;3 247 872;693 705;99 564;4 053 085;586 794;4 637 642;1 367 683;x;x;1 922 146;6 526 614;1 427 860;659 024;2 037 212;1 856 115;381 898;2 246 746;x;x;x;6 167 003
;IV.;3 277 661;679 546;100 824;4 040 623;575 382;4 580 901;1 368 932;x;x;1 992 825;6 520 123;1 553 355;678 304;2 187 416;1 965 890;363 972;2 348 175;x;x;x;6 237 624
2000.;I.;3 282 926;683 992;105 172;4 074 052;592 439;4 650 780;1 393 918;x;x;2 010 646;6 593 271;1 680 293;686 855;2 319 616;2 101 184;388 406;2 480 725;x;x;x;6 290 167
;II.;3 295 647;690 440;106 925;4 106 805;595 236;4 682 946;1 424 239;x;x;1 925 495;6 551 367;1 758 249;715 958;2 425 612;2 136 258;401 107;2 533 113;x;x;x;6 357 882
;III.;3 322 754;699 272;108 476;4 145 656;597 881;4 713 390;1 424 956;x;x;2 135 098;6 774 998;1 853 165;729 656;2 537 145;2 342 875;413 977;2 764 152;x;x;x;6 413 568
;IV.;3 355 858;822 339;109 980;4 263 502;618 926;4 899 409;1 468 480;x;x;1 985 737;6 880 826;2 017 656;768 509;2 747 947;2 537 727;451 610;3 009 822;x;x;x;6 533 407
2001.;I.;3 383 400;733 043;109 775;4 223 856;610 730;4 801 417;1 440 429;x;x;2 112 480;6 841 717;1 969 776;814 115;2 720 538;2 417 923;473 855;2 881 117;x;x;x;6 579 802
;II.;3 445 787;750 503;111 166;4 319 611;617 346;4 917 416;1 460 447;x;x;1 980 024;6 860 219;1 992 649;782 548;2 722 739;2 404 060;461 632;2 863 882;x;x;x;6 633 462
;III.;3 486 278;767 444;112 596;4 365 963;622 457;4 970 096;1 470 187;x;x;1 823 053;6 741 787;1 961 384;821 674;2 737 271;2 288 572;480 168;2 776 215;x;x;x;6 693 512
;IV.;3 545 214;786 902;114 289;4 443 390;626 133;5 087 551;1 494 765;x;x;1 849 424;6 950 096;1 993 310;787 271;2 735 684;2 389 968;494 049;2 897 628;x;x;x;6 742 859
2002.;I.;3 616 145;788 427;118 007;4 519 916;622 434;5 123 367;1 572 726;x;x;2 121 338;7 198 821;2 163 919;754 435;2 877 585;2 543 487;550 109;3 079 588;x;x;x;6 895 578
;II.;3 683 220;808 171;120 469;4 606 458;635 131;5 217 394;1 560 196;x;x;1 945 108;7 131 624;2 222 557;746 912;2 932 262;2 508 854;559 670;3 066 109;x;x;x;6 933 715
;III.;3 779 829;819 097;123 040;4 726 242;647 611;5 350 160;1 575 385;x;x;1 953 849;7 258 294;2 190 341;734 461;2 892 909;2 516 786;521 325;3 047 083;x;x;x;6 998 427
;IV.;3 870 821;836 536;125 649;4 844 279;666 880;5 511 624;1 608 201;x;x;2 139 550;7 629 598;2 143 657;724 886;2 842 289;2 622 456;584 770;3 217 008;x;x;x;7 083 901
2003.;I.;3 970 999;840 427;126 020;4 955 412;685 822;5 671 622;1 515 702;x;x;1 919 571;7 616 139;2 273 579;648 851;2 904 623;2 654 187;568 731;3 207 165;x;x;x;7 137 301
;II.;4 029 925;837 117;128 400;4 984 991;686 122;5 636 801;1 583 348;x;x;2 137 715;7 730 869;2 290 534;682 716;2 945 868;2 769 120;535 458;3 309 223;x;x;x;7 211 358
;III.;4 081 731;842 015;131 270;5 061 509;687 733;5 717 778;1 601 136;x;x;2 154 102;7 831 271;2 473 571;671 314;3 122 132;2 888 667;586 600;3 485 409;x;x;x;7 298 298
;IV.;4 127 630;847 901;135 160;5 106 542;687 480;5 755 638;1 689 280;x;x;2 084 093;7 792 225;2 604 952;696 580;3 293 939;2 973 728;595 857;3 578 916;x;x;x;7 374 226
2004.;I.;3 974 169;855 313;138 288;4 962 648;681 997;5 681 408;1 716 555;x;x;2 325 451;7 900 335;2 734 921;723 393;3 443 792;3 127 171;573 820;3 684 511;x;x;x;7 487 776
;II.;4 166 780;862 994;140 596;5 170 614;678 117;5 804 561;1 706 097;x;x;2 519 367;8 282 709;2 953 749;645 687;3 594 233;3 544 571;561 682;4 118 227;x;x;x;7 574 038
;III.;4 196 722;872 852;142 100;5 236 924;675 801;5 885 680;1 748 369;x;x;2 447 683;8 304 545;3 029 582;632 574;3 648 481;3 502 201;614 209;4 128 889;x;x;x;7 666 003
;IV.;4 172 637;874 082;141 991;5 175 246;671 678;5 793 132;1 725 459;x;x;2 500 098;8 203 765;3 155 469;596 680;3 774 221;3 526 946;555 051;4 093 159;x;x;x;7 698 711
2005.;I.;4 182 759;876 383;146 573;5 188 142;669 046;5 851 442;1 719 191;x;x;2 394 819;8 163 918;3 176 842;635 884;3 820 115;3 459 046;613 880;4 054 228;x;x;x;7 774 636
;II.;4 234 722;894 523;148 516;5 301 735;680 210;5 962 991;1 802 689;x;x;2 386 352;8 314 778;3 416 521;655 879;4 071 357;3 689 214;638 235;4 337 688;x;x;x;7 922 094
;III.;4 248 516;905 987;151 440;5 309 345;686 679;5 974 485;1 820 098;x;x;2 454 741;8 394 744;3 502 545;656 410;4 150 055;3 811 480;633 570;4 462 298;x;x;x;7 981 518
;IV.;4 299 751;906 659;151 109;5 352 873;681 416;5 980 344;1 803 847;x;x;2 468 693;8 369 940;3 582 306;677 491;4 281 067;3 833 642;613 629;4 458 927;x;x;x;8 071 360
2006.;I.;4 304 708;933 168;139 599;5 417 841;698 414;6 119 229;1 847 033;x;x;2 408 693;8 498 665;3 771 825;831 749;4 592 846;4 099 975;724 574;4 802 070;x;x;x;8 140 410
;II.;4 311 524;920 221;139 337;5 380 541;685 478;6 033 126;1 787 303;x;x;2 424 806;8 386 087;3 901 755;858 680;4 751 609;4 106 997;712 661;4 830 588;x;x;x;8 249 242
;III.;4 327 058;907 597;138 362;5 356 244;676 822;5 985 688;1 799 227;x;x;2 528 412;8 443 784;4 041 195;867 331;4 907 320;4 274 519;734 088;5 032 398;x;x;x;8 294 942
;IV.;4 323 617;913 556;141 367;5 360 182;682 101;6 014 435;1 765 039;x;x;2 482 868;8 436 707;4 344 061;895 537;5 256 740;4 495 739;759 833;5 264 884;x;x;x;8 371 678
2007.;I.;4 347 335;817 802;140 569;5 327 155;675 738;5 973 507;1 903 831;x;x;2 539 528;8 411 654;4 543 082;919 799;5 460 836;4 714 873;814 000;5 502 048;x;x;x;8 272 628
;II.;4 346 047;824 805;142 266;5 301 300;692 196;5 970 968;1 870 599;x;x;2 388 112;8 313 381;4 621 797;941 376;5 562 438;4 707 331;853 834;5 571 899;x;x;x;8 259 397
;III.;4 362 048;831 855;141 542;5 321 002;706 708;6 003 591;1 859 353;x;x;2 338 567;8 310 287;4 779 502;974 470;5 750 376;4 844 936;920 177;5 798 272;x;x;x;8 302 005
;IV.;4 388 298;843 320;143 557;5 367 098;726 837;6 081 099;1 896 290;x;x;2 361 413;8 409 537;4 866 411;993 067;5 876 591;4 965 121;910 570;5 877 060;x;x;x;8 327 325
2008.;I.;4 386 739;830 698;128 767;5 344 657;742 938;6 074 221;1 921 171;x;x;2 523 912;8 493 210;5 328 111;987 954;6 326 620;5 418 093;889 877;6 269 512;x;x;x;8 404 960
;II.;4 361 835;828 403;137 853;5 330 238;746 546;6 062 508;1 897 154;x;x;2 643 936;8 625 029;5 170 588;993 840;6 167 918;5 351 711;876 042;6 243 676;x;x;x;8 455 458
