21.2.1.16. A bruttó hazai termék (GDP) végsõ felhasználásának volumenindexei, szezonálisan és naptári hatással kiigazított negyedéves adatok [elõzõ negyedév = 100,0%];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
1995.;I.;..;..;..;..;..;..;..;x;x;..;..;..;..;..;..;..;..;x;x;x;..
;II.;99,5;98,7;99,2;99,9;99,0;99,7;101,6;x;x;96,9;98,7;115,5;102,2;112,7;108,6;108,6;108,9;x;x;x;99,8
;III.;98,6;99,7;100,3;98,6;98,5;98,3;96,9;x;x;92,4;96,1;118,0;102,6;113,9;102,2;95,7;102,4;x;x;x;100,0
;IV.;99,6;98,7;100,5;99,9;99,8;100,4;101,6;x;x;92,1;98,5;101,1;133,2;109,7;106,0;112,7;107,7;x;x;x;99,6
1996.;I.;98,5;99,8;100,4;98,3;96,8;97,8;100,3;x;x;112,2;101,9;92,8;84,7;88,2;94,8;87,4;91,1;x;x;x;100,6
;II.;99,6;100,7;101,7;100,0;99,7;100,1;101,7;x;x;98,1;99,1;102,2;104,1;104,8;101,1;112,6;103,9;x;x;x;99,4
;III.;100,9;98,9;99,8;100,8;101,2;101,2;102,6;x;x;105,4;102,0;98,6;104,6;103,2;106,8;98,7;106,6;x;x;x;99,9
;IV.;99,7;100,2;99,7;99,5;98,7;98,8;106,1;x;x;114,0;102,2;108,1;100,6;102,4;103,2;110,5;105,0;x;x;x;101,3
1997.;I.;101,6;98,8;100,7;101,6;102,2;102,2;100,0;x;x;92,0;100,4;111,7;99,1;105,6;110,5;98,2;105,6;x;x;x;101,0
;II.;100,0;98,2;98,2;98,9;100,6;98,9;99,9;x;x;106,2;100,2;109,2;102,3;108,4;105,0;106,3;105,4;x;x;x;101,0
;III.;100,3;98,9;100,1;100,1;99,1;99,8;104,0;x;x;103,1;100,6;108,0;100,3;106,5;107,4;96,1;106,2;x;x;x;100,9
;IV.;101,2;99,0;100,5;101,0;99,9;100,7;101,2;x;x;103,3;101,2;109,8;97,0;104,7;107,3;94,7;105,0;x;x;x;100,9
1998.;I.;101,2;98,1;121,5;101,3;99,0;101,4;104,2;x;x;105,3;102,4;105,4;101,1;103,1;108,4;105,9;106,3;x;x;x;100,9
;II.;101,3;100,1;101,8;101,0;99,3;100,6;102,8;x;x;106,6;102,8;102,1;101,2;102,4;105,7;103,9;105,5;x;x;x;101,5
;III.;101,4;100,1;100,9;101,0;100,3;100,9;104,8;x;x;105,8;102,5;102,0;99,1;101,7;103,9;103,6;104,8;x;x;x;100,9
;IV.;101,7;100,4;101,3;101,2;101,0;100,8;97,4;x;x;98,4;99,7;103,2;97,2;101,1;100,8;93,4;99,9;x;x;x;100,1
