21.2.1.17. A háztartások hazai fogyasztási kiadása a termékek tartóssága szerint, negyedévente;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Tartós termék vásárlására fordított kiadás folyó áron, millió Ft;Féltartós termék vásárlására fordított kiadás folyó áron, millió Ft;Nem tartós termék vásárlására fordított kiadás folyó áron, millió Ft;Szolgáltatás vásárlására fordított kiadás folyó áron, millió Ft;Hazai fogyasztási kiadás folyó áron, millió Ft;Tartós termék vásárlására fordított kiadás megoszlása, %;Féltartós termék vásárlására fordított kiadás megoszlása, %;Nem tartós termék vásárlására fordított kiadás megoszlása, %;Szolgáltatás vásárlására fordított kiadás megoszlása, %;Hazai fogyasztási kiadás megoszlása, %;Tartós termék vásárlására fordított kiadás elõzõ évi átlagáron, millió forint;Féltartós termék vásárlására fordított kiadás elõzõ évi átlagáron, millió forint;Nem tartós termék vásárlására fordított kiadás elõzõ évi átlagáron, millió forint;Szolgáltatás vásárlására fordított kiadás elõzõ évi átlagáron, millió forint;Hazai fogyasztási kiadás elõzõ évi átlagáron, millió forint;Tartós termék vásárlására fordított kiadás volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Féltartós termék vásárlására fordított kiadás volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Nem tartós termék vásárlására fordított kiadás volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Szolgáltatás vásárlására fordított kiadás volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Hazai fogyasztási kiadás volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%
2000.;I.;162 575;124 995;751 724;736 127;1 775 421;9,2;7,0;42,3;41,5;100,0;162 059;120 253;674 897;678 190;1 635 399;127,9;110,0;94,0;106,4;100,6
;II.;181 757;163 302;787 798;751 033;1 883 890;9,6;8,7;41,8;39,9;100,0;176 745;153 088;687 976;672 562;1 690 371;120,8;105,8;98,6;105,3;102,2
;III.;202 553;178 323;831 783;802 114;2 014 773;10,1;8,9;41,3;39,8;100,0;194 839;165 317;717 741;710 300;1 788 197;107,7;104,2;103,2;103,0;103,3
;IV.;221 855;194 565;844 039;772 254;2 032 713;10,9;9,6;41,5;38,0;100,0;212 897;179 867;725 920;681 815;1 800 499;99,3;95,3;101,7;107,6;103,3
2001.;I.;183 936;143 085;843 318;854 140;2 024 479;9,1;7,1;41,7;42,2;100,0;184 840;138 023;771 700;780 630;1 875 193;110,8;107,4;99,8;103,1;102,0
;II.;197 415;183 095;907 048;882 230;2 169 788;9,1;8,4;41,8;40,7;100,0;193 702;170 375;799 865;795 932;1 959 874;106,4;104,1;101,5;106,0;103,7
;III.;240 201;196 421;935 898;934 225;2 306 745;10,4;8,5;40,6;40,5;100,0;231 093;185 280;847 996;829 999;2 094 368;115,2;104,8;103,1;104,7;104,0
;IV.;257 454;232 170;947 891;888 695;2 326 210;11,1;10,0;40,7;38,2;100,0;248 159;210 420;846 585;786 956;2 092 120;113,2;109,4;101,8;103,4;103,3
2002.;I.;218 260;151 642;944 495;963 376;2 277 773;9,6;6,7;41,5;42,3;100,0;217 904;144 040;892 582;897 195;2 151 721;115,0;97,4;104,0;103,1;104,3
;II.;217 098;196 613;966 231;986 486;2 366 428;9,2;8,3;40,8;41,7;100,0;216 009;182 977;893 019;916 712;2 208 717;108,8;100,2;100,3;103,3;102,4
