21.2.1.18. A külkereskedelmi egyenleg országcsoportok szerint, negyedévente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Export EU-tagállamokba folyó áron, millió forint;Export euróövezet tagállamaiba folyó áron, millió forint;Export nem uniós országokba folyó áron, millió forint;Export összesen folyó áron, millió forint;Import EU-tagállamokból folyó áron, millió forint;Import euróövezet tagállamaiból folyó áron, millió forint;Import nem uniós országokból folyó áron, millió forint;Import összesen folyó áron, millió forint;Egyenleg EU-tagállamok folyó áron, millió forint;Egyenleg euróövezet tagállamai folyó áron, millió forint;Egyenleg nem uniós országok folyó áron, millió forint;Egyenleg összesen folyó áron, millió forint;Export EU-tagállamokba elõzõ évi átlagáron, millió forint;Export euróövezet tagállamaiba elõzõ évi átlagáron, millió forint;Export nem uniós országokba elõzõ évi átlagáron, millió forint;Export összesen elõzõ évi átlagáron, millió forint;Import EU-tagállamokból elõzõ évi átlagáron, millió forint;Import euróövezet tagállamaiból elõzõ évi átlagáron, millió forint;Import nem uniós országokból elõzõ évi átlagáron, millió forint;Import összesen elõzõ évi átlagáron, millió forint;Egyenleg EU-tagállamok elõzõ évi átlagáron, millió forint;Egyenleg euróövezet tagállamai elõzõ évi átlagáron, millió forint;Egyenleg nem uniós országok elõzõ évi átlagáron, millió forint;Egyenleg összesen elõzõ évi átlagáron, millió forint;Export EU-tagállamokba volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Export euróövezet tagállamaiba volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Export nem uniós országokba volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Export összesen volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Import EU-tagállamokból volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Import euróövezet tagállamaiból volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Import nem uniós országokból volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%;Import összesen volumenindex, 2015. évi átlagáron, elõzõ év azonos idõszaka=100,0%
1995.;I.;171 768;x;248 122;419 890;186 456;x;320 809;507 265;-14 688;x;-72 687;-87 375;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
;II.;471 551;x;254 542;726 093;393 149;x;303 284;696 433;78 402;x;-48 742;29 660;358 336;x;255 739;614 075;335 517;x;252 692;588 209;22 819;x;3 047;25 866;x;x;x;x;x;x;x;x
;III.;517 130;x;283 909;801 039;415 366;x;333 184;748 550;101 764;x;-49 275;52 489;379 535;x;287 799;667 334;348 869;x;272 643;621 512;30 666;x;15 156;45 822;x;x;x;x;x;x;x;x
;IV.;538 459;x;309 415;847 874;488 892;x;390 790;879 682;49 567;x;-81 375;-31 808;396 074;x;290 389;686 463;391 393;x;305 467;696 860;4 681;x;-15 078;-10 397;x;x;x;x;x;x;x;x
1997.;I.;519 460;x;290 941;810 401;496 640;x;372 006;868 646;22 820;x;-81 065;-58 245;451 689;x;292 078;743 767;466 254;x;336 276;802 530;-14 565;x;-44 198;-58 763;108,1;x;134,9;117,7;121,8;x;124,6;122,9
;II.;679 400;x;334 965;1 014 365;573 808;x;412 532;986 340;105 592;x;-77 567;28 025;558 790;x;326 792;885 582;521 615;x;360 714;882 329;37 175;x;-33 922;3 253;117,5;x;126,2;120,7;130,6;x;116,8;124,6
;III.;777 778;x;379 120;1 156 898;606 075;x;462 520;1 068 595;171 703;x;-83 400;88 303;621 951;x;365 239;987 190;536 320;x;394 267;930 587;85 631;x;-29 028;56 603;123,5;x;125,4;123,8;129,1;x;118,3;124,3
;IV.;830 832;x;419 737;1 250 569;726 708;x;496 945;1 223 653;104 124;x;-77 208;26 916;662 642;x;382 397;1 045 039;629 756;x;412 676;1 042 432;32 886;x;-30 279;2 607;126,1;x;130,1;127,4;135,1;x;110,5;124,2
1998.;I.;791 211;x;388 619;1 179 830;736 247;x;510 507;1 246 754;54 964;x;-121 888;-66 924;653 741;x;428 236;1 081 977;627 226;x;511 382;1 138 608;26 515;x;-83 146;-56 631;118,3;x;140,6;125,9;120,6;x;131,1;125,1
;II.;905 545;x;447 979;1 353 524;821 195;x;564 030;1 385 225;84 350;x;-116 051;-31 701;783 108;x;425 796;1 208 904;737 890;x;514 005;1 251 895;45 218;x;-88 209;-42 991;114,6;x;125,0;118,1;126,8;x;122,9;125,1
