21.2.1.19. Készletek nemzetgazdasági áganként, negyedévente [negyedéves zárókészlet, folyó áron, millió forint]   ;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;Villamosenergia-, gáz-, gõzellátás, légkondicionálás D;"Vízellátás; szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E";Építõipar F;Kereskedelem, gépjármûjavítás G;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb szolgáltatás S;Összesen S
2003;I.;145 724;4 644;1 379 800;80 549;8 040;53 140;489 164;27 639;3 420;41 991;–;16 362;15 170;9 665;–;292;722;1 148;4 835;2 282 304
;II.;119 312;4 561;1 385 341;78 757;8 254;41 917;413 184;24 703;3 324;32 713;–;16 425;14 701;8 608;–;368;750;1 025;4 456;2 158 400
;III.;149 132;4 812;1 301 444;84 875;9 100;61 834;462 868;24 461;3 223;34 799;–;19 604;23 187;11 855;–;424;798;1 187;4 720;2 198 323
;IV.;162 739;4 475;1 256 963;76 854;8 333;40 735;434 854;24 884;3 339;33 547;–;21 269;17 135;9 823;–;326;916;1 129;4 554;2 101 875
2004;I.;145 560;2 620;1 392 245;91 237;9 133;55 245;625 050;25 406;3 921;29 986;–;21 732;10 333;8 553;–;395;758;859;6 241;2 429 275
;II.;122 388;2 788;1 380 687;93 626;9 293;69 215;628 801;26 155;4 961;33 286;–;22 816;16 515;10 517;–;470;911;1 809;6 273;2 430 512
;III.;150 977;3 043;1 428 645;88 373;10 109;87 069;645 292;27 289;3 814;34 052;–;23 547;18 106;11 378;–;521;983;1 618;6 311;2 541 127
;IV.;151 677;3 533;1 495 126;88 389;10 165;99 649;634 389;27 648;3 807;34 812;–;23 794;18 324;11 506;–;522;989;1 617;6 111;2 612 059
2005;I.;151 230;2 917;1 516 993;83 616;10 034;67 027;686 724;29 505;3 977;29 777;–;24 130;16 519;11 486;–;416;3 956;829;6 411;2 645 548
;II.;125 344;5 050;1 535 943;84 048;10 470;88 072;622 214;28 771;7 480;32 032;–;23 684;10 255;9 405;–;366;1 080;755;5 947;2 590 917
;III.;144 268;5 025;1 556 223;86 554;11 505;116 158;686 382;27 368;4 337;30 676;–;23 936;12 389;9 385;–;388;1 251;768;6 426;2 723 039
;IV.;154 083;5 117;1 585 037;81 703;11 049;147 956;634 030;28 042;4 685;29 369;–;25 995;9 340;8 484;–;353;1 920;687;6 048;2 733 896
2006;I.;135 202;4 334;1 693 602;100 193;10 482;98 054;672 537;58 679;5 701;31 870;–;22 309;14 861;12 957;–;335;1 613;989;5 531;2 869 251
